day,month,numChecklists,numContributors,numSpecies,state
1,1,55,46,70,AK
2,1,54,40,75,AK
3,1,34,28,62,AK
4,1,34,34,88,AK
5,1,36,25,75,AK
6,1,23,24,69,AK
7,1,49,33,75,AK
8,1,34,33,84,AK
9,1,31,27,89,AK
10,1,21,22,70,AK
11,1,29,22,73,AK
12,1,42,30,65,AK
13,1,23,18,40,AK
14,1,31,35,67,AK
15,1,37,30,66,AK
16,1,19,16,54,AK
17,1,32,27,73,AK
18,1,24,26,80,AK
19,1,21,24,59,AK
20,1,23,22,66,AK
21,1,33,26,75,AK
22,1,36,32,75,AK
23,1,24,23,63,AK
24,1,16,18,55,AK
25,1,14,14,57,AK
26,1,18,18,52,AK
27,1,29,25,63,AK
28,1,27,26,60,AK
29,1,32,30,77,AK
30,1,18,18,63,AK
31,1,35,30,72,AK
1,2,29,27,84,AK
2,2,18,19,65,AK
3,2,20,16,63,AK
4,2,45,29,75,AK
5,2,28,30,79,AK
6,2,16,16,52,AK
7,2,21,18,45,AK
8,2,39,28,81,AK
9,2,21,22,58,AK
10,2,14,16,50,AK
11,2,37,26,64,AK
12,2,42,35,62,AK
13,2,16,13,48,AK
14,2,19,20,50,AK
15,2,24,23,57,AK
16,2,16,16,47,AK
17,2,107,75,86,AK
18,2,93,69,80,AK
19,2,81,68,80,AK
20,2,75,67,78,AK
21,2,24,21,64,AK
22,2,31,26,59,AK
23,2,15,17,62,AK
24,2,37,25,71,AK
25,2,45,35,72,AK
26,2,32,31,84,AK
27,2,15,18,51,AK
28,2,21,26,49,AK
1,3,19,21,47,AK
2,3,23,20,51,AK
3,3,31,24,61,AK
4,3,31,29,59,AK
5,3,36,41,63,AK
6,3,34,33,67,AK
7,3,24,24,46,AK
8,3,26,29,60,AK
9,3,56,39,72,AK
10,3,39,32,73,AK
11,3,55,37,83,AK
12,3,44,36,66,AK
13,3,43,28,69,AK
14,3,19,20,48,AK
15,3,23,26,63,AK
16,3,32,21,56,AK
17,3,24,28,68,AK
18,3,38,33,63,AK
19,3,34,36,76,AK
20,3,27,27,70,AK
21,3,28,32,75,AK
22,3,37,38,70,AK
23,3,38,32,92,AK
24,3,47,45,94,AK
25,3,84,54,93,AK
26,3,63,53,96,AK
27,3,42,42,90,AK
28,3,44,39,87,AK
29,3,30,33,81,AK
30,3,40,37,86,AK
31,3,22,28,57,AK
1,4,49,46,89,AK
2,4,44,42,82,AK
3,4,35,39,85,AK
4,4,45,46,94,AK
5,4,44,50,84,AK
6,4,65,47,103,AK
7,4,60,50,106,AK
8,4,72,55,105,AK
9,4,67,59,117,AK
10,4,50,49,97,AK
11,4,61,47,87,AK
12,4,48,45,83,AK
13,4,61,50,95,AK
14,4,67,59,103,AK
15,4,116,86,113,AK
16,4,92,67,118,AK
17,4,60,58,103,AK
18,4,74,60,104,AK
19,4,72,58,113,AK
20,4,69,64,114,AK
21,4,49,59,106,AK
22,4,116,70,132,AK
23,4,110,80,130,AK
24,4,73,60,122,AK
25,4,80,68,128,AK
26,4,71,65,128,AK
27,4,91,62,135,AK
28,4,66,61,128,AK
29,4,103,82,142,AK
30,4,84,75,126,AK
1,5,82,59,129,AK
2,5,96,76,132,AK
3,5,126,89,145,AK
4,5,128,94,149,AK
5,5,158,110,160,AK
6,5,194,113,161,AK
7,5,138,89,162,AK
8,5,118,78,141,AK
9,5,102,87,148,AK
10,5,122,90,169,AK
11,5,126,96,168,AK
12,5,144,95,177,AK
13,5,303,124,196,AK
14,5,155,96,191,AK
15,5,188,108,197,AK
16,5,116,89,186,AK
17,5,138,94,187,AK
18,5,135,81,186,AK
19,5,133,99,198,AK
20,5,163,103,203,AK
21,5,143,94,190,AK
22,5,149,91,205,AK
23,5,114,100,203,AK
24,5,85,79,201,AK
25,5,111,98,205,AK
26,5,158,124,210,AK
27,5,194,143,225,AK
28,5,191,128,216,AK
29,5,180,130,216,AK
30,5,188,134,212,AK
31,5,173,134,217,AK
1,6,202,148,240,AK
2,6,202,140,234,AK
3,6,242,162,231,AK
4,6,330,183,229,AK
5,6,283,170,227,AK
6,6,373,179,224,AK
7,6,302,172,231,AK
8,6,330,187,219,AK
9,6,314,171,230,AK
10,6,318,171,221,AK
11,6,293,153,220,AK
12,6,319,152,214,AK
13,6,350,156,209,AK
14,6,293,169,216,AK
15,6,331,155,221,AK
16,6,266,129,208,AK
17,6,257,140,205,AK
18,6,264,135,202,AK
19,6,239,126,206,AK
20,6,245,135,203,AK
21,6,226,121,204,AK
22,6,223,118,203,AK
23,6,236,130,215,AK
24,6,284,138,203,AK
25,6,266,131,214,AK
26,6,192,98,195,AK
27,6,157,92,183,AK
28,6,134,105,202,AK
29,6,132,88,193,AK
30,6,88,73,191,AK
1,7,119,79,188,AK
2,7,91,80,183,AK
3,7,94,78,196,AK
4,7,106,89,190,AK
5,7,78,81,177,AK
6,7,115,85,185,AK
7,7,105,83,179,AK
8,7,89,79,181,AK
9,7,132,97,199,AK
10,7,116,78,196,AK
11,7,106,88,184,AK
12,7,118,77,190,AK
13,7,118,86,196,AK
14,7,102,72,166,AK
15,7,115,89,191,AK
16,7,105,80,171,AK
