day,month,numChecklists,numContributors,numSpecies,state
1,1,98,57,151,AL
2,1,92,46,150,AL
3,1,88,55,148,AL
4,1,77,42,146,AL
5,1,82,44,134,AL
6,1,64,46,118,AL
7,1,100,59,132,AL
8,1,95,49,136,AL
9,1,39,28,133,AL
10,1,41,35,106,AL
11,1,38,40,111,AL
12,1,48,38,130,AL
13,1,66,39,127,AL
14,1,86,60,134,AL
15,1,83,60,145,AL
16,1,52,40,127,AL
17,1,35,29,105,AL
18,1,26,20,96,AL
19,1,21,24,98,AL
20,1,55,36,150,AL
21,1,63,49,127,AL
22,1,40,37,114,AL
23,1,32,29,100,AL
24,1,57,42,135,AL
25,1,41,29,118,AL
26,1,30,29,93,AL
27,1,68,47,138,AL
28,1,163,67,144,AL
29,1,144,66,130,AL
30,1,77,39,133,AL
31,1,48,36,119,AL
1,2,50,47,123,AL
2,2,45,37,129,AL
3,2,52,38,118,AL
4,2,120,64,151,AL
5,2,91,53,135,AL
6,2,54,36,128,AL
7,2,29,26,81,AL
8,2,44,38,117,AL
9,2,54,44,125,AL
10,2,67,40,131,AL
11,2,136,65,150,AL
12,2,61,43,131,AL
13,2,60,40,114,AL
14,2,63,42,128,AL
15,2,44,32,96,AL
16,2,62,41,131,AL
17,2,231,178,157,AL
18,2,281,217,158,AL
19,2,313,212,151,AL
20,2,233,181,129,AL
21,2,55,48,103,AL
22,2,72,43,130,AL
23,2,51,43,104,AL
24,2,84,49,130,AL
25,2,90,55,157,AL
26,2,61,54,123,AL
27,2,33,34,113,AL
28,2,45,39,120,AL
1,3,57,42,118,AL
2,3,49,42,107,AL
3,3,49,41,151,AL
4,3,106,62,149,AL
5,3,78,48,141,AL
6,3,36,34,133,AL
7,3,43,41,124,AL
8,3,59,48,129,AL
9,3,60,45,143,AL
10,3,53,40,136,AL
11,3,74,47,135,AL
12,3,37,40,120,AL
13,3,50,44,116,AL
14,3,42,32,115,AL
15,3,57,45,134,AL
16,3,42,41,122,AL
17,3,71,42,145,AL
18,3,81,60,137,AL
19,3,72,61,144,AL
20,3,64,45,133,AL
21,3,64,39,129,AL
22,3,42,44,123,AL
23,3,52,43,120,AL
24,3,69,49,152,AL
25,3,48,47,135,AL
26,3,79,61,139,AL
27,3,69,54,156,AL
28,3,72,54,131,AL
29,3,71,53,154,AL
30,3,57,40,134,AL
31,3,75,57,152,AL
1,4,153,92,189,AL
2,4,115,62,169,AL
3,4,53,49,162,AL
4,4,80,60,178,AL
5,4,51,48,142,AL
6,4,59,47,141,AL
7,4,86,63,184,AL
8,4,95,73,190,AL
9,4,99,75,179,AL
10,4,74,60,152,AL
11,4,111,68,172,AL
12,4,75,52,173,AL
13,4,93,63,181,AL
14,4,109,63,203,AL
15,4,146,87,199,AL
16,4,138,85,197,AL
17,4,70,59,151,AL
18,4,90,69,186,AL
19,4,124,63,179,AL
20,4,151,70,189,AL
21,4,172,78,195,AL
22,4,161,77,192,AL
23,4,145,78,196,AL
24,4,106,65,177,AL
25,4,86,61,182,AL
26,4,60,63,180,AL
27,4,69,50,191,AL
28,4,98,65,191,AL
29,4,160,85,186,AL
30,4,55,48,158,AL
1,5,65,53,187,AL
2,5,96,59,173,AL
3,5,85,54,188,AL
4,5,51,40,161,AL
5,5,50,46,161,AL
6,5,125,81,204,AL
7,5,103,68,187,AL
8,5,64,43,161,AL
9,5,51,44,156,AL
10,5,89,52,155,AL
11,5,59,38,156,AL
12,5,59,44,156,AL
13,5,234,76,217,AL
14,5,85,54,179,AL
15,5,83,49,160,AL
16,5,68,42,135,AL
17,5,43,32,117,AL
18,5,39,26,121,AL
19,5,58,35,145,AL
20,5,42,35,122,AL
21,5,45,35,148,AL
22,5,90,30,138,AL
23,5,34,27,126,AL
24,5,53,32,126,AL
25,5,163,41,128,AL
26,5,98,37,144,AL
27,5,59,45,142,AL
28,5,93,46,125,AL
29,5,103,44,137,AL
30,5,41,28,130,AL
31,5,83,25,130,AL
1,6,90,30,111,AL
2,6,81,41,133,AL
3,6,63,39,129,AL
4,6,128,40,123,AL
5,6,90,26,109,AL
6,6,46,32,111,AL
7,6,118,35,117,AL
8,6,112,30,125,AL
9,6,156,41,135,AL
10,6,74,42,136,AL
11,6,63,32,127,AL
12,6,53,32,131,AL
13,6,32,27,114,AL
14,6,92,26,114,AL
15,6,45,28,120,AL
16,6,70,40,144,AL
17,6,91,40,155,AL
18,6,87,40,138,AL
19,6,51,31,129,AL
20,6,31,28,107,AL
21,6,38,28,106,AL
22,6,26,25,112,AL
23,6,83,33,134,AL
24,6,67,40,130,AL
25,6,91,43,134,AL
26,6,84,35,137,AL
27,6,50,32,124,AL
28,6,80,25,111,AL
29,6,24,17,87,AL
30,6,67,36,130,AL
1,7,70,36,134,AL
2,7,71,40,130,AL
3,7,45,39,129,AL
4,7,63,40,129,AL
5,7,43,26,114,AL
6,7,30,32,110,AL
7,7,53,34,135,AL
8,7,37,36,114,AL
9,7,41,33,131,AL
10,7,24,30,101,AL
11,7,37,22,121,AL
12,7,22,22,102,AL
13,7,59,32,119,AL
14,7,31,26,125,AL
15,7,51,37,131,AL
16,7,57,33,133,AL
17,7,30,25,114,AL
18,7,34,34,118,AL
19,7,28,29,107,AL
20,7,25,25,106,AL
21,7,48,32,129,AL
22,7,38,28,110,AL
23,7,30,29,113,AL
24,7,27,26,109,AL
25,7,27,21,98,AL
26,7,20,19,118,AL
27,7,29,33,115,AL
28,7,42,28,133,AL
29,7,59,42,137,AL
30,7,46,30,129,AL
31,7,30,24,127,AL
1,8,32,26,122,AL
2,8,40,31,102,AL
3,8,31,32,119,AL
4,8,53,28,133,AL
5,8,89,40,143,AL
6,8,44,32,131,AL
7,8,33,32,112,AL
8,8,31,28,117,AL
9,8,39,33,136,AL
10,8,36,32,113,AL
11,8,68,36,145,AL
12,8,69,36,148,AL
13,8,26,26,91,AL
14,8,21,21,70,AL
15,8,34,27,112,AL
16,8,41,32,129,AL
17,8,37,34,118,AL
18,8,51,34,131,AL
19,8,51,36,122,AL
20,8,41,27,118,AL
21,8,29,21,75,AL
22,8,21,21,73,AL
23,8,21,22,115,AL
24,8,45,33,142,AL
25,8,71,32,154,AL
26,8,63,39,155,AL
27,8,43,26,147,AL
28,8,37,27,130,AL
29,8,30,27,124,AL
30,8,26,25,106,AL
31,8,32,26,133,AL
1,9,31,27,130,AL
