day,month,numChecklists,numContributors,numSpecies,state
1,1,104,56,103,AR
2,1,72,51,106,AR
3,1,79,44,106,AR
4,1,45,30,95,AR
5,1,55,40,99,AR
6,1,87,46,107,AR
7,1,93,38,106,AR
8,1,43,32,98,AR
9,1,32,29,93,AR
10,1,39,28,85,AR
11,1,33,28,92,AR
12,1,38,30,102,AR
13,1,63,41,101,AR
14,1,71,44,108,AR
15,1,48,33,100,AR
16,1,29,25,66,AR
17,1,28,24,83,AR
18,1,35,32,110,AR
19,1,40,25,88,AR
20,1,85,43,103,AR
21,1,57,38,92,AR
22,1,65,23,85,AR
23,1,64,30,85,AR
24,1,61,30,106,AR
25,1,48,23,93,AR
26,1,91,50,97,AR
27,1,85,41,99,AR
28,1,87,32,105,AR
29,1,58,27,91,AR
30,1,71,25,93,AR
31,1,50,27,92,AR
1,2,85,32,93,AR
2,2,64,31,98,AR
3,2,83,48,101,AR
4,2,67,38,96,AR
5,2,47,28,91,AR
6,2,46,36,94,AR
7,2,43,32,78,AR
8,2,42,24,98,AR
9,2,118,40,100,AR
10,2,36,26,73,AR
11,2,32,30,87,AR
12,2,23,25,74,AR
13,2,38,32,86,AR
14,2,54,30,86,AR
15,2,66,32,100,AR
16,2,180,139,117,AR
17,2,309,190,116,AR
18,2,263,182,124,AR
19,2,180,122,115,AR
20,2,30,24,83,AR
21,2,26,19,68,AR
22,2,32,23,78,AR
23,2,29,28,76,AR
24,2,32,30,83,AR
25,2,54,44,104,AR
26,2,32,36,104,AR
27,2,29,23,87,AR
28,2,20,19,65,AR
1,3,36,31,80,AR
2,3,64,40,112,AR
3,3,33,36,95,AR
4,3,45,31,89,AR
5,3,33,30,92,AR
6,3,19,23,67,AR
7,3,32,27,90,AR
8,3,33,28,93,AR
9,3,48,32,99,AR
10,3,40,42,107,AR
11,3,37,32,101,AR
12,3,37,29,90,AR
13,3,31,36,81,AR
14,3,41,29,109,AR
15,3,34,31,89,AR
16,3,54,38,98,AR
17,3,57,41,119,AR
18,3,60,40,118,AR
19,3,28,23,99,AR
20,3,47,28,91,AR
21,3,39,37,97,AR
22,3,42,39,105,AR
23,3,32,28,102,AR
24,3,78,44,111,AR
25,3,43,40,96,AR
26,3,44,32,114,AR
27,3,23,24,81,AR
28,3,0,0,0,AR
29,3,0,0,0,AR
30,3,0,0,0,AR
31,3,0,0,0,AR
1,4,0,0,0,AR
2,4,0,0,0,AR
3,4,0,0,0,AR
4,4,0,0,0,AR
5,4,0,0,0,AR
6,4,0,0,0,AR
7,4,0,0,0,AR
8,4,0,0,0,AR
9,4,0,0,0,AR
10,4,0,0,0,AR
11,4,0,0,0,AR
12,4,0,0,0,AR
13,4,0,0,0,AR
14,4,0,0,0,AR
15,4,0,0,0,AR
16,4,0,0,0,AR
17,4,0,0,0,AR
18,4,0,0,0,AR
19,4,0,0,0,AR
20,4,0,0,0,AR
21,4,0,0,0,AR
22,4,0,0,0,AR
23,4,0,0,0,AR
24,4,0,0,0,AR
25,4,0,0,0,AR
26,4,0,0,0,AR
27,4,0,0,0,AR
28,4,0,0,0,AR
29,4,0,0,0,AR
30,4,0,0,0,AR
1,5,0,0,0,AR
2,5,0,0,0,AR
3,5,0,0,0,AR
4,5,0,0,0,AR
5,5,0,0,0,AR
6,5,0,0,0,AR
7,5,0,0,0,AR
8,5,0,0,0,AR
9,5,0,0,0,AR
10,5,0,0,0,AR
11,5,0,0,0,AR
12,5,0,0,0,AR
13,5,0,0,0,AR
14,5,0,0,0,AR
15,5,0,0,0,AR
16,5,0,0,0,AR
17,5,0,0,0,AR
18,5,0,0,0,AR
19,5,0,0,0,AR
20,5,0,0,0,AR
21,5,0,0,0,AR
22,5,0,0,0,AR
23,5,0,0,0,AR
24,5,0,0,0,AR
25,5,0,0,0,AR
26,5,0,0,0,AR
27,5,0,0,0,AR
28,5,0,0,0,AR
29,5,0,0,0,AR
30,5,0,0,0,AR
31,5,0,0,0,AR
1,6,0,0,0,AR
2,6,0,0,0,AR
3,6,0,0,0,AR
4,6,0,0,0,AR
5,6,0,0,0,AR
6,6,0,0,0,AR
7,6,0,0,0,AR
8,6,0,0,0,AR
9,6,0,0,0,AR
10,6,0,0,0,AR
11,6,0,0,0,AR
