day,month,numChecklists,numContributors,numSpecies,state
1,1,612,256,235,AZ
2,1,647,288,245,AZ
3,1,402,233,235,AZ
4,1,398,255,236,AZ
5,1,340,212,232,AZ
6,1,384,237,244,AZ
7,1,474,261,246,AZ
8,1,497,267,251,AZ
9,1,345,211,239,AZ
10,1,364,208,231,AZ
11,1,347,213,244,AZ
12,1,310,190,226,AZ
13,1,318,196,229,AZ
14,1,420,227,245,AZ
15,1,326,195,232,AZ
16,1,411,222,236,AZ
17,1,359,205,229,AZ
18,1,311,198,234,AZ
19,1,345,187,216,AZ
20,1,226,144,208,AZ
21,1,417,205,224,AZ
22,1,357,215,233,AZ
23,1,251,168,215,AZ
24,1,245,185,215,AZ
25,1,284,176,218,AZ
26,1,305,202,228,AZ
27,1,237,175,209,AZ
28,1,391,230,229,AZ
29,1,390,223,227,AZ
30,1,260,189,218,AZ
31,1,373,193,222,AZ
1,2,285,188,213,AZ
2,2,271,190,241,AZ
3,2,303,196,228,AZ
4,2,397,233,229,AZ
5,2,338,213,233,AZ
6,2,256,182,227,AZ
7,2,298,172,229,AZ
8,2,317,192,220,AZ
9,2,348,211,225,AZ
10,2,400,255,223,AZ
11,2,379,236,245,AZ
12,2,318,204,228,AZ
13,2,244,184,221,AZ
14,2,260,179,229,AZ
15,2,283,187,221,AZ
16,2,310,206,226,AZ
17,2,539,343,241,AZ
18,2,555,322,228,AZ
19,2,464,315,218,AZ
20,2,495,341,238,AZ
21,2,328,209,219,AZ
22,2,272,193,224,AZ
23,2,264,183,218,AZ
24,2,310,186,228,AZ
25,2,376,240,227,AZ
26,2,334,211,230,AZ
27,2,255,170,206,AZ
28,2,210,150,213,AZ
1,3,307,194,212,AZ
2,3,312,194,219,AZ
3,3,302,206,225,AZ
4,3,372,250,222,AZ
5,3,329,235,215,AZ
6,3,292,185,229,AZ
7,3,315,180,228,AZ
8,3,353,226,232,AZ
9,3,296,202,222,AZ
10,3,401,225,232,AZ
11,3,381,238,235,AZ
12,3,362,265,235,AZ
13,3,356,226,230,AZ
14,3,338,198,234,AZ
15,3,400,242,239,AZ
16,3,404,232,243,AZ
17,3,399,249,244,AZ
18,3,440,257,245,AZ
19,3,384,229,244,AZ
20,3,327,222,240,AZ
21,3,286,191,237,AZ
22,3,347,240,242,AZ
23,3,269,195,230,AZ
24,3,354,228,243,AZ
25,3,405,257,243,AZ
26,3,388,259,244,AZ
27,3,337,218,238,AZ
28,3,309,202,233,AZ
29,3,383,240,239,AZ
30,3,336,220,245,AZ
31,3,272,196,238,AZ
1,4,396,254,249,AZ
2,4,367,238,249,AZ
3,4,289,191,239,AZ
4,4,325,232,252,AZ
5,4,381,225,256,AZ
6,4,472,219,256,AZ
7,4,354,208,248,AZ
8,4,404,261,258,AZ
9,4,414,258,267,AZ
10,4,337,199,260,AZ
11,4,395,222,256,AZ
12,4,386,230,264,AZ
13,4,423,224,258,AZ
14,4,400,247,262,AZ
15,4,474,264,274,AZ
16,4,443,245,255,AZ
17,4,369,201,246,AZ
18,4,434,229,261,AZ
19,4,469,244,260,AZ
20,4,408,218,262,AZ
21,4,482,260,269,AZ
22,4,575,273,271,AZ
23,4,402,244,265,AZ
24,4,377,222,259,AZ
25,4,353,212,263,AZ
26,4,446,251,278,AZ
27,4,469,251,274,AZ
28,4,391,223,267,AZ
29,4,448,259,279,AZ
30,4,432,237,274,AZ
1,5,378,186,275,AZ
2,5,426,196,266,AZ
3,5,338,195,262,AZ
4,5,354,194,266,AZ
5,5,333,208,265,AZ
6,5,455,222,266,AZ
7,5,490,232,263,AZ
8,5,302,198,261,AZ
9,5,319,186,256,AZ
10,5,420,202,261,AZ
11,5,381,194,255,AZ
12,5,462,205,269,AZ
13,5,999,363,290,AZ
14,5,400,215,258,AZ
15,5,356,176,249,AZ
16,5,345,212,252,AZ
17,5,380,198,245,AZ
18,5,442,186,251,AZ
19,5,368,187,258,AZ
20,5,486,224,237,AZ
21,5,403,186,243,AZ
22,5,314,159,251,AZ
23,5,319,161,245,AZ
24,5,319,174,233,AZ
25,5,285,146,232,AZ
26,5,300,170,246,AZ
27,5,336,182,261,AZ
28,5,294,184,242,AZ
29,5,252,152,245,AZ
30,5,210,130,215,AZ
31,5,177,123,232,AZ
1,6,238,127,230,AZ
2,6,224,143,225,AZ
3,6,274,156,242,AZ
4,6,258,141,242,AZ
5,6,200,113,236,AZ
6,6,174,106,227,AZ
7,6,210,131,223,AZ
8,6,249,118,221,AZ
9,6,205,130,221,AZ
10,6,230,142,217,AZ
11,6,177,127,213,AZ
12,6,162,111,208,AZ
13,6,172,115,209,AZ
14,6,172,116,213,AZ
15,6,164,113,211,AZ
16,6,149,104,223,AZ
17,6,292,143,223,AZ
18,6,276,127,232,AZ
19,6,235,107,214,AZ
20,6,137,95,192,AZ
21,6,139,110,204,AZ
22,6,153,97,214,AZ
23,6,172,112,226,AZ
24,6,201,118,224,AZ
25,6,205,138,226,AZ
26,6,126,91,209,AZ
27,6,131,94,190,AZ
28,6,146,103,199,AZ
29,6,144,101,211,AZ
30,6,156,105,219,AZ
1,7,170,126,208,AZ
2,7,158,114,225,AZ
3,7,166,112,219,AZ
4,7,194,123,211,AZ
5,7,129,92,208,AZ
6,7,155,103,188,AZ
7,7,126,98,209,AZ
8,7,167,116,213,AZ
9,7,161,113,228,AZ
10,7,157,108,219,AZ
11,7,226,112,221,AZ
12,7,278,128,220,AZ
13,7,197,115,213,AZ
14,7,294,132,214,AZ
15,7,259,124,210,AZ
16,7,300,143,224,AZ
17,7,196,113,220,AZ
18,7,223,116,209,AZ
19,7,241,127,228,AZ
20,7,285,123,221,AZ
21,7,230,122,217,AZ
22,7,291,144,221,AZ
23,7,304,145,240,AZ
24,7,300,133,210,AZ
25,7,313,127,218,AZ
