day,month,numChecklists,numContributors,numSpecies,state
1,1,2128,903,330,CA
2,1,1748,923,334,CA
3,1,1881,920,334,CA
4,1,925,574,308,CA
5,1,530,389,276,CA
6,1,472,359,266,CA
7,1,892,542,283,CA
8,1,1000,633,308,CA
9,1,1357,750,314,CA
10,1,1364,782,329,CA
11,1,713,477,299,CA
12,1,729,514,281,CA
13,1,580,449,286,CA
14,1,688,470,291,CA
15,1,934,587,300,CA
16,1,1247,698,310,CA
17,1,1386,704,316,CA
18,1,1013,649,307,CA
19,1,513,390,281,CA
20,1,692,515,287,CA
21,1,664,496,296,CA
22,1,610,417,293,CA
23,1,1180,740,323,CA
24,1,1412,795,322,CA
25,1,738,522,302,CA
26,1,713,490,286,CA
27,1,787,508,295,CA
28,1,735,476,293,CA
29,1,742,479,299,CA
30,1,1402,772,325,CA
31,1,879,557,297,CA
1,2,618,417,298,CA
2,2,573,427,293,CA
3,2,694,512,289,CA
4,2,760,511,292,CA
5,2,834,562,299,CA
6,2,1388,781,316,CA
7,2,1117,728,309,CA
8,2,595,465,283,CA
9,2,623,502,292,CA
10,2,572,452,287,CA
11,2,648,521,294,CA
12,2,2074,1602,314,CA
13,2,2896,2160,338,CA
14,2,2645,2046,321,CA
15,2,1983,1602,316,CA
16,2,607,489,285,CA
17,2,490,420,288,CA
18,2,683,471,285,CA
19,2,736,513,289,CA
20,2,1378,848,331,CA
21,2,1249,780,329,CA
22,2,645,445,311,CA
23,2,596,493,305,CA
24,2,703,490,292,CA
25,2,613,472,282,CA
26,2,740,552,301,CA
27,2,1395,746,336,CA
28,2,1132,695,327,CA
29,2,587,469,298,CA
1,3,683,515,294,CA
2,3,767,526,301,CA
3,3,1136,573,306,CA
4,3,988,506,308,CA
5,3,1038,552,306,CA
6,3,858,597,306,CA
7,3,414,348,265,CA
8,3,678,513,290,CA
9,3,567,431,290,CA
10,3,543,381,304,CA
11,3,423,358,286,CA
12,3,966,630,312,CA
13,3,629,464,297,CA
14,3,611,461,288,CA
15,3,654,522,294,CA
16,3,676,554,295,CA
17,3,764,543,300,CA
18,3,794,565,312,CA
19,3,1219,738,323,CA
20,3,954,670,327,CA
21,3,540,412,290,CA
22,3,639,499,298,CA
23,3,613,490,297,CA
24,3,686,508,299,CA
25,3,756,542,309,CA
26,3,1098,747,314,CA
27,3,853,637,312,CA
28,3,445,375,292,CA
29,3,569,460,297,CA
30,3,599,462,306,CA
31,3,704,541,308,CA
1,4,708,535,329,CA
2,4,1219,772,328,CA
3,4,1041,690,330,CA
4,4,630,486,322,CA
5,4,626,526,304,CA
6,4,696,529,314,CA
7,4,759,534,313,CA
8,4,768,490,310,CA
9,4,975,612,327,CA
10,4,969,632,344,CA
11,4,666,501,321,CA
12,4,648,517,316,CA
13,4,619,523,307,CA
14,4,753,494,308,CA
15,4,1055,598,323,CA
16,4,1562,789,347,CA
17,4,1303,788,344,CA
18,4,750,518,332,CA
19,4,786,547,328,CA
20,4,789,548,321,CA
21,4,730,521,310,CA
22,4,640,487,321,CA
23,4,1211,767,347,CA
24,4,1242,711,336,CA
25,4,521,438,305,CA
26,4,742,543,316,CA
27,4,504,446,310,CA
28,4,613,470,314,CA
29,4,920,598,333,CA
30,4,1605,745,354,CA
1,5,1254,809,344,CA
2,5,837,528,333,CA
3,5,861,540,331,CA
4,5,1197,513,332,CA
5,5,571,458,314,CA
6,5,597,464,321,CA
7,5,1110,799,337,CA
8,5,960,674,333,CA
9,5,640,484,309,CA
10,5,687,504,313,CA
11,5,613,496,320,CA
12,5,713,491,324,CA
13,5,735,506,329,CA
14,5,2413,985,347,CA
15,5,1156,645,338,CA
16,5,540,414,318,CA
17,5,651,481,316,CA
18,5,576,457,328,CA
19,5,513,424,311,CA
20,5,481,382,296,CA
21,5,1231,602,324,CA
22,5,884,624,328,CA
23,5,559,446,289,CA
24,5,475,394,299,CA
25,5,595,442,299,CA
26,5,534,418,306,CA
27,5,623,508,300,CA
28,5,969,615,324,CA
29,5,971,558,325,CA
30,5,896,561,333,CA
31,5,479,410,300,CA
1,6,534,423,299,CA
2,6,507,374,306,CA
3,6,677,433,298,CA
4,6,999,622,321,CA
5,6,806,545,315,CA
6,6,657,394,296,CA
7,6,688,376,301,CA
8,6,489,389,305,CA
9,6,619,394,311,CA
10,6,679,436,300,CA
11,6,818,539,311,CA
12,6,990,555,320,CA
13,6,518,383,295,CA
14,6,449,361,291,CA
15,6,462,389,297,CA
16,6,479,394,306,CA
17,6,579,404,307,CA
18,6,868,536,324,CA
19,6,654,458,302,CA
20,6,454,357,285,CA
21,6,453,333,292,CA
22,6,484,345,277,CA
23,6,495,341,282,CA
24,6,562,416,298,CA
25,6,899,522,312,CA
26,6,749,468,312,CA
27,6,532,334,300,CA
28,6,528,331,300,CA
29,6,477,355,313,CA
30,6,463,348,298,CA
1,7,540,406,287,CA
2,7,810,506,315,CA
3,7,772,522,319,CA
4,7,549,416,298,CA
5,7,479,364,308,CA
6,7,488,377,289,CA
7,7,584,396,307,CA
8,7,629,441,303,CA
9,7,1051,533,324,CA
10,7,770,511,318,CA
11,7,510,360,309,CA
12,7,511,397,289,CA
13,7,525,407,317,CA
14,7,499,394,295,CA
15,7,577,408,310,CA
16,7,933,512,343,CA
17,7,765,498,313,CA
18,7,451,340,297,CA
19,7,431,336,306,CA
20,7,459,369,306,CA
21,7,422,340,298,CA
22,7,495,379,299,CA
23,7,768,429,311,CA
24,7,585,426,313,CA
25,7,388,319,284,CA
26,7,367,319,294,CA
27,7,390,329,288,CA
28,7,418,368,292,CA
29,7,623,405,315,CA
30,7,748,465,316,CA
31,7,669,456,323,CA
1,8,402,345,306,CA
2,8,458,341,283,CA
3,8,415,350,301,CA
4,8,405,346,284,CA
5,8,540,407,307,CA
6,8,948,529,328,CA
7,8,832,513,324,CA
8,8,532,390,299,CA
9,8,533,371,300,CA
10,8,501,372,299,CA
11,8,499,366,308,CA
12,8,778,421,311,CA
13,8,957,511,333,CA
14,8,1106,487,323,CA
15,8,423,325,296,CA
16,8,407,343,285,CA
17,8,395,314,294,CA
18,8,440,359,297,CA
19,8,496,378,304,CA
20,8,1237,560,328,CA
21,8,1237,577,327,CA
22,8,513,389,322,CA
23,8,521,399,311,CA
24,8,465,392,312,CA
25,8,631,427,316,CA
26,8,692,469,334,CA
27,8,1077,583,334,CA
28,8,907,563,336,CA
29,8,504,354,318,CA
30,8,523,401,317,CA
31,8,443,348,301,CA
1,9,610,430,313,CA
2,9,624,461,314,CA
3,9,1111,682,338,CA
4,9,1070,673,362,CA
5,9,1061,687,340,CA
6,9,849,460,324,CA
7,9,798,436,327,CA
8,9,917,446,333,CA
9,9,906,498,336,CA
10,9,1245,657,354,CA
11,9,1402,661,356,CA
12,9,657,445,323,CA
13,9,717,533,308,CA
14,9,818,519,341,CA
15,9,1132,516,334,CA
16,9,834,510,330,CA
17,9,1337,703,351,CA
18,9,1318,644,346,CA
