day,month,numChecklists,numContributors,numSpecies,state
1,1,795,232,168,CO
2,1,385,194,149,CO
3,1,466,203,159,CO
4,1,260,126,145,CO
5,1,226,134,133,CO
6,1,197,115,136,CO
7,1,163,103,109,CO
8,1,150,100,105,CO
9,1,286,168,135,CO
10,1,490,164,153,CO
11,1,136,89,124,CO
12,1,168,93,125,CO
13,1,171,99,119,CO
14,1,97,71,99,CO
15,1,116,81,112,CO
16,1,272,158,136,CO
17,1,256,138,142,CO
18,1,372,140,152,CO
19,1,133,79,126,CO
20,1,100,81,104,CO
21,1,124,90,111,CO
22,1,196,111,125,CO
23,1,336,168,136,CO
24,1,199,139,123,CO
25,1,176,73,124,CO
26,1,111,76,106,CO
27,1,168,84,117,CO
28,1,117,81,105,CO
29,1,126,84,129,CO
30,1,334,165,141,CO
31,1,179,116,114,CO
1,2,86,68,87,CO
2,2,87,87,94,CO
3,2,97,72,103,CO
4,2,79,76,96,CO
5,2,106,86,115,CO
6,2,243,165,143,CO
7,2,230,140,122,CO
8,2,115,69,113,CO
9,2,110,89,107,CO
10,2,152,95,120,CO
11,2,115,94,110,CO
12,2,484,372,132,CO
13,2,881,501,148,CO
14,2,631,476,143,CO
15,2,522,319,131,CO
16,2,182,109,117,CO
17,2,183,112,115,CO
18,2,114,79,102,CO
19,2,207,119,122,CO
20,2,310,181,137,CO
21,2,292,162,137,CO
22,2,213,103,132,CO
23,2,120,81,99,CO
24,2,162,87,127,CO
25,2,135,88,121,CO
26,2,222,112,125,CO
27,2,327,185,130,CO
28,2,336,159,127,CO
29,2,135,79,118,CO
1,3,133,87,105,CO
2,3,120,68,111,CO
3,3,119,100,107,CO
4,3,182,113,131,CO
5,3,332,189,137,CO
6,3,304,160,129,CO
7,3,128,85,119,CO
8,3,151,90,116,CO
9,3,152,87,119,CO
10,3,129,108,123,CO
11,3,202,128,141,CO
12,3,291,182,151,CO
13,3,315,183,152,CO
14,3,159,100,113,CO
15,3,107,87,119,CO
16,3,180,106,148,CO
17,3,156,113,133,CO
18,3,181,105,131,CO
19,3,404,164,161,CO
20,3,302,171,157,CO
21,3,196,116,140,CO
22,3,169,114,132,CO
23,3,101,83,113,CO
24,3,157,105,140,CO
25,3,195,112,137,CO
26,3,277,147,148,CO
27,3,355,172,159,CO
28,3,256,125,156,CO
29,3,189,121,146,CO
30,3,194,112,150,CO
31,3,134,103,144,CO
1,4,251,157,156,CO
2,4,476,220,181,CO
3,4,500,203,189,CO
4,4,371,157,167,CO
5,4,203,145,156,CO
6,4,224,145,165,CO
7,4,312,158,176,CO
8,4,491,192,187,CO
9,4,591,265,195,CO
10,4,564,238,197,CO
11,4,409,163,191,CO
12,4,385,187,192,CO
13,4,415,190,185,CO
14,4,384,175,193,CO
15,4,426,201,206,CO
16,4,341,156,198,CO
17,4,533,204,208,CO
18,4,429,181,201,CO
19,4,350,179,208,CO
20,4,422,201,212,CO
21,4,379,199,215,CO
22,4,508,202,219,CO
23,4,590,250,211,CO
24,4,473,232,214,CO
25,4,347,158,219,CO
26,4,246,141,191,CO
27,4,415,185,215,CO
28,4,317,154,226,CO
29,4,296,140,215,CO
30,4,548,218,232,CO
1,5,553,227,240,CO
