day,month,numChecklists,numContributors,numSpecies,state
1,1,483,151,127,CT
2,1,379,144,138,CT
3,1,333,149,139,CT
4,1,172,91,111,CT
5,1,136,85,114,CT
6,1,165,94,117,CT
7,1,155,90,116,CT
8,1,158,88,116,CT
9,1,344,139,131,CT
10,1,103,62,102,CT
11,1,128,85,119,CT
12,1,128,72,110,CT
13,1,105,64,112,CT
14,1,106,69,113,CT
15,1,187,93,125,CT
16,1,173,90,119,CT
17,1,237,115,121,CT
18,1,121,82,105,CT
19,1,82,55,94,CT
20,1,113,66,109,CT
21,1,101,62,107,CT
22,1,157,74,121,CT
23,1,83,70,84,CT
24,1,137,82,109,CT
25,1,110,65,105,CT
26,1,80,65,104,CT
27,1,115,59,109,CT
28,1,109,70,118,CT
29,1,77,62,115,CT
30,1,176,95,123,CT
31,1,226,114,134,CT
1,2,94,64,99,CT
2,2,91,71,107,CT
3,2,52,47,83,CT
4,2,89,64,92,CT
5,2,45,50,64,CT
6,2,132,75,117,CT
7,2,142,103,112,CT
8,2,59,58,58,CT
9,2,78,56,92,CT
10,2,84,71,95,CT
11,2,94,68,99,CT
12,2,396,308,109,CT
13,2,567,435,125,CT
14,2,565,459,115,CT
15,2,441,351,118,CT
16,2,46,40,82,CT
17,2,111,73,105,CT
18,2,82,52,95,CT
19,2,113,64,100,CT
20,2,179,100,115,CT
21,2,172,105,118,CT
22,2,70,56,98,CT
23,2,88,55,90,CT
24,2,43,36,74,CT
25,2,107,63,101,CT
26,2,94,66,96,CT
27,2,200,92,116,CT
28,2,217,119,119,CT
29,2,117,86,99,CT
1,3,142,96,96,CT
2,3,89,73,94,CT
3,3,105,74,101,CT
4,3,82,67,85,CT
5,3,153,81,125,CT
6,3,139,87,115,CT
7,3,89,67,87,CT
8,3,122,76,115,CT
9,3,179,101,116,CT
10,3,125,87,104,CT
11,3,135,86,106,CT
12,3,216,118,125,CT
13,3,247,111,125,CT
14,3,47,39,77,CT
15,3,94,66,103,CT
16,3,109,75,106,CT
17,3,108,75,108,CT
18,3,113,71,107,CT
19,3,178,92,123,CT
20,3,252,119,122,CT
21,3,91,73,101,CT
22,3,124,80,107,CT
23,3,116,85,112,CT
24,3,127,70,109,CT
25,3,188,90,122,CT
26,3,249,114,119,CT
27,3,186,108,130,CT
28,3,57,53,99,CT
29,3,114,64,108,CT
30,3,141,87,120,CT
31,3,134,91,112,CT
1,4,154,93,120,CT
2,4,192,96,138,CT
3,4,133,85,126,CT
4,4,84,67,110,CT
5,4,123,76,123,CT
6,4,143,94,128,CT
7,4,117,74,119,CT
8,4,145,87,120,CT
9,4,268,118,140,CT
10,4,228,127,138,CT
11,4,99,73,116,CT
12,4,106,76,121,CT
13,4,165,104,129,CT
14,4,138,94,130,CT
15,4,130,94,131,CT
16,4,156,108,138,CT
17,4,238,141,141,CT
18,4,124,92,134,CT
19,4,142,81,123,CT
20,4,149,107,122,CT
21,4,147,104,131,CT
22,4,160,104,147,CT
23,4,178,112,145,CT
24,4,212,135,140,CT
25,4,140,104,139,CT
26,4,96,73,140,CT
27,4,171,119,154,CT
28,4,143,97,134,CT
29,4,155,109,143,CT
30,4,249,157,171,CT
1,5,189,118,150,CT
2,5,161,97,161,CT
3,5,107,89,156,CT
4,5,164,111,159,CT
5,5,150,97,158,CT
6,5,137,83,150,CT
7,5,274,128,173,CT
8,5,276,173,186,CT
9,5,208,151,174,CT
10,5,204,156,180,CT
11,5,219,143,173,CT
12,5,186,134,183,CT
13,5,166,108,176,CT
14,5,401,208,200,CT
15,5,245,160,175,CT
16,5,151,96,173,CT
17,5,179,112,179,CT
18,5,210,127,179,CT
19,5,183,117,177,CT
20,5,208,128,179,CT
21,5,240,133,177,CT
22,5,211,130,178,CT
23,5,128,90,154,CT
24,5,117,62,156,CT
25,5,175,100,172,CT
26,5,121,94,159,CT
27,5,129,82,167,CT
28,5,137,100,172,CT
29,5,191,111,172,CT
30,5,128,86,159,CT
31,5,103,79,159,CT
1,6,139,91,156,CT
2,6,110,83,155,CT
3,6,99,63,145,CT
4,6,212,110,178,CT
5,6,95,66,153,CT
6,6,96,77,151,CT
7,6,92,61,144,CT
8,6,85,62,133,CT
9,6,95,69,144,CT
10,6,99,87,147,CT
11,6,114,80,155,CT
12,6,108,76,151,CT
13,6,94,53,141,CT
14,6,86,67,143,CT
15,6,104,68,136,CT
16,6,114,69,148,CT
17,6,135,78,147,CT
18,6,125,75,146,CT
19,6,169,98,153,CT
20,6,97,72,136,CT
21,6,82,55,135,CT
22,6,209,66,144,CT
23,6,88,57,127,CT
24,6,74,51,127,CT
25,6,117,78,145,CT
26,6,114,78,154,CT
27,6,79,57,137,CT
28,6,56,45,120,CT
29,6,72,50,126,CT
30,6,92,56,137,CT
1,7,65,53,121,CT
2,7,125,84,144,CT
3,7,131,80,151,CT
4,7,113,78,148,CT
5,7,56,49,127,CT
6,7,82,52,135,CT
7,7,61,54,132,CT
8,7,96,57,140,CT
9,7,71,58,128,CT
10,7,97,70,135,CT
11,7,88,52,137,CT
12,7,81,69,139,CT
13,7,77,54,128,CT
14,7,59,47,117,CT
15,7,71,48,129,CT
16,7,93,69,144,CT
17,7,108,73,140,CT
18,7,54,44,109,CT
19,7,80,60,134,CT
20,7,99,62,139,CT
21,7,98,57,144,CT
22,7,71,56,124,CT
23,7,96,68,138,CT
24,7,87,70,151,CT
25,7,47,39,119,CT
26,7,68,49,127,CT
27,7,60,37,124,CT
28,7,61,41,129,CT
29,7,68,48,122,CT
30,7,77,54,135,CT
31,7,78,46,125,CT
1,8,75,50,123,CT
2,8,68,53,123,CT
3,8,98,66,139,CT
4,8,98,66,135,CT
5,8,99,53,135,CT
6,8,78,50,137,CT
7,8,116,65,148,CT
8,8,96,59,127,CT
9,8,74,57,134,CT
10,8,55,41,107,CT
11,8,71,47,120,CT
12,8,73,49,124,CT
13,8,98,58,130,CT
14,8,83,57,138,CT
15,8,86,57,128,CT
16,8,73,51,127,CT
17,8,71,59,130,CT
18,8,88,65,143,CT
19,8,98,58,148,CT
20,8,116,75,143,CT
21,8,81,55,132,CT
22,8,77,60,142,CT
23,8,114,76,148,CT
24,8,105,75,143,CT
25,8,104,68,150,CT
26,8,101,65,142,CT
27,8,195,85,159,CT
28,8,135,98,158,CT
29,8,84,63,136,CT
30,8,91,67,148,CT
31,8,78,48,128,CT
1,9,101,64,135,CT
2,9,139,82,167,CT
3,9,185,97,163,CT
4,9,114,79,143,CT
5,9,126,70,135,CT
6,9,87,56,122,CT
7,9,83,50,135,CT
8,9,65,58,144,CT
9,9,92,66,140,CT
10,9,115,81,160,CT
11,9,106,72,146,CT
12,9,110,80,172,CT
13,9,108,72,151,CT
14,9,97,58,140,CT
15,9,103,80,164,CT
16,9,98,73,150,CT
17,9,115,75,164,CT
18,9,127,96,143,CT
19,9,40,26,104,CT
20,9,74,61,133,CT
21,9,104,85,151,CT
22,9,66,59,145,CT
23,9,73,57,143,CT
24,9,129,87,154,CT
25,9,124,94,166,CT
26,9,76,65,136,CT
27,9,85,61,135,CT
28,9,113,73,132,CT
29,9,88,65,142,CT
30,9,67,43,115,CT
1,10,93,67,142,CT
2,10,151,102,159,CT
3,10,99,80,148,CT
4,10,102,75,149,CT
5,10,120,79,132,CT
6,10,101,69,135,CT
7,10,123,81,140,CT
8,10,132,84,154,CT
9,10,64,52,128,CT
10,10,116,78,136,CT
11,10,100,78,131,CT
12,10,134,76,144,CT
13,10,95,63,117,CT
14,10,94,71,117,CT
15,10,153,97,147,CT
16,10,153,89,131,CT
17,10,93,62,131,CT
18,10,104,74,129,CT
19,10,119,74,131,CT
20,10,96,61,120,CT
21,10,88,48,114,CT
22,10,101,53,115,CT
23,10,132,78,122,CT
24,10,62,45,108,CT
25,10,87,68,121,CT
26,10,88,57,134,CT
27,10,52,46,100,CT
28,10,97,66,124,CT
29,10,157,91,142,CT
30,10,145,101,132,CT
31,10,100,65,122,CT
1,11,93,68,116,CT
2,11,101,68,120,CT
3,11,73,52,107,CT
4,11,88,55,120,CT
5,11,154,93,130,CT
6,11,184,103,133,CT
7,11,79,56,109,CT
8,11,106,59,108,CT
9,11,69,46,99,CT
10,11,81,59,116,CT
11,11,73,60,100,CT
12,11,131,81,134,CT
13,11,180,93,139,CT
14,11,88,58,108,CT
15,11,47,31,90,CT
16,11,86,48,117,CT
17,11,83,52,102,CT
18,11,89,62,123,CT
19,11,162,96,134,CT
20,11,108,73,111,CT
21,11,66,49,82,CT
22,11,61,46,88,CT
23,11,103,69,122,CT
24,11,92,69,103,CT
25,11,146,81,115,CT
26,11,120,78,121,CT
27,11,163,83,127,CT
28,11,70,52,113,CT
29,11,52,37,93,CT
30,11,65,44,92,CT
1,12,73,47,95,CT
2,12,107,63,109,CT
3,12,133,80,114,CT
4,12,129,88,116,CT
5,12,72,48,98,CT
6,12,89,49,110,CT
7,12,72,45,106,CT
8,12,90,50,105,CT
9,12,85,52,98,CT
10,12,147,90,119,CT
11,12,154,87,112,CT
12,12,75,46,100,CT
13,12,86,64,113,CT
14,12,101,64,103,CT
15,12,72,53,91,CT
16,12,82,59,105,CT
17,12,120,87,122,CT
18,12,290,104,137,CT
19,12,77,51,105,CT
20,12,78,59,103,CT
21,12,118,71,121,CT
22,12,105,64,112,CT
23,12,117,76,116,CT
24,12,105,66,109,CT
25,12,116,81,101,CT
26,12,181,100,127,CT
27,12,110,77,106,CT
28,12,181,85,116,CT
29,12,72,47,95,CT
30,12,94,62,109,CT
31,12,261,102,122,CT
