day,month,numChecklists,numContributors,numSpecies,state
1,1,101,35,76,DC
2,1,32,17,65,DC
3,1,20,20,64,DC
4,1,31,27,66,DC
5,1,40,28,76,DC
6,1,30,25,50,DC
7,1,53,27,72,DC
8,1,40,28,68,DC
9,1,19,20,63,DC
10,1,28,18,60,DC
11,1,25,25,64,DC
12,1,19,23,62,DC
13,1,28,23,63,DC
14,1,15,14,63,DC
15,1,45,25,72,DC
16,1,38,25,65,DC
17,1,17,13,45,DC
18,1,16,15,56,DC
19,1,12,16,46,DC
20,1,14,13,56,DC
21,1,48,55,73,DC
22,1,34,22,72,DC
23,1,6,8,30,DC
24,1,15,13,52,DC
25,1,11,11,43,DC
26,1,45,21,68,DC
27,1,17,16,51,DC
28,1,50,24,68,DC
29,1,30,22,69,DC
30,1,19,8,54,DC
31,1,20,14,58,DC
1,2,17,20,57,DC
2,2,12,10,44,DC
3,2,12,11,50,DC
4,2,28,15,74,DC
5,2,38,22,82,DC
6,2,10,11,48,DC
7,2,9,8,42,DC
8,2,15,18,44,DC
9,2,13,7,41,DC
10,2,17,14,60,DC
11,2,19,13,70,DC
12,2,28,20,71,DC
13,2,8,8,37,DC
14,2,21,12,53,DC
15,2,15,21,47,DC
16,2,14,13,45,DC
17,2,36,28,61,DC
18,2,71,55,70,DC
19,2,48,40,75,DC
20,2,33,31,63,DC
21,2,21,12,65,DC
22,2,18,18,61,DC
23,2,17,18,61,DC
24,2,21,23,60,DC
25,2,20,16,62,DC
26,2,23,18,68,DC
27,2,14,14,58,DC
28,2,18,20,65,DC
1,3,18,13,54,DC
2,3,8,9,43,DC
3,3,13,16,52,DC
4,3,26,18,75,DC
5,3,21,22,67,DC
6,3,15,14,66,DC
7,3,9,12,58,DC
8,3,14,16,54,DC
9,3,27,19,71,DC
10,3,4,9,42,DC
11,3,19,17,49,DC
12,3,11,13,58,DC
13,3,7,15,61,DC
14,3,10,12,42,DC
15,3,11,13,42,DC
16,3,11,15,45,DC
17,3,8,11,46,DC
18,3,25,31,79,DC
19,3,35,27,80,DC
20,3,17,18,66,DC
21,3,14,16,68,DC
22,3,8,10,40,DC
23,3,13,14,52,DC
24,3,13,15,54,DC
25,3,37,31,91,DC
26,3,45,41,90,DC
27,3,30,29,88,DC
28,3,17,22,72,DC
29,3,21,26,68,DC
30,3,22,22,92,DC
31,3,11,13,63,DC
1,4,52,44,99,DC
2,4,34,32,89,DC
3,4,22,23,86,DC
4,4,31,31,87,DC
5,4,33,37,88,DC
6,4,22,19,78,DC
7,4,17,16,82,DC
8,4,41,32,83,DC
9,4,46,35,92,DC
10,4,30,26,78,DC
11,4,31,24,69,DC
12,4,30,25,82,DC
13,4,32,26,84,DC
14,4,48,26,85,DC
15,4,37,30,91,DC
16,4,46,38,93,DC
17,4,19,22,75,DC
18,4,28,29,75,DC
19,4,35,22,73,DC
20,4,24,28,79,DC
21,4,38,30,97,DC
22,4,51,43,102,DC
23,4,70,48,118,DC
24,4,21,19,83,DC
25,4,13,13,67,DC
26,4,35,32,96,DC
27,4,48,41,103,DC
28,4,51,43,103,DC
29,4,69,52,109,DC
30,4,72,58,115,DC
1,5,39,27,103,DC
2,5,51,39,113,DC
3,5,54,39,113,DC
4,5,50,42,111,DC
5,5,21,23,105,DC
6,5,56,33,115,DC
7,5,53,40,121,DC
8,5,29,23,99,DC
9,5,31,27,97,DC
10,5,37,31,94,DC
11,5,14,17,89,DC
12,5,27,29,103,DC
13,5,52,51,118,DC
14,5,72,64,117,DC
15,5,40,37,109,DC
16,5,62,47,112,DC
17,5,34,30,93,DC
18,5,26,30,94,DC
19,5,18,21,84,DC
20,5,34,28,96,DC
21,5,49,44,110,DC
22,5,16,15,83,DC
23,5,23,21,81,DC
24,5,17,28,80,DC
25,5,18,21,72,DC
26,5,23,23,73,DC
27,5,26,25,98,DC
28,5,15,15,76,DC
29,5,24,19,93,DC
30,5,12,17,67,DC
31,5,23,21,81,DC
1,6,21,22,70,DC
2,6,15,16,52,DC
3,6,24,22,75,DC
4,6,14,17,66,DC
5,6,9,9,50,DC
6,6,14,18,59,DC
7,6,8,12,53,DC
8,6,11,12,47,DC
9,6,15,17,57,DC
10,6,6,10,62,DC
11,6,26,18,74,DC
12,6,8,11,55,DC
13,6,23,13,56,DC
14,6,18,18,57,DC
15,6,10,10,52,DC
16,6,11,11,59,DC
17,6,32,17,84,DC
18,6,20,23,78,DC
19,6,11,13,64,DC
20,6,12,12,56,DC
21,6,14,13,62,DC
22,6,10,13,61,DC
23,6,10,15,58,DC
24,6,13,10,66,DC
25,6,12,12,62,DC
26,6,11,12,45,DC
27,6,12,13,59,DC
28,6,11,15,58,DC
29,6,9,12,53,DC
30,6,9,8,44,DC
1,7,8,8,65,DC
2,7,19,21,73,DC
3,7,10,12,66,DC
4,7,12,14,68,DC
5,7,13,11,59,DC
6,7,8,10,46,DC
7,7,13,15,60,DC
8,7,16,17,55,DC
9,7,10,11,72,DC
10,7,13,12,56,DC
11,7,7,9,50,DC
12,7,8,9,30,DC
13,7,6,8,41,DC
14,7,4,8,40,DC
15,7,13,16,63,DC
16,7,14,12,55,DC
17,7,6,7,43,DC
18,7,5,5,36,DC
19,7,10,11,51,DC
20,7,8,9,46,DC
21,7,7,11,43,DC
22,7,6,7,47,DC
23,7,5,6,52,DC
24,7,8,5,37,DC
25,7,7,9,56,DC
26,7,10,10,36,DC
27,7,9,14,52,DC
28,7,7,12,58,DC
29,7,7,9,51,DC
30,7,9,13,44,DC
31,7,15,12,46,DC
1,8,7,10,48,DC
2,8,11,13,50,DC
3,8,7,11,44,DC
4,8,12,14,52,DC
5,8,7,7,51,DC
6,8,10,13,59,DC
7,8,7,6,46,DC
8,8,20,16,66,DC
9,8,12,12,56,DC
10,8,10,10,48,DC
11,8,13,11,55,DC
12,8,17,16,59,DC
13,8,10,8,61,DC
14,8,12,12,56,DC
15,8,6,8,42,DC
16,8,6,8,45,DC
17,8,7,11,46,DC
18,8,8,9,62,DC
19,8,8,8,71,DC
20,8,13,15,68,DC
