day,month,numChecklists,numContributors,numSpecies,state
1,1,130,56,124,DE
2,1,116,56,119,DE
3,1,69,42,120,DE
4,1,57,34,109,DE
5,1,39,25,92,DE
6,1,31,23,102,DE
7,1,32,28,90,DE
8,1,44,24,96,DE
9,1,164,54,129,DE
10,1,60,31,94,DE
11,1,31,20,80,DE
12,1,52,32,100,DE
13,1,26,18,84,DE
14,1,45,26,111,DE
15,1,49,29,98,DE
16,1,123,54,115,DE
17,1,58,45,106,DE
18,1,42,31,83,DE
19,1,30,20,61,DE
20,1,20,19,56,DE
21,1,20,21,78,DE
22,1,35,21,78,DE
23,1,24,25,48,DE
24,1,18,23,62,DE
25,1,27,22,84,DE
26,1,55,22,99,DE
27,1,34,21,89,DE
28,1,27,22,65,DE
29,1,50,28,98,DE
30,1,79,45,113,DE
31,1,69,33,111,DE
1,2,53,27,105,DE
2,2,44,27,88,DE
3,2,20,14,73,DE
4,2,26,25,81,DE
5,2,23,24,68,DE
6,2,108,70,111,DE
7,2,111,38,118,DE
8,2,31,26,87,DE
9,2,15,12,44,DE
10,2,17,19,49,DE
11,2,24,19,67,DE
12,2,168,111,113,DE
13,2,193,136,94,DE
14,2,191,135,100,DE
15,2,135,116,81,DE
16,2,15,15,55,DE
17,2,21,19,77,DE
18,2,34,25,85,DE
19,2,46,26,92,DE
20,2,191,68,127,DE
21,2,71,44,108,DE
22,2,40,30,90,DE
23,2,18,15,60,DE
24,2,16,17,54,DE
25,2,47,26,98,DE
26,2,31,20,83,DE
27,2,202,51,125,DE
28,2,133,56,127,DE
29,2,43,28,103,DE
1,3,40,23,105,DE
2,3,14,17,54,DE
3,3,34,22,82,DE
4,3,28,23,65,DE
5,3,98,39,120,DE
6,3,62,32,109,DE
7,3,31,34,91,DE
8,3,40,32,106,DE
9,3,62,38,107,DE
10,3,53,33,114,DE
11,3,49,37,108,DE
12,3,60,39,120,DE
13,3,72,36,116,DE
14,3,25,20,94,DE
15,3,25,22,92,DE
16,3,60,38,109,DE
17,3,42,33,109,DE
18,3,62,39,121,DE
19,3,91,41,125,DE
20,3,30,29,91,DE
21,3,18,21,80,DE
22,3,36,25,111,DE
23,3,33,32,98,DE
24,3,92,48,118,DE
25,3,69,43,112,DE
26,3,215,70,136,DE
27,3,61,35,110,DE
28,3,15,18,76,DE
29,3,33,22,98,DE
30,3,29,26,97,DE
31,3,50,27,116,DE
1,4,38,31,113,DE
2,4,57,39,118,DE
3,4,25,24,94,DE
4,4,25,24,100,DE
5,4,22,20,65,DE
6,4,38,29,101,DE
7,4,28,22,88,DE
8,4,72,30,130,DE
9,4,42,22,105,DE
10,4,105,43,139,DE
11,4,49,35,120,DE
12,4,38,30,94,DE
13,4,77,44,133,DE
14,4,50,32,116,DE
15,4,56,29,134,DE
16,4,87,56,148,DE
17,4,47,42,140,DE
18,4,39,33,119,DE
19,4,43,36,118,DE
20,4,69,48,151,DE
21,4,59,44,138,DE
22,4,78,48,160,DE
23,4,108,65,166,DE
24,4,129,62,156,DE
25,4,56,49,156,DE
26,4,62,47,146,DE
27,4,50,51,157,DE
28,4,23,31,123,DE
29,4,34,27,143,DE
30,4,72,48,163,DE
1,5,73,36,150,DE
2,5,47,42,146,DE
3,5,58,57,161,DE
4,5,52,43,172,DE
5,5,79,58,161,DE
6,5,157,46,192,DE
7,5,178,68,199,DE
8,5,89,73,173,DE
9,5,74,48,193,DE
10,5,68,47,176,DE
11,5,61,45,174,DE
12,5,103,65,186,DE
13,5,49,41,172,DE
14,5,198,77,204,DE
15,5,60,51,161,DE
16,5,49,45,147,DE
17,5,44,37,140,DE
18,5,35,31,146,DE
19,5,100,65,165,DE
20,5,122,69,163,DE
21,5,125,61,154,DE
22,5,127,58,156,DE
23,5,57,39,143,DE
24,5,63,55,163,DE
25,5,69,45,161,DE
26,5,53,51,141,DE
27,5,44,31,132,DE
28,5,93,49,149,DE
29,5,84,46,145,DE
30,5,26,31,119,DE
31,5,31,31,114,DE
1,6,31,23,109,DE
2,6,18,20,85,DE
3,6,19,24,113,DE
4,6,83,62,131,DE
5,6,53,25,135,DE
6,6,17,18,111,DE
7,6,13,12,102,DE
8,6,13,12,92,DE
9,6,16,16,76,DE
10,6,33,19,102,DE
11,6,84,43,117,DE
12,6,36,29,113,DE
13,6,22,24,96,DE
14,6,16,18,85,DE
15,6,26,25,92,DE
16,6,15,13,82,DE
17,6,31,21,117,DE
18,6,41,25,121,DE
19,6,18,13,82,DE
20,6,17,15,82,DE
21,6,21,16,88,DE
22,6,33,22,85,DE
23,6,8,9,64,DE
24,6,43,18,112,DE
25,6,17,15,107,DE
26,6,54,24,122,DE
27,6,17,16,95,DE
28,6,97,22,102,DE
29,6,29,20,94,DE
30,6,29,24,111,DE
1,7,16,16,97,DE
2,7,55,27,119,DE
3,7,31,19,127,DE
4,7,34,25,119,DE
5,7,8,10,69,DE
6,7,18,16,85,DE
7,7,14,16,113,DE
8,7,9,15,100,DE
9,7,44,25,123,DE
10,7,60,35,123,DE
11,7,24,20,104,DE
12,7,12,10,69,DE
13,7,25,19,109,DE
14,7,25,18,99,DE
15,7,17,16,108,DE
16,7,57,27,117,DE
17,7,21,23,109,DE
18,7,19,20,102,DE
19,7,49,23,110,DE
20,7,27,25,115,DE
21,7,12,14,89,DE
22,7,24,13,116,DE
23,7,28,17,116,DE
24,7,46,35,130,DE
25,7,30,22,116,DE
26,7,20,19,106,DE
27,7,19,15,98,DE
28,7,27,20,106,DE
29,7,20,17,98,DE
30,7,82,58,138,DE
31,7,189,58,145,DE
1,8,125,43,125,DE
2,8,59,52,123,DE
3,8,66,50,134,DE
4,8,85,42,111,DE
5,8,33,26,117,DE
6,8,20,20,113,DE
7,8,43,27,131,DE
8,8,43,27,136,DE
9,8,17,14,112,DE
10,8,20,19,108,DE
11,8,24,15,89,DE
12,8,70,21,125,DE
13,8,71,42,135,DE
14,8,37,25,126,DE
15,8,26,23,116,DE
16,8,28,23,123,DE
17,8,41,21,124,DE
18,8,25,24,129,DE
19,8,25,18,118,DE
20,8,108,49,153,DE
21,8,270,75,142,DE
22,8,28,28,123,DE
23,8,39,32,130,DE
24,8,32,24,124,DE
25,8,38,35,118,DE
26,8,24,21,120,DE
27,8,57,32,143,DE
28,8,38,28,140,DE
29,8,36,19,137,DE
30,8,28,21,136,DE
31,8,23,24,131,DE
1,9,26,25,125,DE
2,9,54,26,147,DE
3,9,45,31,141,DE
4,9,67,42,159,DE
5,9,67,49,160,DE
6,9,38,35,122,DE
7,9,28,26,119,DE
8,9,32,23,124,DE
9,9,30,25,120,DE
10,9,56,36,135,DE
11,9,77,33,135,DE
12,9,47,32,138,DE
13,9,42,35,131,DE
14,9,32,19,126,DE
15,9,43,37,105,DE
16,9,86,38,146,DE
17,9,97,39,153,DE
18,9,52,38,143,DE
19,9,25,20,125,DE
20,9,32,34,136,DE
21,9,38,32,144,DE
22,9,25,22,112,DE
23,9,37,27,132,DE
24,9,49,47,154,DE
25,9,65,49,169,DE
26,9,39,30,140,DE
27,9,34,23,136,DE
28,9,40,30,136,DE
29,9,7,7,67,DE
30,9,11,13,99,DE
1,10,35,27,137,DE
2,10,52,40,152,DE
3,10,46,38,129,DE
4,10,49,38,124,DE
5,10,51,40,126,DE
6,10,30,30,121,DE
7,10,48,41,144,DE
8,10,54,38,133,DE
9,10,39,29,132,DE
10,10,51,40,144,DE
11,10,37,29,128,DE
12,10,31,26,123,DE
13,10,35,32,127,DE
14,10,35,33,114,DE
15,10,58,44,140,DE
16,10,43,36,134,DE
17,10,40,24,109,DE
18,10,32,33,119,DE
19,10,32,22,107,DE
20,10,43,30,121,DE
21,10,28,25,107,DE
22,10,31,21,112,DE
23,10,36,32,114,DE
24,10,43,34,122,DE
25,10,43,33,124,DE
26,10,37,28,130,DE
27,10,29,26,118,DE
28,10,43,30,124,DE
29,10,55,43,128,DE
30,10,50,39,121,DE
31,10,30,29,101,DE
1,11,27,25,114,DE
2,11,17,14,97,DE
3,11,14,15,82,DE
4,11,39,27,115,DE
5,11,55,37,129,DE
6,11,39,33,106,DE
7,11,33,24,108,DE
8,11,26,21,99,DE
9,11,13,10,67,DE
10,11,21,18,110,DE
11,11,62,36,116,DE
12,11,81,46,132,DE
13,11,77,52,135,DE
14,11,34,26,119,DE
15,11,14,13,86,DE
16,11,16,13,91,DE
17,11,34,22,98,DE
18,11,29,24,109,DE
19,11,54,32,125,DE
20,11,73,24,107,DE
21,11,13,14,61,DE
22,11,14,16,83,DE
23,11,44,30,114,DE
24,11,34,28,105,DE
25,11,103,49,144,DE
26,11,36,31,113,DE
27,11,31,29,98,DE
28,11,22,20,90,DE
29,11,17,14,79,DE
30,11,23,18,92,DE
1,12,35,26,105,DE
2,12,23,10,76,DE
3,12,59,29,103,DE
4,12,57,34,128,DE
