day,month,numChecklists,numContributors,numSpecies,state
1,1,1194,529,266,FL
2,1,1133,522,270,FL
3,1,751,419,258,FL
4,1,658,408,246,FL
5,1,547,353,248,FL
6,1,550,328,244,FL
7,1,607,438,248,FL
8,1,635,416,251,FL
9,1,826,481,258,FL
10,1,770,466,256,FL
11,1,618,410,231,FL
12,1,631,401,231,FL
13,1,601,409,241,FL
14,1,607,411,243,FL
15,1,480,329,235,FL
16,1,1164,595,274,FL
17,1,731,444,249,FL
18,1,921,511,252,FL
19,1,667,429,239,FL
20,1,695,460,243,FL
21,1,831,521,253,FL
22,1,697,383,226,FL
23,1,741,449,252,FL
24,1,849,492,266,FL
25,1,730,456,250,FL
26,1,679,443,246,FL
27,1,419,313,233,FL
28,1,395,286,219,FL
29,1,708,457,248,FL
30,1,988,550,270,FL
31,1,918,485,270,FL
1,2,600,410,239,FL
2,2,601,415,248,FL
3,2,586,405,234,FL
4,2,563,395,248,FL
5,2,607,426,246,FL
6,2,794,499,263,FL
7,2,626,408,254,FL
8,2,553,386,233,FL
9,2,465,364,245,FL
10,2,557,391,241,FL
11,2,606,411,250,FL
12,2,1639,1125,273,FL
13,2,1821,1284,281,FL
14,2,1715,1222,278,FL
15,2,1323,968,265,FL
16,2,550,415,244,FL
17,2,571,408,247,FL
18,2,490,387,244,FL
19,2,542,406,246,FL
20,2,789,534,265,FL
21,2,691,482,263,FL
22,2,510,396,233,FL
23,2,516,394,238,FL
24,2,381,308,225,FL
25,2,541,395,240,FL
26,2,564,384,249,FL
27,2,710,492,254,FL
28,2,713,463,265,FL
29,2,556,416,242,FL
1,3,601,448,240,FL
2,3,519,390,239,FL
3,3,553,413,253,FL
4,3,543,402,259,FL
5,3,832,520,269,FL
6,3,650,443,261,FL
7,3,557,397,250,FL
8,3,525,403,243,FL
9,3,481,388,242,FL
10,3,543,388,231,FL
11,3,578,417,248,FL
12,3,658,454,249,FL
13,3,544,408,247,FL
14,3,534,402,243,FL
15,3,478,391,239,FL
16,3,598,398,245,FL
17,3,502,416,241,FL
18,3,535,411,250,FL
19,3,665,445,253,FL
20,3,632,431,261,FL
21,3,479,386,235,FL
22,3,608,435,252,FL
23,3,521,399,242,FL
24,3,544,403,243,FL
25,3,559,415,249,FL
26,3,680,468,277,FL
27,3,575,412,251,FL
28,3,551,383,255,FL
29,3,545,385,256,FL
30,3,471,388,241,FL
31,3,501,364,238,FL
1,4,481,352,257,FL
2,4,588,415,261,FL
3,4,810,500,270,FL
4,4,557,404,262,FL
5,4,524,399,257,FL
6,4,486,347,246,FL
7,4,509,403,249,FL
8,4,554,393,249,FL
9,4,699,494,272,FL
10,4,697,449,268,FL
11,4,487,362,259,FL
12,4,509,384,255,FL
13,4,503,348,261,FL
14,4,524,376,252,FL
15,4,562,413,267,FL
16,4,772,500,281,FL
17,4,771,497,274,FL
18,4,621,429,258,FL
19,4,618,414,262,FL
20,4,569,397,259,FL
21,4,690,407,263,FL
22,4,560,384,260,FL
23,4,882,505,280,FL
24,4,857,495,274,FL
25,4,649,381,265,FL
26,4,537,369,259,FL
27,4,542,336,253,FL
28,4,477,321,258,FL
29,4,566,354,260,FL
30,4,681,406,259,FL
1,5,571,391,262,FL
2,5,343,265,227,FL
3,5,419,287,239,FL
4,5,331,268,233,FL
5,5,492,332,251,FL
6,5,481,352,247,FL
7,5,644,396,253,FL
8,5,433,343,236,FL
9,5,286,262,222,FL
10,5,331,272,217,FL
11,5,282,252,222,FL
12,5,278,255,223,FL
13,5,260,245,202,FL
14,5,926,419,240,FL
15,5,389,297,220,FL
16,5,276,222,198,FL
17,5,200,172,180,FL
18,5,237,184,185,FL
19,5,256,189,183,FL
20,5,253,188,190,FL
21,5,344,237,206,FL
22,5,347,223,199,FL
23,5,175,153,187,FL
24,5,254,182,183,FL
25,5,213,172,175,FL
26,5,203,167,181,FL
27,5,227,163,177,FL
28,5,399,219,202,FL
29,5,483,235,194,FL
30,5,406,247,209,FL
31,5,195,158,173,FL
1,6,374,206,183,FL
2,6,255,206,189,FL
3,6,232,189,177,FL
4,6,448,229,189,FL
5,6,413,209,191,FL
6,6,191,138,159,FL
7,6,264,194,174,FL
8,6,212,164,171,FL
9,6,255,184,174,FL
10,6,261,179,179,FL
11,6,320,213,172,FL
12,6,372,222,187,FL
13,6,210,159,170,FL
14,6,216,174,170,FL
15,6,226,165,177,FL
16,6,244,151,168,FL
17,6,245,178,175,FL
18,6,289,217,182,FL
19,6,400,209,193,FL
20,6,180,165,161,FL
21,6,224,185,170,FL
22,6,207,153,155,FL
23,6,201,193,167,FL
24,6,229,173,172,FL
25,6,266,197,180,FL
26,6,320,194,184,FL
27,6,204,165,167,FL
28,6,196,172,166,FL
29,6,230,158,171,FL
30,6,255,167,161,FL
1,7,210,137,164,FL
2,7,307,184,189,FL
3,7,248,180,178,FL
4,7,232,184,172,FL
5,7,205,157,160,FL
6,7,177,159,172,FL
7,7,191,154,150,FL
8,7,178,145,166,FL
9,7,234,189,184,FL
10,7,250,193,180,FL
11,7,156,141,158,FL
12,7,150,135,157,FL
13,7,163,134,163,FL
14,7,163,135,163,FL
15,7,186,155,165,FL
16,7,250,173,185,FL
17,7,238,182,178,FL
