day,month,numChecklists,numContributors,numSpecies,state
1,1,378,180,182,GA
2,1,590,225,178,GA
3,1,193,138,156,GA
4,1,221,134,173,GA
5,1,208,153,163,GA
6,1,199,131,178,GA
7,1,270,168,158,GA
8,1,289,159,155,GA
9,1,150,109,141,GA
10,1,166,112,158,GA
11,1,146,108,145,GA
12,1,205,142,165,GA
13,1,292,149,165,GA
14,1,374,192,184,GA
15,1,447,182,180,GA
16,1,310,152,176,GA
17,1,161,114,141,GA
18,1,178,123,153,GA
19,1,184,117,156,GA
20,1,210,119,146,GA
21,1,165,107,145,GA
22,1,182,117,126,GA
23,1,144,94,124,GA
24,1,181,103,156,GA
25,1,164,110,160,GA
26,1,138,115,131,GA
27,1,233,111,155,GA
28,1,341,151,192,GA
29,1,272,144,171,GA
30,1,181,113,161,GA
31,1,161,122,156,GA
1,2,170,134,169,GA
2,2,148,104,146,GA
3,2,200,152,162,GA
4,2,338,169,173,GA
5,2,242,152,161,GA
6,2,126,100,147,GA
7,2,136,108,141,GA
8,2,160,120,135,GA
9,2,122,96,134,GA
10,2,201,126,132,GA
11,2,355,210,181,GA
12,2,274,160,166,GA
13,2,171,126,161,GA
14,2,149,124,139,GA
15,2,155,98,158,GA
16,2,178,134,158,GA
17,2,852,612,185,GA
18,2,1070,729,180,GA
19,2,1061,709,186,GA
20,2,671,518,163,GA
21,2,143,109,142,GA
22,2,153,112,151,GA
23,2,178,135,136,GA
24,2,196,141,147,GA
25,2,281,172,169,GA
26,2,272,163,173,GA
27,2,156,114,149,GA
28,2,141,117,151,GA
1,3,142,102,140,GA
2,3,154,101,147,GA
3,3,151,125,148,GA
4,3,265,167,168,GA
5,3,238,157,176,GA
6,3,141,112,155,GA
7,3,157,116,143,GA
8,3,157,114,151,GA
9,3,212,132,151,GA
10,3,211,142,165,GA
11,3,239,167,173,GA
12,3,221,142,158,GA
13,3,136,94,155,GA
14,3,130,98,154,GA
15,3,143,106,157,GA
16,3,156,113,157,GA
17,3,199,145,165,GA
18,3,219,155,173,GA
19,3,194,134,167,GA
20,3,177,124,167,GA
21,3,151,117,155,GA
22,3,177,135,169,GA
23,3,162,131,159,GA
24,3,187,132,162,GA
25,3,283,192,175,GA
26,3,300,162,182,GA
27,3,170,126,185,GA
28,3,187,127,181,GA
29,3,171,119,180,GA
30,3,160,130,166,GA
31,3,183,144,155,GA
1,4,278,186,186,GA
2,4,308,175,196,GA
3,4,185,125,169,GA
4,4,219,139,189,GA
5,4,124,103,170,GA
6,4,165,124,164,GA
7,4,205,154,181,GA
8,4,284,196,196,GA
9,4,252,185,189,GA
10,4,191,146,166,GA
11,4,182,136,179,GA
12,4,179,132,173,GA
13,4,186,147,196,GA
14,4,260,179,196,GA
15,4,362,217,206,GA
16,4,211,172,187,GA
17,4,174,141,184,GA
18,4,229,151,182,GA
19,4,204,155,188,GA
20,4,189,158,192,GA
21,4,266,177,200,GA
22,4,347,227,198,GA
23,4,194,147,194,GA
24,4,170,137,176,GA
25,4,219,162,201,GA
26,4,342,167,223,GA
27,4,227,125,193,GA
28,4,252,181,201,GA
29,4,471,198,213,GA
30,4,358,189,194,GA
1,5,136,101,169,GA
2,5,195,138,183,GA
3,5,188,133,203,GA
4,5,153,102,167,GA
5,5,167,130,186,GA
6,5,278,183,195,GA
7,5,213,162,193,GA
8,5,136,111,196,GA
9,5,180,113,187,GA
10,5,142,119,180,GA
11,5,118,102,173,GA
12,5,149,104,174,GA
13,5,498,218,206,GA
14,5,275,156,196,GA
15,5,110,95,156,GA
16,5,127,89,165,GA
17,5,128,94,163,GA
18,5,113,90,159,GA
19,5,218,106,176,GA
20,5,213,138,170,GA
21,5,141,124,159,GA
22,5,95,80,128,GA
23,5,72,58,131,GA
24,5,71,71,130,GA
25,5,179,111,157,GA
26,5,350,131,167,GA
27,5,172,140,165,GA
28,5,135,126,167,GA
29,5,186,123,164,GA
30,5,96,81,148,GA
31,5,118,87,154,GA
1,6,150,91,172,GA
2,6,188,97,142,GA
3,6,217,125,160,GA
4,6,293,102,148,GA
5,6,107,84,151,GA
6,6,86,84,126,GA
7,6,136,98,147,GA
8,6,138,104,129,GA
9,6,183,101,129,GA
10,6,244,126,168,GA
11,6,330,126,153,GA
12,6,177,108,150,GA
13,6,198,103,160,GA
14,6,132,99,166,GA
15,6,127,84,134,GA
16,6,131,100,152,GA
17,6,163,108,139,GA
18,6,128,112,147,GA
19,6,196,76,129,GA
20,6,87,80,126,GA
21,6,165,117,138,GA
22,6,89,80,117,GA
23,6,120,92,133,GA
24,6,132,95,152,GA
25,6,182,109,144,GA
26,6,163,84,130,GA
27,6,113,93,136,GA
28,6,126,80,133,GA
29,6,100,95,128,GA
30,6,86,72,116,GA
1,7,145,99,135,GA
2,7,148,95,154,GA
3,7,134,95,138,GA
4,7,111,86,124,GA
5,7,84,75,133,GA
6,7,77,73,109,GA
7,7,82,81,103,GA
8,7,184,104,142,GA
9,7,154,93,142,GA
10,7,81,80,129,GA
11,7,96,78,128,GA
12,7,65,78,119,GA
13,7,62,65,118,GA
14,7,104,70,133,GA
15,7,123,88,136,GA
16,7,166,103,141,GA
17,7,124,78,120,GA
18,7,106,82,138,GA
19,7,127,74,155,GA
20,7,67,66,130,GA
21,7,125,89,146,GA
22,7,174,106,162,GA
23,7,203,82,142,GA
24,7,74,61,112,GA
25,7,69,70,113,GA
26,7,56,64,127,GA
27,7,91,61,125,GA
28,7,93,77,140,GA
29,7,135,90,130,GA
30,7,138,97,146,GA
31,7,90,75,113,GA
1,8,77,76,129,GA
2,8,85,73,140,GA
3,8,96,81,136,GA
4,8,123,81,132,GA
5,8,182,86,142,GA
6,8,164,90,157,GA
7,8,95,67,135,GA
8,8,75,65,134,GA
9,8,83,67,137,GA
10,8,107,76,146,GA
11,8,113,78,155,GA
12,8,182,87,162,GA
13,8,175,93,163,GA
14,8,99,80,132,GA
15,8,121,80,150,GA
16,8,110,67,148,GA
17,8,81,70,133,GA
18,8,94,78,139,GA
19,8,154,95,145,GA
20,8,180,99,160,GA
21,8,145,92,130,GA
22,8,92,69,144,GA
23,8,84,71,142,GA
24,8,66,64,118,GA
25,8,79,66,130,GA
26,8,148,105,148,GA
27,8,178,94,143,GA
28,8,85,69,123,GA
29,8,111,90,157,GA
30,8,107,79,154,GA
31,8,76,71,142,GA
1,9,92,77,128,GA
2,9,182,102,169,GA
3,9,149,109,164,GA
4,9,155,109,165,GA
5,9,98,67,166,GA
6,9,95,81,150,GA
7,9,91,90,154,GA
8,9,117,93,121,GA
9,9,155,121,151,GA
10,9,113,100,128,GA
11,9,52,51,86,GA
12,9,198,111,165,GA
13,9,137,108,159,GA
14,9,116,101,134,GA
15,9,110,105,139,GA
16,9,160,135,150,GA
17,9,150,112,165,GA
18,9,97,86,142,GA
19,9,91,85,137,GA
20,9,84,81,152,GA
21,9,89,84,157,GA
22,9,124,103,166,GA
23,9,172,123,173,GA
24,9,137,112,158,GA
25,9,110,84,154,GA
26,9,103,102,166,GA
27,9,118,89,170,GA
28,9,131,105,170,GA
29,9,195,115,180,GA
30,9,240,146,188,GA
1,10,214,120,172,GA
2,10,109,87,145,GA
3,10,123,92,145,GA
4,10,108,81,155,GA
5,10,142,107,178,GA
6,10,224,129,179,GA
7,10,346,158,192,GA
8,10,232,121,176,GA
9,10,137,88,165,GA
10,10,129,89,149,GA
11,10,89,88,161,GA
12,10,85,77,135,GA
13,10,126,88,145,GA
14,10,162,133,167,GA
15,10,181,110,165,GA
16,10,110,77,153,GA
17,10,120,95,153,GA
18,10,146,89,160,GA
19,10,111,85,152,GA
20,10,110,82,148,GA
21,10,214,146,174,GA
22,10,186,122,169,GA
23,10,105,76,145,GA
24,10,182,96,163,GA
25,10,119,86,152,GA
26,10,157,86,159,GA
27,10,134,86,157,GA
28,10,191,94,161,GA
29,10,98,75,122,GA
30,10,94,70,119,GA
31,10,88,79,140,GA
1,11,104,82,161,GA
2,11,100,75,143,GA
3,11,108,69,134,GA
4,11,206,114,150,GA
5,11,181,107,163,GA
6,11,109,78,148,GA
7,11,93,73,121,GA
8,11,109,82,146,GA
9,11,121,85,144,GA
10,11,159,108,167,GA
11,11,193,134,140,GA
12,11,167,101,139,GA
13,11,157,96,143,GA
14,11,117,91,129,GA
15,11,107,80,158,GA
16,11,116,91,137,GA
17,11,140,89,143,GA
18,11,181,118,163,GA
19,11,186,111,169,GA
20,11,163,104,161,GA
21,11,124,88,156,GA
22,11,203,116,176,GA
23,11,134,93,153,GA
24,11,242,128,179,GA
25,11,219,123,170,GA
26,11,155,109,165,GA
27,11,126,86,147,GA
28,11,131,79,144,GA
29,11,138,83,149,GA
30,11,108,81,157,GA
1,12,137,102,151,GA
2,12,194,121,172,GA
3,12,204,106,163,GA
4,12,103,71,142,GA
5,12,105,80,141,GA
6,12,91,84,134,GA
7,12,98,76,125,GA
8,12,93,76,137,GA
9,12,171,142,150,GA
10,12,142,103,153,GA
11,12,194,90,142,GA
12,12,80,65,122,GA
13,12,124,83,144,GA
14,12,377,130,147,GA
15,12,266,128,171,GA
16,12,515,152,182,GA
17,12,309,109,171,GA
18,12,137,87,141,GA
19,12,177,99,131,GA
20,12,69,69,134,GA
21,12,141,88,146,GA
22,12,165,96,162,GA
23,12,146,113,154,GA
24,12,144,109,155,GA
25,12,161,121,138,GA
26,12,177,106,148,GA
27,12,222,130,169,GA
28,12,188,123,149,GA
29,12,177,111,166,GA
30,12,640,205,192,GA
31,12,231,136,161,GA
