day,month,numChecklists,numContributors,numSpecies,state
1,1,61,33,79,HI
2,1,57,35,81,HI
3,1,29,24,63,HI
4,1,24,20,63,HI
5,1,25,23,57,HI
6,1,20,24,61,HI
7,1,22,17,65,HI
8,1,26,19,57,HI
9,1,38,23,73,HI
10,1,28,19,57,HI
11,1,25,15,60,HI
12,1,39,22,75,HI
13,1,29,21,68,HI
14,1,30,25,72,HI
15,1,52,24,77,HI
16,1,83,33,88,HI
17,1,32,24,67,HI
18,1,36,26,79,HI
19,1,33,24,69,HI
20,1,30,24,62,HI
21,1,27,21,59,HI
22,1,69,28,77,HI
23,1,20,23,66,HI
24,1,31,27,72,HI
25,1,33,22,76,HI
26,1,30,25,70,HI
27,1,13,17,43,HI
28,1,26,22,66,HI
29,1,45,24,71,HI
30,1,26,15,67,HI
31,1,28,18,59,HI
1,2,19,17,54,HI
2,2,61,23,63,HI
3,2,36,20,61,HI
4,2,39,17,56,HI
5,2,31,22,62,HI
6,2,41,29,71,HI
7,2,51,25,64,HI
8,2,73,41,77,HI
9,2,78,42,79,HI
10,2,73,38,88,HI
11,2,71,31,74,HI
12,2,88,53,82,HI
13,2,84,58,79,HI
14,2,80,61,87,HI
15,2,68,50,82,HI
16,2,67,44,73,HI
17,2,72,32,72,HI
18,2,26,29,65,HI
19,2,26,19,64,HI
20,2,40,30,81,HI
21,2,31,26,58,HI
22,2,30,24,68,HI
23,2,37,21,70,HI
24,2,24,19,58,HI
25,2,29,20,54,HI
26,2,43,27,68,HI
27,2,35,20,78,HI
28,2,21,24,74,HI
29,2,82,26,83,HI
1,3,26,17,66,HI
2,3,41,19,80,HI
3,3,22,23,69,HI
4,3,24,16,55,HI
5,3,21,13,60,HI
6,3,21,21,62,HI
7,3,9,17,62,HI
8,3,13,15,50,HI
9,3,28,20,58,HI
10,3,23,22,65,HI
11,3,12,13,53,HI
12,3,15,18,63,HI
13,3,24,20,66,HI
14,3,25,18,68,HI
15,3,30,21,78,HI
16,3,31,23,71,HI
17,3,28,24,75,HI
18,3,23,22,59,HI
19,3,30,23,75,HI
20,3,29,17,78,HI
21,3,29,20,52,HI
22,3,34,13,65,HI
23,3,56,23,75,HI
24,3,41,24,74,HI
25,3,19,20,61,HI
26,3,33,19,66,HI
27,3,22,17,67,HI
28,3,25,20,70,HI
29,3,14,13,57,HI
30,3,18,17,57,HI
31,3,25,21,83,HI
1,4,35,28,80,HI
2,4,20,21,67,HI
3,4,25,26,72,HI
4,4,27,31,68,HI
5,4,66,26,76,HI
6,4,34,28,63,HI
7,4,40,27,69,HI
8,4,32,23,77,HI
9,4,43,22,69,HI
10,4,23,21,60,HI
11,4,22,15,67,HI
12,4,18,14,54,HI
13,4,20,14,52,HI
14,4,18,16,54,HI
15,4,18,12,55,HI
