day,month,numChecklists,numContributors,numSpecies,state
1,1,192,73,98,IA
2,1,85,48,82,IA
3,1,71,30,64,IA
4,1,81,28,75,IA
5,1,51,38,69,IA
6,1,56,31,75,IA
7,1,93,49,86,IA
8,1,74,50,86,IA
9,1,27,33,55,IA
10,1,17,21,47,IA
11,1,41,30,72,IA
12,1,45,44,54,IA
13,1,46,34,76,IA
14,1,98,50,84,IA
15,1,92,44,79,IA
16,1,31,28,49,IA
17,1,28,26,49,IA
18,1,57,40,77,IA
19,1,62,38,66,IA
20,1,74,30,58,IA
21,1,86,52,74,IA
22,1,76,51,77,IA
23,1,45,30,56,IA
24,1,21,22,47,IA
25,1,27,23,54,IA
26,1,40,36,46,IA
27,1,56,36,59,IA
28,1,82,48,83,IA
29,1,65,37,66,IA
30,1,34,26,51,IA
31,1,37,27,62,IA
1,2,42,30,61,IA
2,2,47,38,57,IA
3,2,26,31,49,IA
4,2,53,38,68,IA
5,2,63,46,73,IA
6,2,52,37,55,IA
7,2,23,23,52,IA
8,2,40,31,53,IA
9,2,31,36,48,IA
10,2,59,37,64,IA
11,2,101,52,85,IA
12,2,60,38,71,IA
13,2,41,30,80,IA
14,2,36,29,69,IA
15,2,36,35,70,IA
16,2,61,52,79,IA
17,2,229,160,95,IA
18,2,263,185,98,IA
19,2,267,191,96,IA
20,2,145,103,88,IA
21,2,57,47,82,IA
22,2,81,49,89,IA
23,2,49,36,78,IA
24,2,40,32,71,IA
25,2,65,46,85,IA
26,2,99,53,92,IA
27,2,56,39,89,IA
28,2,59,44,89,IA
1,3,40,32,74,IA
2,3,47,35,75,IA
3,3,43,41,82,IA
4,3,94,72,101,IA
5,3,98,57,95,IA
6,3,39,34,77,IA
7,3,57,46,92,IA
8,3,48,41,84,IA
9,3,58,44,92,IA
10,3,40,33,91,IA
11,3,77,51,101,IA
12,3,75,54,95,IA
13,3,45,35,85,IA
14,3,64,36,97,IA
15,3,43,35,81,IA
16,3,41,43,89,IA
17,3,62,38,103,IA
18,3,92,58,106,IA
19,3,91,57,109,IA
20,3,60,49,105,IA
21,3,52,42,94,IA
22,3,41,32,96,IA
23,3,88,43,96,IA
24,3,65,48,100,IA
25,3,69,52,113,IA
26,3,121,73,123,IA
27,3,72,51,106,IA
28,3,67,48,106,IA
29,3,32,31,86,IA
30,3,53,46,108,IA
31,3,77,46,130,IA
1,4,153,89,129,IA
2,4,108,68,125,IA
