day,month,numChecklists,numContributors,numSpecies,state
1,1,198,88,125,ID
2,1,179,85,118,ID
3,1,111,74,105,ID
4,1,74,58,99,ID
5,1,71,52,100,ID
6,1,107,59,103,ID
7,1,120,71,98,ID
8,1,69,50,82,ID
9,1,53,45,76,ID
10,1,43,44,71,ID
11,1,50,42,94,ID
12,1,70,57,112,ID
13,1,113,59,108,ID
14,1,129,76,117,ID
15,1,159,62,97,ID
16,1,82,64,107,ID
17,1,51,46,89,ID
18,1,43,42,72,ID
19,1,49,44,85,ID
20,1,76,47,94,ID
21,1,88,62,107,ID
22,1,90,50,92,ID
23,1,46,35,71,ID
24,1,57,48,80,ID
25,1,55,43,78,ID
26,1,49,35,72,ID
27,1,63,45,97,ID
28,1,108,48,102,ID
29,1,93,50,115,ID
30,1,50,37,81,ID
31,1,53,43,88,ID
1,2,51,46,80,ID
2,2,35,34,82,ID
3,2,53,41,95,ID
4,2,60,45,93,ID
5,2,63,34,89,ID
6,2,43,32,77,ID
7,2,50,30,62,ID
8,2,35,29,73,ID
9,2,60,36,73,ID
10,2,52,41,87,ID
11,2,135,56,98,ID
12,2,85,55,107,ID
13,2,48,37,85,ID
14,2,61,38,80,ID
15,2,37,33,81,ID
16,2,34,34,75,ID
17,2,192,137,115,ID
18,2,284,152,111,ID
19,2,215,150,111,ID
20,2,134,96,101,ID
21,2,36,35,68,ID
22,2,65,35,97,ID
23,2,32,31,69,ID
24,2,56,33,82,ID
25,2,171,56,108,ID
26,2,69,45,92,ID
27,2,47,36,85,ID
28,2,39,34,89,ID
1,3,50,40,101,ID
2,3,34,39,88,ID
3,3,48,34,95,ID
4,3,79,59,102,ID
5,3,94,54,96,ID
6,3,52,39,94,ID
7,3,55,34,91,ID
8,3,69,40,104,ID
9,3,61,43,98,ID
10,3,85,63,109,ID
11,3,210,74,123,ID
12,3,129,74,127,ID
13,3,71,53,103,ID
14,3,68,53,112,ID
15,3,59,51,101,ID
16,3,72,41,90,ID
