day,month,numChecklists,numContributors,numSpecies,state
1,1,633,209,141,IL
2,1,504,200,134,IL
3,1,357,169,132,IL
4,1,262,126,124,IL
5,1,251,117,122,IL
6,1,202,116,124,IL
7,1,212,125,124,IL
8,1,154,81,120,IL
9,1,265,152,113,IL
10,1,216,148,117,IL
11,1,221,111,122,IL
12,1,189,110,105,IL
13,1,204,123,118,IL
14,1,225,131,123,IL
15,1,208,135,116,IL
16,1,408,203,129,IL
17,1,230,112,116,IL
18,1,182,97,111,IL
19,1,148,81,109,IL
20,1,149,103,110,IL
21,1,151,90,108,IL
22,1,172,100,106,IL
23,1,331,163,123,IL
24,1,317,166,118,IL
25,1,155,93,113,IL
26,1,126,88,105,IL
27,1,182,103,109,IL
28,1,185,111,115,IL
29,1,174,111,114,IL
30,1,389,182,132,IL
31,1,191,120,118,IL
1,2,238,126,117,IL
2,2,107,76,101,IL
3,2,126,81,106,IL
4,2,161,103,108,IL
5,2,165,95,113,IL
6,2,364,183,124,IL
7,2,288,137,115,IL
8,2,113,81,101,IL
9,2,86,73,98,IL
10,2,94,73,102,IL
11,2,134,91,113,IL
12,2,684,490,117,IL
13,2,974,669,122,IL
14,2,902,728,119,IL
15,2,727,545,118,IL
16,2,149,112,107,IL
17,2,183,100,111,IL
18,2,199,104,120,IL
19,2,133,103,110,IL
20,2,394,204,137,IL
21,2,301,159,124,IL
22,2,190,127,122,IL
23,2,197,122,117,IL
24,2,91,69,84,IL
25,2,151,94,113,IL
26,2,215,116,115,IL
27,2,371,191,124,IL
28,2,337,176,127,IL
29,2,256,127,118,IL
1,3,127,82,99,IL
2,3,194,110,110,IL
3,3,155,97,113,IL
4,3,200,131,118,IL
5,3,363,181,128,IL
6,3,409,199,131,IL
7,3,261,162,124,IL
8,3,304,182,132,IL
9,3,227,160,128,IL
10,3,237,146,124,IL
11,3,334,197,133,IL
12,3,413,200,139,IL
13,3,135,89,117,IL
14,3,236,136,128,IL
15,3,263,162,129,IL
16,3,172,122,123,IL
17,3,236,153,129,IL
18,3,315,183,150,IL
19,3,378,177,143,IL
20,3,312,199,138,IL
21,3,275,138,131,IL
22,3,229,150,122,IL
23,3,176,134,129,IL
24,3,100,98,121,IL
25,3,353,187,148,IL
26,3,483,259,151,IL
27,3,301,177,133,IL
28,3,357,184,148,IL
29,3,285,179,144,IL
30,3,247,149,151,IL
31,3,247,146,135,IL
1,4,295,156,142,IL
2,4,314,158,136,IL
3,4,411,217,143,IL
