day,month,numChecklists,numContributors,numSpecies,state
1,1,389,185,125,IN
2,1,278,170,126,IN
3,1,228,145,125,IN
4,1,135,101,107,IN
5,1,153,117,107,IN
6,1,139,95,112,IN
7,1,134,107,109,IN
8,1,89,74,110,IN
9,1,192,112,112,IN
10,1,164,127,109,IN
11,1,142,105,104,IN
12,1,100,93,91,IN
13,1,101,88,99,IN
14,1,116,96,109,IN
15,1,75,65,96,IN
16,1,210,110,119,IN
17,1,141,111,107,IN
18,1,114,91,99,IN
19,1,71,68,102,IN
20,1,98,82,108,IN
21,1,113,90,102,IN
22,1,97,79,112,IN
23,1,252,136,123,IN
24,1,186,120,116,IN
25,1,105,77,105,IN
26,1,61,53,86,IN
27,1,76,64,102,IN
28,1,92,65,108,IN
29,1,113,93,104,IN
30,1,285,153,128,IN
31,1,180,119,115,IN
1,2,123,92,123,IN
2,2,62,58,95,IN
3,2,86,66,98,IN
4,2,87,57,104,IN
5,2,115,76,111,IN
6,2,259,130,126,IN
7,2,186,121,118,IN
8,2,66,58,94,IN
9,2,72,67,84,IN
10,2,88,61,91,IN
11,2,68,76,109,IN
12,2,446,351,111,IN
13,2,664,487,123,IN
14,2,672,517,109,IN
15,2,378,288,111,IN
16,2,67,63,93,IN
17,2,81,64,105,IN
18,2,88,72,94,IN
19,2,94,84,104,IN
20,2,326,183,129,IN
21,2,180,137,122,IN
22,2,136,98,109,IN
23,2,113,93,114,IN
24,2,27,34,58,IN
25,2,75,59,93,IN
26,2,124,73,111,IN
27,2,236,136,125,IN
28,2,153,110,111,IN
29,2,115,90,125,IN
1,3,84,50,85,IN
2,3,101,65,102,IN
3,3,83,78,105,IN
4,3,113,76,124,IN
5,3,236,123,121,IN
6,3,202,147,126,IN
7,3,128,101,118,IN
8,3,129,108,116,IN
9,3,94,83,109,IN
10,3,77,73,106,IN
11,3,177,107,122,IN
12,3,237,132,136,IN
13,3,151,108,120,IN
14,3,100,72,104,IN
15,3,152,109,125,IN
16,3,87,80,113,IN
17,3,111,83,119,IN
18,3,161,97,121,IN
19,3,193,98,126,IN
20,3,171,106,127,IN
21,3,107,82,119,IN
22,3,116,83,124,IN
23,3,137,89,126,IN
24,3,99,80,124,IN
25,3,169,109,127,IN
26,3,265,152,143,IN
27,3,144,113,126,IN
28,3,129,81,127,IN
29,3,126,114,128,IN
30,3,145,100,128,IN
31,3,81,84,127,IN
1,4,123,92,127,IN
2,4,181,107,133,IN
3,4,191,131,138,IN
4,4,90,80,124,IN
5,4,134,104,142,IN
6,4,79,70,122,IN
7,4,93,78,133,IN
8,4,120,86,136,IN
9,4,232,152,154,IN
10,4,179,116,140,IN
11,4,105,83,137,IN
12,4,171,125,152,IN
13,4,190,149,168,IN
14,4,179,132,155,IN
15,4,175,129,156,IN
16,4,264,161,174,IN
17,4,197,162,168,IN
18,4,167,118,174,IN
19,4,148,114,176,IN
20,4,156,113,180,IN
21,4,128,112,174,IN
22,4,182,117,184,IN
23,4,259,171,192,IN
24,4,257,168,188,IN
25,4,170,143,180,IN
26,4,172,138,183,IN
27,4,124,116,172,IN
28,4,169,149,184,IN
29,4,256,162,208,IN
30,4,261,165,197,IN
1,5,305,210,208,IN
2,5,170,144,196,IN
3,5,213,160,203,IN
4,5,146,119,199,IN
5,5,325,177,219,IN
6,5,373,205,218,IN
7,5,407,227,224,IN
8,5,279,201,210,IN
9,5,160,128,207,IN
10,5,168,131,201,IN
11,5,181,140,205,IN
12,5,197,128,215,IN
13,5,236,145,210,IN
14,5,691,249,224,IN
15,5,300,176,223,IN
16,5,154,129,202,IN
17,5,116,102,198,IN
18,5,172,134,198,IN
19,5,155,117,201,IN
20,5,110,95,191,IN
21,5,221,138,205,IN
22,5,208,147,201,IN
23,5,126,95,187,IN
24,5,137,95,183,IN
25,5,81,71,168,IN
26,5,96,81,181,IN
27,5,81,72,163,IN
28,5,151,97,166,IN
29,5,140,106,172,IN
30,5,138,98,148,IN
31,5,75,73,159,IN
1,6,81,69,146,IN
2,6,104,72,161,IN
3,6,84,59,150,IN
4,6,143,74,148,IN
5,6,103,84,137,IN
6,6,84,62,149,IN
7,6,88,67,152,IN
8,6,89,77,148,IN
9,6,63,63,144,IN
10,6,75,58,145,IN
11,6,112,76,148,IN
12,6,105,79,129,IN
13,6,77,59,142,IN
14,6,60,61,129,IN
15,6,51,53,118,IN
16,6,79,56,142,IN
