day,month,numChecklists,numContributors,numSpecies,state
1,1,247,104,128,KS
2,1,193,92,128,KS
3,1,105,63,107,KS
4,1,96,59,104,KS
5,1,70,64,90,KS
6,1,63,55,95,KS
7,1,204,83,130,KS
8,1,100,64,105,KS
9,1,91,51,109,KS
10,1,61,52,105,KS
11,1,89,55,95,KS
12,1,84,62,99,KS
13,1,104,68,115,KS
14,1,148,82,117,KS
15,1,64,49,73,KS
16,1,70,61,96,KS
17,1,73,54,95,KS
18,1,79,50,99,KS
19,1,60,49,88,KS
20,1,73,51,96,KS
21,1,196,79,127,KS
22,1,112,63,110,KS
23,1,70,50,98,KS
24,1,69,50,88,KS
25,1,46,43,93,KS
26,1,53,42,85,KS
27,1,73,42,100,KS
28,1,112,56,107,KS
29,1,151,72,116,KS
30,1,81,49,98,KS
31,1,81,51,107,KS
1,2,49,37,90,KS
2,2,63,51,92,KS
3,2,69,45,110,KS
4,2,124,54,109,KS
5,2,122,69,118,KS
6,2,52,39,99,KS
7,2,71,54,99,KS
8,2,95,32,99,KS
9,2,103,41,96,KS
10,2,89,46,107,KS
11,2,184,80,127,KS
12,2,102,70,116,KS
13,2,48,49,95,KS
14,2,46,38,92,KS
15,2,55,47,95,KS
16,2,54,52,95,KS
17,2,219,164,113,KS
18,2,404,226,123,KS
19,2,308,213,116,KS
20,2,153,137,105,KS
21,2,66,49,103,KS
22,2,86,55,110,KS
23,2,77,52,95,KS
24,2,57,39,85,KS
25,2,136,69,118,KS
26,2,85,66,119,KS
27,2,66,48,103,KS
28,2,50,46,107,KS
1,3,47,38,90,KS
2,3,83,56,123,KS
3,3,58,49,107,KS
4,3,101,67,121,KS
5,3,84,67,115,KS
6,3,30,38,78,KS
7,3,57,48,102,KS
8,3,160,64,120,KS
9,3,143,68,129,KS
10,3,115,59,113,KS
11,3,138,79,139,KS
12,3,151,64,142,KS
13,3,50,41,117,KS
14,3,149,51,134,KS
15,3,124,50,120,KS
16,3,83,61,123,KS
17,3,119,68,132,KS
18,3,212,93,149,KS
19,3,128,71,128,KS
20,3,124,72,135,KS
21,3,87,57,129,KS
22,3,71,55,120,KS
23,3,54,47,111,KS
24,3,91,56,129,KS
25,3,188,80,153,KS
26,3,126,68,150,KS
27,3,86,55,144,KS
28,3,53,50,122,KS
