day,month,numChecklists,numContributors,numSpecies,state
1,1,157,69,102,KY
2,1,106,42,114,KY
3,1,67,35,103,KY
4,1,76,36,98,KY
5,1,54,43,86,KY
6,1,46,45,68,KY
7,1,88,49,95,KY
8,1,82,42,97,KY
9,1,66,37,104,KY
10,1,22,23,62,KY
11,1,30,26,72,KY
12,1,37,28,88,KY
13,1,29,23,78,KY
14,1,34,29,93,KY
15,1,54,30,95,KY
16,1,57,41,93,KY
17,1,29,19,82,KY
18,1,37,28,84,KY
19,1,19,22,64,KY
20,1,39,32,89,KY
21,1,86,49,102,KY
22,1,74,43,93,KY
23,1,32,19,75,KY
24,1,45,26,83,KY
25,1,34,35,74,KY
26,1,24,18,71,KY
27,1,36,32,87,KY
28,1,66,40,99,KY
29,1,62,42,89,KY
30,1,34,30,76,KY
31,1,33,23,87,KY
1,2,41,24,82,KY
2,2,20,19,65,KY
3,2,43,31,92,KY
4,2,98,53,97,KY
5,2,55,45,74,KY
6,2,25,24,77,KY
7,2,15,16,50,KY
8,2,39,27,92,KY
9,2,37,24,73,KY
10,2,32,25,88,KY
11,2,92,33,96,KY
12,2,36,35,77,KY
13,2,31,24,78,KY
14,2,35,26,75,KY
15,2,31,25,68,KY
16,2,40,30,83,KY
17,2,237,153,123,KY
18,2,276,175,109,KY
19,2,265,190,105,KY
20,2,182,149,98,KY
21,2,25,30,72,KY
22,2,29,29,72,KY
23,2,53,37,86,KY
24,2,27,31,67,KY
25,2,68,47,91,KY
26,2,50,26,90,KY
27,2,22,18,73,KY
28,2,18,20,55,KY
1,3,18,18,66,KY
2,3,41,30,95,KY
3,3,26,29,85,KY
4,3,39,40,88,KY
5,3,90,57,107,KY
6,3,32,24,83,KY
7,3,27,25,85,KY
8,3,55,30,90,KY
9,3,44,30,91,KY
10,3,26,28,76,KY
11,3,70,48,104,KY
12,3,39,41,87,KY
13,3,27,28,84,KY
14,3,25,21,86,KY
15,3,37,29,97,KY
16,3,38,30,93,KY
17,3,38,32,95,KY
18,3,54,41,100,KY
19,3,91,56,107,KY
20,3,44,34,106,KY
21,3,53,41,100,KY
22,3,63,41,111,KY
23,3,54,45,102,KY
24,3,64,42,105,KY
25,3,78,58,97,KY
26,3,53,34,108,KY
27,3,60,42,108,KY
28,3,90,47,111,KY
29,3,60,48,108,KY
30,3,56,42,99,KY
31,3,58,46,104,KY
1,4,101,68,116,KY
2,4,103,69,113,KY
3,4,40,35,99,KY
4,4,46,41,109,KY
