day,month,numChecklists,numContributors,numSpecies,state
1,1,93,66,169,LA
2,1,107,68,161,LA
3,1,108,70,199,LA
4,1,98,62,184,LA
5,1,83,61,160,LA
6,1,50,42,147,LA
7,1,110,62,165,LA
8,1,129,85,185,LA
9,1,76,46,161,LA
10,1,58,41,141,LA
11,1,63,39,152,LA
12,1,46,40,119,LA
13,1,47,43,166,LA
14,1,127,81,174,LA
15,1,92,57,188,LA
16,1,74,51,162,LA
17,1,66,53,156,LA
18,1,43,36,125,LA
19,1,41,25,91,LA
20,1,91,73,151,LA
21,1,87,50,173,LA
22,1,67,46,159,LA
23,1,49,40,128,LA
24,1,65,47,174,LA
25,1,73,40,165,LA
26,1,48,41,135,LA
27,1,103,64,188,LA
28,1,199,85,181,LA
29,1,149,88,169,LA
30,1,61,43,126,LA
31,1,72,55,166,LA
1,2,53,48,124,LA
2,2,53,49,167,LA
3,2,72,50,137,LA
4,2,157,70,183,LA
5,2,98,66,171,LA
6,2,53,41,150,LA
7,2,39,31,133,LA
8,2,33,29,136,LA
9,2,49,37,141,LA
10,2,93,54,154,LA
11,2,121,82,175,LA
12,2,99,56,157,LA
13,2,58,36,136,LA
14,2,32,29,132,LA
15,2,58,46,162,LA
16,2,93,60,152,LA
17,2,158,126,158,LA
18,2,291,201,193,LA
19,2,201,165,185,LA
20,2,115,96,158,LA
21,2,38,36,127,LA
22,2,67,52,151,LA
23,2,75,55,154,LA
24,2,50,40,140,LA
25,2,77,44,138,LA
26,2,98,58,173,LA
27,2,44,37,138,LA
28,2,47,37,134,LA
1,3,40,37,138,LA
2,3,43,28,135,LA
3,3,83,61,154,LA
4,3,175,97,193,LA
5,3,92,57,155,LA
6,3,46,35,134,LA
7,3,53,43,136,LA
8,3,71,55,164,LA
9,3,79,55,147,LA
10,3,67,64,156,LA
11,3,105,77,173,LA
12,3,115,76,166,LA
13,3,42,39,135,LA
14,3,78,49,148,LA
15,3,38,28,143,LA
16,3,61,45,148,LA
17,3,88,59,169,LA
18,3,68,74,153,LA
19,3,128,68,177,LA
20,3,44,41,140,LA
21,3,59,52,153,LA
22,3,60,50,166,LA
23,3,63,43,145,LA
24,3,64,69,158,LA
25,3,78,66,178,LA
26,3,145,80,180,LA
27,3,52,51,168,LA
28,3,87,71,202,LA
29,3,57,53,174,LA
30,3,67,53,166,LA
31,3,111,77,198,LA
1,4,91,67,184,LA
2,4,123,64,180,LA
3,4,72,55,199,LA
4,4,109,65,194,LA
5,4,64,56,170,LA
6,4,87,71,205,LA
7,4,98,76,186,LA
8,4,191,91,219,LA
9,4,100,74,186,LA
10,4,71,57,187,LA
11,4,100,68,193,LA
12,4,84,70,187,LA
13,4,115,65,212,LA
14,4,113,71,194,LA
15,4,139,82,220,LA
16,4,112,72,208,LA
17,4,80,62,191,LA
18,4,116,82,207,LA
19,4,76,60,178,LA
20,4,85,62,197,LA
21,4,107,67,201,LA
22,4,226,101,220,LA
23,4,271,130,224,LA
24,4,251,76,232,LA
25,4,110,65,195,LA
26,4,90,53,182,LA
27,4,166,91,211,LA
28,4,88,64,190,LA
29,4,158,60,198,LA
30,4,130,84,224,LA
1,5,146,95,214,LA
2,5,94,71,207,LA
3,5,49,44,165,LA
4,5,77,54,213,LA
5,5,105,59,211,LA
6,5,143,90,214,LA
7,5,122,77,204,LA
8,5,33,37,131,LA
9,5,41,45,172,LA
10,5,65,46,164,LA
11,5,50,46,138,LA
12,5,37,31,154,LA
13,5,199,117,205,LA
14,5,45,50,169,LA
15,5,25,33,113,LA
16,5,46,39,144,LA
17,5,23,31,120,LA
18,5,23,28,104,LA
19,5,31,28,127,LA
20,5,73,43,122,LA
21,5,38,37,131,LA
22,5,23,20,106,LA
23,5,29,30,128,LA
24,5,61,28,161,LA
25,5,32,34,130,LA
26,5,40,26,145,LA
27,5,45,37,146,LA
28,5,36,33,120,LA
29,5,51,38,148,LA
30,5,19,18,102,LA
31,5,29,30,114,LA
1,6,26,28,119,LA
2,6,35,35,139,LA
3,6,28,29,109,LA
4,6,54,37,133,LA
5,6,18,24,102,LA
6,6,21,20,97,LA
7,6,34,30,124,LA
8,6,38,30,127,LA
9,6,32,29,113,LA
10,6,56,38,129,LA
11,6,53,25,116,LA
12,6,14,19,95,LA
13,6,18,18,89,LA
14,6,58,26,119,LA
15,6,25,21,111,LA
16,6,32,29,130,LA
17,6,27,26,116,LA
18,6,35,33,122,LA
19,6,20,19,102,LA
20,6,26,25,101,LA
21,6,36,30,116,LA
22,6,61,39,104,LA
23,6,41,31,124,LA
24,6,35,30,115,LA
25,6,41,31,119,LA
26,6,27,29,128,LA
27,6,32,29,127,LA
28,6,16,21,85,LA
29,6,11,15,86,LA
30,6,22,25,103,LA
1,7,31,27,108,LA
2,7,38,31,106,LA
3,7,27,26,107,LA
4,7,25,25,100,LA
5,7,31,26,98,LA
6,7,20,20,89,LA
7,7,17,19,88,LA
8,7,34,30,110,LA
9,7,38,32,97,LA
10,7,30,27,124,LA
11,7,27,24,115,LA
12,7,25,23,112,LA
13,7,19,20,100,LA
14,7,24,24,86,LA
15,7,44,43,105,LA
16,7,23,28,102,LA
17,7,23,26,99,LA
18,7,28,20,109,LA
19,7,19,18,104,LA
20,7,24,20,85,LA
21,7,19,22,99,LA
22,7,28,27,95,LA
23,7,34,26,137,LA
24,7,20,21,117,LA
25,7,14,21,91,LA
26,7,18,17,110,LA
27,7,25,25,104,LA
28,7,15,17,92,LA
29,7,22,22,108,LA
30,7,47,39,136,LA
31,7,30,21,128,LA
1,8,21,28,89,LA
2,8,19,25,89,LA
3,8,16,17,67,LA
4,8,43,37,129,LA
5,8,27,27,99,LA
6,8,41,25,126,LA
7,8,21,18,99,LA
8,8,24,23,108,LA
9,8,30,31,121,LA
10,8,25,22,89,LA
11,8,18,20,96,LA
12,8,56,51,136,LA
13,8,28,30,106,LA
14,8,15,14,94,LA
15,8,15,20,109,LA
16,8,10,12,50,LA
17,8,17,16,85,LA
