day,month,numChecklists,numContributors,numSpecies,state
1,1,835,290,155,MD
2,1,410,188,132,MD
3,1,173,121,115,MD
4,1,316,170,140,MD
5,1,228,166,124,MD
6,1,282,168,126,MD
7,1,269,178,121,MD
8,1,375,195,125,MD
9,1,184,131,131,MD
10,1,206,140,130,MD
11,1,222,161,130,MD
12,1,259,174,132,MD
13,1,277,166,136,MD
14,1,230,147,132,MD
15,1,500,213,145,MD
16,1,331,176,128,MD
17,1,152,105,125,MD
18,1,273,151,141,MD
19,1,286,170,140,MD
20,1,187,129,136,MD
21,1,477,182,146,MD
22,1,282,172,133,MD
23,1,92,74,94,MD
24,1,151,106,113,MD
25,1,331,159,132,MD
26,1,185,117,136,MD
27,1,189,132,128,MD
28,1,309,174,135,MD
29,1,397,185,140,MD
30,1,150,132,116,MD
31,1,201,138,118,MD
1,2,189,134,123,MD
2,2,162,131,116,MD
3,2,194,123,119,MD
4,2,348,194,136,MD
5,2,290,168,142,MD
6,2,206,129,136,MD
7,2,177,134,120,MD
8,2,233,160,140,MD
9,2,94,93,98,MD
10,2,127,113,120,MD
11,2,388,205,141,MD
12,2,253,144,137,MD
13,2,98,85,113,MD
14,2,193,125,133,MD
15,2,151,118,131,MD
16,2,137,112,113,MD
17,2,680,497,139,MD
18,2,1125,661,151,MD
19,2,897,634,159,MD
20,2,669,484,144,MD
21,2,186,143,128,MD
22,2,213,142,142,MD
23,2,182,157,131,MD
24,2,242,180,137,MD
25,2,358,204,144,MD
26,2,463,202,150,MD
27,2,211,131,137,MD
28,2,231,147,137,MD
1,3,158,122,126,MD
2,3,148,113,129,MD
3,3,182,114,123,MD
4,3,473,191,142,MD
5,3,471,242,151,MD
6,3,250,141,142,MD
7,3,186,122,138,MD
8,3,177,149,133,MD
9,3,219,155,137,MD
10,3,151,111,134,MD
11,3,316,191,143,MD
12,3,277,190,135,MD
13,3,198,138,135,MD
14,3,164,149,115,MD
15,3,155,138,114,MD
16,3,185,136,137,MD
17,3,253,161,135,MD
18,3,589,226,156,MD
19,3,433,211,140,MD
20,3,240,145,139,MD
21,3,271,182,143,MD
22,3,156,124,124,MD
23,3,216,155,132,MD
24,3,215,145,137,MD
25,3,455,245,154,MD
26,3,253,174,142,MD
27,3,238,175,144,MD
28,3,211,147,140,MD
29,3,300,181,145,MD
30,3,235,160,152,MD
31,3,104,89,127,MD
1,4,429,238,158,MD
2,4,440,259,164,MD
3,4,269,173,146,MD
4,4,262,191,147,MD
5,4,302,223,158,MD
6,4,120,117,131,MD
7,4,183,132,141,MD
8,4,505,248,175,MD
9,4,444,276,166,MD
10,4,299,208,159,MD
11,4,252,203,160,MD
12,4,269,179,159,MD
13,4,282,182,161,MD
14,4,288,199,174,MD
15,4,368,245,184,MD
16,4,362,225,187,MD
17,4,293,191,172,MD
18,4,308,215,179,MD
19,4,238,172,190,MD
20,4,226,173,187,MD
21,4,267,209,181,MD
22,4,325,191,186,MD
23,4,456,285,198,MD
24,4,188,159,161,MD
25,4,135,112,169,MD
26,4,277,193,196,MD
27,4,345,236,203,MD
28,4,364,245,205,MD
29,4,530,281,220,MD
30,4,509,327,220,MD
1,5,285,205,199,MD
2,5,321,217,190,MD
3,5,294,213,185,MD
4,5,291,210,193,MD
5,5,203,152,196,MD
6,5,503,245,209,MD
7,5,421,278,189,MD
8,5,330,217,201,MD
9,5,335,211,209,MD
10,5,296,219,201,MD
11,5,135,131,174,MD
12,5,278,198,190,MD
13,5,942,315,225,MD
14,5,525,302,220,MD
15,5,295,224,191,MD
16,5,361,232,206,MD
17,5,274,189,203,MD
18,5,276,192,196,MD
19,5,302,171,214,MD
20,5,543,272,203,MD
21,5,432,238,207,MD
22,5,155,129,190,MD
23,5,256,162,194,MD
24,5,261,186,213,MD
25,5,166,119,166,MD
26,5,265,185,189,MD
27,5,330,223,199,MD
28,5,269,197,188,MD
29,5,338,214,194,MD
30,5,165,136,171,MD
31,5,197,145,182,MD
1,6,220,151,180,MD
2,6,149,125,153,MD
3,6,273,186,190,MD
4,6,319,190,159,MD
5,6,137,105,140,MD
6,6,203,140,162,MD
7,6,164,115,148,MD
8,6,154,128,153,MD
9,6,202,139,156,MD
10,6,270,181,181,MD
11,6,229,149,159,MD
12,6,159,106,144,MD
13,6,195,106,144,MD
14,6,157,109,162,MD
15,6,211,134,176,MD
16,6,173,119,178,MD
17,6,417,168,178,MD
18,6,210,152,160,MD
19,6,133,92,138,MD
20,6,160,124,150,MD
21,6,158,124,149,MD
22,6,143,121,154,MD
23,6,108,94,140,MD
24,6,202,141,156,MD
25,6,274,155,149,MD
26,6,165,127,148,MD
27,6,134,111,153,MD
28,6,172,111,158,MD
29,6,156,116,147,MD
30,6,161,105,153,MD
1,7,292,143,167,MD
2,7,322,145,177,MD
3,7,166,121,169,MD
4,7,249,129,155,MD
5,7,108,88,149,MD
6,7,80,72,120,MD
7,7,124,99,132,MD
8,7,162,133,145,MD
9,7,210,148,156,MD
10,7,129,97,139,MD
11,7,113,94,130,MD
12,7,113,90,151,MD
13,7,118,90,170,MD
14,7,92,77,161,MD
15,7,190,124,164,MD
16,7,264,115,191,MD
17,7,182,98,170,MD
18,7,116,92,150,MD
19,7,113,88,143,MD
20,7,115,97,143,MD
21,7,154,93,160,MD
22,7,147,119,146,MD
23,7,206,140,167,MD
24,7,123,102,140,MD
25,7,171,117,163,MD
26,7,149,119,145,MD
27,7,130,108,162,MD
28,7,93,83,131,MD
29,7,154,117,133,MD
30,7,236,170,154,MD
31,7,167,116,159,MD
1,8,130,114,140,MD
2,8,121,96,142,MD
3,8,133,106,142,MD
4,8,115,102,154,MD
5,8,186,133,158,MD
6,8,171,129,168,MD
7,8,75,66,122,MD
8,8,152,111,159,MD
9,8,139,115,143,MD
10,8,127,109,148,MD
11,8,145,116,148,MD
12,8,141,112,142,MD
13,8,210,151,153,MD
14,8,157,105,159,MD
15,8,106,81,144,MD
16,8,121,96,153,MD
17,8,137,96,163,MD
18,8,125,81,156,MD
19,8,205,133,167,MD
20,8,484,157,166,MD
21,8,132,103,142,MD
22,8,121,83,142,MD
23,8,136,106,172,MD
24,8,223,141,190,MD
25,8,220,143,185,MD
26,8,271,192,186,MD
27,8,218,172,174,MD
28,8,195,124,179,MD
29,8,81,61,132,MD
30,8,207,137,181,MD
31,8,246,191,167,MD
1,9,224,174,191,MD
2,9,152,109,170,MD
3,9,305,195,183,MD
4,9,269,184,180,MD
5,9,190,137,179,MD
6,9,99,70,159,MD
7,9,194,159,179,MD
8,9,222,174,197,MD
9,9,368,216,198,MD
10,9,324,215,185,MD
11,9,201,145,183,MD
12,9,167,134,179,MD
13,9,138,112,167,MD
14,9,132,115,160,MD
15,9,164,129,167,MD
16,9,417,194,192,MD
17,9,457,185,186,MD
18,9,151,105,183,MD
19,9,189,117,164,MD
20,9,162,128,180,MD
21,9,151,113,189,MD
22,9,177,135,191,MD
23,9,257,173,191,MD
24,9,229,155,168,MD
25,9,139,114,160,MD
26,9,156,116,171,MD
27,9,118,100,151,MD
28,9,140,117,162,MD
29,9,228,147,174,MD
30,9,278,169,187,MD
1,10,283,184,172,MD
2,10,170,128,178,MD
3,10,167,135,170,MD
4,10,170,140,175,MD
5,10,147,117,157,MD
6,10,189,128,164,MD
7,10,189,148,158,MD
8,10,140,108,148,MD
9,10,84,81,137,MD
10,10,147,122,150,MD
11,10,136,105,157,MD
12,10,127,111,167,MD
13,10,196,143,176,MD
14,10,264,183,182,MD
15,10,255,191,175,MD
16,10,150,119,143,MD
17,10,212,150,166,MD
18,10,163,120,147,MD
19,10,150,128,139,MD
20,10,175,132,151,MD
21,10,209,157,160,MD
22,10,243,161,162,MD
23,10,138,100,138,MD
24,10,109,104,117,MD
25,10,128,113,143,MD
26,10,113,106,113,MD
27,10,133,115,129,MD
28,10,235,157,135,MD
29,10,158,92,118,MD
30,10,103,90,115,MD
31,10,134,108,135,MD
1,11,131,102,144,MD
2,11,174,133,143,MD
3,11,182,127,129,MD
4,11,260,174,147,MD
5,11,237,151,152,MD
6,11,154,117,133,MD
7,11,148,96,137,MD
8,11,151,113,142,MD
9,11,169,125,142,MD
10,11,205,124,148,MD
11,11,521,173,192,MD
12,11,364,182,176,MD
13,11,118,101,135,MD
14,11,142,117,146,MD
15,11,152,104,151,MD
16,11,126,93,125,MD
17,11,144,122,133,MD
18,11,211,137,140,MD
19,11,186,128,135,MD
20,11,143,107,130,MD
21,11,153,116,130,MD
22,11,152,108,131,MD
23,11,194,146,140,MD
24,11,299,195,152,MD
25,11,323,217,158,MD
26,11,314,212,151,MD
27,11,162,120,130,MD
28,11,165,126,142,MD
29,11,162,130,133,MD
30,11,143,114,126,MD
1,12,153,113,131,MD
2,12,292,183,152,MD
3,12,263,177,152,MD
4,12,180,111,131,MD
5,12,120,92,126,MD
6,12,114,98,118,MD
7,12,129,93,126,MD
8,12,139,96,123,MD
9,12,174,115,118,MD
10,12,279,122,140,MD
11,12,137,95,129,MD
12,12,196,119,129,MD
13,12,137,88,120,MD
14,12,142,93,121,MD
15,12,109,83,114,MD
16,12,375,179,137,MD
17,12,479,180,143,MD
18,12,169,117,141,MD
19,12,149,112,118,MD
20,12,147,107,117,MD
21,12,145,114,118,MD
22,12,197,128,126,MD
23,12,196,115,122,MD
24,12,186,128,139,MD
25,12,113,103,104,MD
26,12,159,114,136,MD
27,12,232,132,146,MD
28,12,353,156,148,MD
29,12,272,135,153,MD
30,12,252,173,135,MD
31,12,418,186,143,MD
