day,month,numChecklists,numContributors,numSpecies,state
1,1,253,100,113,ME
2,1,339,100,108,ME
3,1,167,86,100,ME
4,1,70,55,87,ME
5,1,84,47,94,ME
6,1,100,60,93,ME
7,1,109,59,81,ME
8,1,82,51,81,ME
9,1,131,71,102,ME
10,1,25,30,68,ME
11,1,62,48,74,ME
12,1,93,58,81,ME
13,1,36,32,59,ME
14,1,77,46,88,ME
15,1,123,57,91,ME
16,1,43,43,61,ME
17,1,160,70,93,ME
18,1,63,49,78,ME
19,1,46,39,69,ME
20,1,81,44,69,ME
21,1,53,42,74,ME
22,1,74,41,80,ME
23,1,156,76,93,ME
24,1,72,55,79,ME
25,1,78,50,85,ME
26,1,63,42,70,ME
27,1,76,47,79,ME
28,1,73,49,86,ME
29,1,64,30,82,ME
30,1,160,70,95,ME
31,1,136,68,93,ME
1,2,82,54,79,ME
2,2,58,46,76,ME
3,2,27,27,65,ME
4,2,66,54,72,ME
5,2,18,24,45,ME
6,2,69,65,92,ME
7,2,75,50,85,ME
8,2,38,35,61,ME
9,2,26,24,50,ME
10,2,53,45,82,ME
11,2,58,37,72,ME
12,2,261,186,91,ME
13,2,337,258,101,ME
14,2,300,236,81,ME
15,2,251,183,98,ME
16,2,19,26,55,ME
17,2,60,47,67,ME
18,2,85,47,79,ME
19,2,64,45,76,ME
20,2,64,50,77,ME
21,2,105,72,85,ME
22,2,49,38,65,ME
23,2,67,32,64,ME
24,2,31,26,64,ME
25,2,29,28,63,ME
26,2,51,47,74,ME
27,2,92,55,90,ME
28,2,84,68,83,ME
29,2,65,49,70,ME
1,3,88,47,83,ME
2,3,55,46,65,ME
3,3,60,39,70,ME
4,3,81,53,73,ME
5,3,90,64,80,ME
6,3,116,71,89,ME
7,3,45,37,68,ME
8,3,88,51,77,ME
9,3,119,71,91,ME
10,3,70,60,82,ME
11,3,110,63,81,ME
12,3,152,87,102,ME
13,3,108,77,95,ME
14,3,83,66,84,ME
15,3,40,44,74,ME
16,3,87,65,88,ME
17,3,93,65,91,ME
18,3,113,71,97,ME
19,3,140,86,107,ME
20,3,162,87,107,ME
21,3,55,52,75,ME
22,3,91,66,95,ME
23,3,125,85,108,ME
24,3,80,57,93,ME
25,3,51,54,76,ME
26,3,181,101,117,ME
27,3,130,92,107,ME
28,3,74,54,99,ME
29,3,68,56,84,ME
30,3,147,86,111,ME
31,3,138,88,101,ME
1,4,170,93,118,ME
2,4,207,96,128,ME
3,4,93,64,101,ME
4,4,87,64,109,ME
5,4,90,72,95,ME
6,4,129,82,108,ME
7,4,60,42,91,ME
8,4,114,79,114,ME
9,4,214,103,124,ME
10,4,120,81,118,ME
11,4,80,60,110,ME
12,4,52,42,84,ME
13,4,133,86,128,ME
14,4,102,66,115,ME
15,4,82,72,105,ME
16,4,174,101,124,ME
17,4,176,125,131,ME
18,4,142,103,121,ME
19,4,97,84,108,ME
20,4,105,80,118,ME
21,4,130,86,132,ME
22,4,172,115,140,ME
23,4,144,103,134,ME
24,4,155,115,131,ME
25,4,109,88,117,ME
26,4,94,70,117,ME
27,4,113,72,140,ME
28,4,147,89,133,ME
29,4,112,73,136,ME
30,4,169,122,153,ME
1,5,160,107,158,ME
2,5,62,46,123,ME
3,5,135,97,165,ME
4,5,140,88,153,ME
5,5,79,58,137,ME
6,5,151,99,160,ME
7,5,191,96,168,ME
8,5,139,95,170,ME
9,5,166,116,164,ME
10,5,212,148,190,ME
11,5,207,147,193,ME
12,5,223,160,193,ME
13,5,162,121,193,ME
14,5,463,192,220,ME
15,5,165,135,177,ME
16,5,114,101,178,ME
17,5,163,117,193,ME
18,5,215,148,193,ME
19,5,180,119,202,ME
20,5,218,132,199,ME
21,5,287,176,216,ME
22,5,265,146,217,ME
23,5,207,129,197,ME
24,5,185,116,197,ME
25,5,181,113,192,ME
26,5,228,131,206,ME
27,5,193,126,199,ME
28,5,226,170,207,ME
29,5,264,147,214,ME
30,5,162,125,193,ME
31,5,133,91,180,ME
1,6,160,115,201,ME
2,6,195,120,181,ME
3,6,208,103,183,ME
4,6,422,135,186,ME
5,6,272,110,174,ME
6,6,111,81,179,ME
7,6,101,89,183,ME
8,6,119,89,171,ME
9,6,93,65,159,ME
10,6,295,99,193,ME
11,6,180,118,195,ME
12,6,166,102,174,ME
13,6,199,96,165,ME
14,6,166,95,179,ME
15,6,170,110,191,ME
16,6,195,122,186,ME
17,6,173,112,191,ME
18,6,191,128,195,ME
19,6,131,97,165,ME
20,6,127,96,157,ME
21,6,200,103,169,ME
22,6,136,103,176,ME
23,6,108,89,168,ME
24,6,167,109,188,ME
25,6,182,123,196,ME
26,6,167,111,189,ME
27,6,105,72,174,ME
28,6,117,85,162,ME
29,6,66,56,136,ME
30,6,104,77,156,ME
1,7,96,83,179,ME
2,7,113,92,178,ME
3,7,133,115,176,ME
4,7,132,101,179,ME
5,7,127,89,180,ME
6,7,110,92,176,ME
7,7,116,81,171,ME
8,7,156,109,194,ME
9,7,139,105,195,ME
10,7,108,99,169,ME
11,7,116,101,177,ME
12,7,123,85,171,ME
13,7,109,93,177,ME
14,7,89,74,149,ME
15,7,99,88,170,ME
16,7,136,99,180,ME
17,7,104,89,167,ME
18,7,87,77,174,ME
19,7,104,76,177,ME
20,7,84,74,170,ME
21,7,103,87,167,ME
22,7,82,71,167,ME
23,7,120,86,173,ME
24,7,150,93,192,ME
25,7,117,81,172,ME
26,7,153,90,178,ME
27,7,128,88,194,ME
28,7,121,90,173,ME
29,7,122,87,174,ME
30,7,148,94,185,ME
31,7,122,93,172,ME
1,8,125,80,187,ME
2,8,148,101,179,ME
3,8,119,82,184,ME
4,8,110,95,165,ME
5,8,105,75,164,ME
6,8,116,88,168,ME
7,8,124,113,181,ME
8,8,134,90,173,ME
9,8,106,83,183,ME
10,8,135,86,174,ME
11,8,115,70,162,ME
12,8,113,76,161,ME
13,8,165,91,172,ME
14,8,119,85,160,ME
15,8,119,89,177,ME
16,8,113,88,185,ME
17,8,99,81,153,ME
18,8,134,107,173,ME
19,8,176,117,175,ME
20,8,146,101,174,ME
21,8,100,79,148,ME
22,8,94,59,141,ME
23,8,155,93,169,ME
24,8,108,84,163,ME
25,8,105,80,150,ME
26,8,115,77,152,ME
27,8,143,95,185,ME
28,8,103,87,178,ME
29,8,92,69,138,ME
30,8,116,83,168,ME
31,8,80,61,142,ME
1,9,113,80,159,ME
2,9,133,86,158,ME
3,9,204,122,189,ME
4,9,174,117,183,ME
5,9,131,92,166,ME
6,9,109,71,169,ME
7,9,91,65,134,ME
8,9,84,61,132,ME
9,9,103,73,163,ME
10,9,146,103,170,ME
11,9,114,91,151,ME
12,9,158,85,162,ME
13,9,148,76,175,ME
14,9,123,77,152,ME
15,9,149,97,172,ME
16,9,120,90,165,ME
17,9,515,146,162,ME
18,9,105,86,162,ME
19,9,98,59,154,ME
20,9,100,75,160,ME
21,9,97,74,181,ME
22,9,112,79,176,ME
23,9,79,53,152,ME
24,9,109,83,155,ME
25,9,96,76,162,ME
26,9,130,76,168,ME
27,9,111,66,152,ME
28,9,91,67,145,ME
29,9,81,61,156,ME
30,9,131,86,151,ME
1,10,125,87,144,ME
2,10,129,74,158,ME
3,10,79,66,146,ME
4,10,76,65,138,ME
5,10,94,69,158,ME
6,10,95,74,150,ME
7,10,128,90,162,ME
8,10,121,92,167,ME
9,10,71,63,120,ME
10,10,106,69,138,ME
11,10,108,69,156,ME
12,10,68,51,126,ME
13,10,66,46,117,ME
14,10,97,71,136,ME
15,10,110,82,129,ME
16,10,92,70,134,ME
17,10,70,57,118,ME
18,10,56,44,99,ME
19,10,89,72,116,ME
20,10,109,62,125,ME
21,10,48,34,95,ME
22,10,58,50,119,ME
23,10,84,49,120,ME
24,10,53,43,111,ME
25,10,73,43,110,ME
26,10,80,64,114,ME
27,10,69,63,115,ME
28,10,24,28,60,ME
29,10,120,76,121,ME
30,10,183,87,127,ME
31,10,82,59,109,ME
1,11,78,60,117,ME
2,11,84,60,116,ME
3,11,27,27,79,ME
4,11,59,41,122,ME
5,11,99,69,129,ME
6,11,94,64,118,ME
7,11,52,42,97,ME
8,11,93,55,103,ME
9,11,74,52,106,ME
10,11,79,48,107,ME
11,11,59,48,109,ME
12,11,90,53,107,ME
13,11,94,72,107,ME
14,11,67,51,94,ME
15,11,65,42,98,ME
16,11,51,32,93,ME
17,11,65,43,99,ME
18,11,82,53,98,ME
19,11,91,60,108,ME
20,11,46,30,79,ME
21,11,49,35,82,ME
22,11,41,38,84,ME
23,11,84,54,90,ME
24,11,70,45,93,ME
25,11,60,46,90,ME
26,11,102,60,91,ME
27,11,69,49,92,ME
28,11,68,49,86,ME
29,11,33,26,60,ME
30,11,85,49,92,ME
1,12,34,27,82,ME
2,12,67,43,99,ME
3,12,79,55,92,ME
4,12,108,54,91,ME
5,12,53,39,82,ME
6,12,75,43,90,ME
7,12,56,42,75,ME
8,12,60,42,94,ME
9,12,51,37,79,ME
10,12,87,46,83,ME
11,12,50,38,80,ME
12,12,33,24,48,ME
13,12,44,28,68,ME
14,12,73,46,82,ME
15,12,53,33,74,ME
16,12,31,29,59,ME
17,12,133,55,83,ME
18,12,35,27,70,ME
19,12,86,43,96,ME
20,12,80,46,83,ME
21,12,148,63,99,ME
22,12,42,35,76,ME
23,12,79,54,87,ME
24,12,52,41,82,ME
25,12,69,51,74,ME
26,12,92,63,96,ME
27,12,105,56,90,ME
28,12,123,74,99,ME
29,12,58,43,71,ME
30,12,57,47,72,ME
31,12,208,85,103,ME
