day,month,numChecklists,numContributors,numSpecies,state
1,1,983,336,127,MI
2,1,685,323,126,MI
3,1,450,270,127,MI
4,1,253,184,106,MI
5,1,280,188,106,MI
6,1,279,192,115,MI
7,1,354,187,124,MI
8,1,260,172,113,MI
9,1,459,225,120,MI
10,1,231,201,101,MI
11,1,196,152,105,MI
12,1,182,148,102,MI
13,1,187,153,97,MI
14,1,283,183,119,MI
15,1,318,183,110,MI
16,1,560,233,112,MI
17,1,310,208,107,MI
18,1,259,178,111,MI
19,1,137,129,89,MI
20,1,192,142,100,MI
21,1,238,170,108,MI
22,1,255,164,105,MI
23,1,510,257,126,MI
24,1,406,227,116,MI
25,1,245,155,110,MI
26,1,159,114,97,MI
27,1,145,126,100,MI
28,1,161,128,94,MI
29,1,223,162,110,MI
30,1,499,229,117,MI
31,1,309,197,113,MI
1,2,211,173,108,MI
2,2,175,128,101,MI
3,2,157,126,91,MI
4,2,187,140,94,MI
5,2,271,150,114,MI
6,2,512,243,117,MI
7,2,416,229,117,MI
8,2,217,143,110,MI
9,2,160,129,95,MI
10,2,166,122,96,MI
11,2,208,164,101,MI
12,2,874,710,102,MI
13,2,1598,955,116,MI
14,2,1241,898,116,MI
15,2,797,603,118,MI
16,2,213,156,102,MI
17,2,211,167,109,MI
18,2,279,177,112,MI
19,2,208,141,104,MI
20,2,552,269,117,MI
21,2,420,270,114,MI
22,2,215,163,104,MI
23,2,268,206,109,MI
24,2,171,137,88,MI
25,2,167,158,99,MI
26,2,395,253,109,MI
27,2,431,235,118,MI
28,2,409,240,121,MI
29,2,271,157,111,MI
1,3,167,154,98,MI
2,3,191,163,112,MI
3,3,238,160,118,MI
4,3,300,201,113,MI
5,3,377,247,120,MI
6,3,517,251,124,MI
7,3,370,246,116,MI
8,3,411,279,120,MI
9,3,366,237,119,MI
10,3,334,216,127,MI
11,3,366,241,128,MI
12,3,749,354,133,MI
13,3,298,191,119,MI
14,3,280,187,118,MI
15,3,379,241,131,MI
16,3,210,154,115,MI
17,3,287,194,120,MI
18,3,362,220,129,MI
19,3,640,291,129,MI
20,3,479,281,132,MI
21,3,299,202,127,MI
22,3,424,271,128,MI
23,3,323,213,127,MI
24,3,202,147,119,MI
25,3,465,240,134,MI
26,3,669,335,142,MI
27,3,444,304,138,MI
28,3,223,163,127,MI
29,3,391,248,145,MI
30,3,292,217,140,MI
31,3,172,137,126,MI
1,4,341,230,134,MI
2,4,421,245,137,MI
3,4,386,242,140,MI
4,4,234,182,138,MI
5,4,364,232,141,MI
6,4,173,176,127,MI
7,4,220,181,134,MI
8,4,297,208,147,MI
9,4,518,272,147,MI
10,4,364,220,135,MI
11,4,315,229,149,MI
12,4,397,252,154,MI
13,4,401,285,148,MI
14,4,437,295,159,MI
15,4,460,328,161,MI
16,4,774,388,167,MI
17,4,545,339,170,MI
18,4,406,276,169,MI
19,4,398,267,171,MI
20,4,348,256,165,MI
21,4,317,241,160,MI
22,4,425,293,169,MI
23,4,672,365,179,MI
24,4,549,337,192,MI
25,4,416,308,200,MI
26,4,422,314,202,MI
27,4,433,337,198,MI
28,4,326,251,190,MI
29,4,552,328,216,MI
30,4,788,405,220,MI
1,5,587,339,207,MI
2,5,419,308,200,MI
3,5,515,351,212,MI
4,5,343,288,206,MI
5,5,554,392,225,MI
6,5,581,368,230,MI
7,5,782,415,238,MI
8,5,632,422,224,MI
9,5,487,324,229,MI
10,5,459,307,228,MI
11,5,623,428,238,MI
12,5,511,353,227,MI
13,5,557,344,242,MI
14,5,1622,563,245,MI
15,5,542,399,231,MI
16,5,553,348,235,MI
17,5,567,417,235,MI
18,5,601,387,242,MI
19,5,565,380,237,MI
20,5,644,352,235,MI
21,5,941,435,248,MI
22,5,581,395,243,MI
23,5,441,278,234,MI
24,5,400,268,233,MI
25,5,345,259,237,MI
26,5,304,250,230,MI
27,5,403,267,242,MI
28,5,549,307,235,MI
29,5,383,266,229,MI
30,5,440,297,226,MI
31,5,309,200,217,MI
1,6,221,171,208,MI
2,6,272,198,221,MI
3,6,319,216,221,MI
4,6,507,250,209,MI
5,6,350,206,201,MI
6,6,216,176,204,MI
7,6,217,162,200,MI
8,6,284,194,199,MI
9,6,282,205,207,MI
10,6,299,200,209,MI
11,6,316,214,203,MI
12,6,375,223,213,MI
13,6,214,157,193,MI
14,6,255,156,202,MI
15,6,191,136,192,MI
16,6,234,153,192,MI
17,6,257,176,206,MI
18,6,401,201,215,MI
19,6,285,168,191,MI
20,6,171,132,183,MI
21,6,317,191,203,MI
22,6,265,178,188,MI
23,6,159,137,177,MI
24,6,249,170,189,MI
25,6,390,202,204,MI
26,6,297,165,191,MI
27,6,209,127,184,MI
28,6,219,152,186,MI
29,6,240,156,193,MI
30,6,156,142,184,MI
1,7,201,167,178,MI
2,7,361,226,199,MI
3,7,275,213,207,MI
4,7,303,211,194,MI
5,7,166,150,188,MI
6,7,191,144,200,MI
7,7,197,156,203,MI
8,7,171,137,186,MI
9,7,258,183,204,MI
10,7,279,166,198,MI
11,7,174,141,181,MI
12,7,125,111,166,MI
13,7,137,116,169,MI
14,7,153,122,164,MI
15,7,171,155,182,MI
16,7,241,181,207,MI
17,7,231,151,188,MI
18,7,158,129,177,MI
19,7,138,135,182,MI
20,7,203,147,195,MI
21,7,136,115,161,MI
22,7,131,136,180,MI
23,7,183,160,199,MI
24,7,185,147,181,MI
25,7,158,119,172,MI
26,7,162,141,178,MI
27,7,185,139,170,MI
28,7,151,146,176,MI
29,7,154,120,171,MI
30,7,178,147,187,MI
31,7,216,168,188,MI
1,8,190,138,183,MI
2,8,148,129,177,MI
3,8,160,142,173,MI
4,8,130,115,169,MI
5,8,128,127,187,MI
6,8,208,168,184,MI
7,8,219,159,184,MI
8,8,197,148,166,MI
9,8,149,132,166,MI
10,8,152,114,178,MI
11,8,136,116,168,MI
12,8,166,149,163,MI
13,8,226,170,184,MI
14,8,294,208,200,MI
15,8,188,137,205,MI
16,8,179,147,181,MI
17,8,152,131,188,MI
18,8,168,151,192,MI
19,8,201,162,191,MI
20,8,241,182,192,MI
21,8,234,169,191,MI
22,8,193,164,201,MI
23,8,238,171,192,MI
24,8,157,139,174,MI
25,8,217,162,196,MI
26,8,266,189,201,MI
27,8,251,187,205,MI
28,8,258,197,204,MI
29,8,192,154,196,MI
30,8,187,146,196,MI
31,8,177,154,202,MI
1,9,193,162,186,MI
2,9,227,173,191,MI
3,9,304,216,196,MI
4,9,276,216,195,MI
5,9,317,198,203,MI
6,9,141,125,184,MI
7,9,171,139,181,MI
8,9,159,132,191,MI
9,9,223,179,190,MI
10,9,326,194,195,MI
11,9,311,221,205,MI
12,9,186,148,187,MI
13,9,148,152,186,MI
14,9,197,186,196,MI
15,9,236,194,203,MI
16,9,242,178,191,MI
17,9,282,175,195,MI
18,9,321,222,197,MI
19,9,188,149,186,MI
20,9,200,157,195,MI
21,9,171,145,186,MI
22,9,207,159,202,MI
23,9,220,179,198,MI
24,9,303,219,203,MI
25,9,330,228,197,MI
26,9,149,120,178,MI
27,9,206,147,193,MI
28,9,261,204,192,MI
29,9,181,154,186,MI
30,9,181,161,196,MI
1,10,354,226,190,MI
2,10,367,248,199,MI
3,10,249,206,179,MI
4,10,205,158,175,MI
5,10,183,164,170,MI
6,10,215,166,177,MI
7,10,189,147,171,MI
8,10,353,220,177,MI
9,10,359,240,180,MI
10,10,244,169,157,MI
11,10,186,142,158,MI
12,10,214,152,153,MI
13,10,188,159,162,MI
14,10,251,162,156,MI
15,10,354,210,168,MI
16,10,300,161,161,MI
17,10,192,142,148,MI
18,10,212,144,146,MI
19,10,233,172,152,MI
20,10,199,144,145,MI
21,10,246,171,145,MI
22,10,402,213,153,MI
23,10,340,207,152,MI
24,10,224,152,136,MI
25,10,210,142,136,MI
26,10,113,109,123,MI
27,10,165,115,128,MI
28,10,227,152,145,MI
29,10,298,180,153,MI
30,10,284,157,132,MI
31,10,260,192,140,MI
1,11,289,204,144,MI
2,11,148,115,131,MI
3,11,146,127,133,MI
4,11,208,158,144,MI
5,11,416,209,145,MI
6,11,314,197,136,MI
7,11,172,137,126,MI
8,11,155,121,118,MI
9,11,161,135,136,MI
10,11,163,111,123,MI
11,11,159,116,117,MI
12,11,272,156,132,MI
13,11,253,155,124,MI
14,11,145,117,119,MI
15,11,131,119,130,MI
16,11,164,136,124,MI
17,11,154,108,120,MI
18,11,151,104,117,MI
19,11,159,121,113,MI
20,11,220,130,115,MI
21,11,148,102,120,MI
22,11,172,107,112,MI
23,11,148,88,103,MI
24,11,160,119,107,MI
25,11,262,125,124,MI
26,11,239,154,130,MI
27,11,265,150,124,MI
28,11,77,72,95,MI
29,11,143,100,114,MI
30,11,117,99,112,MI
1,12,79,75,100,MI
2,12,157,105,107,MI
3,12,297,142,120,MI
4,12,197,124,109,MI
5,12,142,94,113,MI
6,12,142,97,108,MI
7,12,124,109,109,MI
8,12,101,95,93,MI
9,12,182,121,110,MI
10,12,302,184,117,MI
11,12,128,130,85,MI
12,12,121,118,102,MI
13,12,130,114,104,MI
14,12,128,103,97,MI
15,12,95,94,89,MI
16,12,161,121,101,MI
17,12,596,232,121,MI
18,12,311,185,116,MI
19,12,115,87,95,MI
20,12,152,110,98,MI
21,12,129,107,101,MI
22,12,172,129,107,MI
23,12,258,160,118,MI
24,12,179,139,93,MI
25,12,146,120,96,MI
26,12,187,120,106,MI
27,12,200,132,111,MI
28,12,221,152,104,MI
29,12,180,133,100,MI
30,12,229,156,103,MI
31,12,291,169,116,MI
