day,month,numChecklists,numContributors,numSpecies,state
1,1,544,195,102,MN
2,1,227,146,90,MN
3,1,136,100,73,MN
4,1,132,94,70,MN
5,1,186,96,73,MN
6,1,160,106,77,MN
7,1,298,144,86,MN
8,1,256,138,91,MN
9,1,185,101,72,MN
10,1,89,86,61,MN
11,1,88,73,62,MN
12,1,97,75,69,MN
13,1,145,83,73,MN
14,1,319,134,87,MN
15,1,416,140,97,MN
16,1,201,105,77,MN
17,1,155,82,87,MN
18,1,137,88,79,MN
19,1,171,92,75,MN
20,1,149,85,69,MN
21,1,296,111,88,MN
22,1,301,138,80,MN
23,1,176,98,76,MN
24,1,225,80,77,MN
25,1,132,75,61,MN
26,1,125,77,74,MN
27,1,145,93,70,MN
28,1,368,110,83,MN
29,1,322,143,83,MN
30,1,127,74,67,MN
31,1,99,70,65,MN
1,2,86,51,56,MN
2,2,89,74,63,MN
3,2,150,94,77,MN
4,2,321,126,82,MN
5,2,273,121,85,MN
6,2,123,67,65,MN
7,2,67,52,57,MN
8,2,94,56,58,MN
9,2,160,77,65,MN
10,2,167,89,74,MN
11,2,291,140,81,MN
12,2,155,106,77,MN
13,2,155,77,82,MN
14,2,106,76,77,MN
15,2,178,81,73,MN
16,2,161,91,74,MN
17,2,609,339,91,MN
18,2,775,394,108,MN
19,2,719,386,109,MN
20,2,336,207,97,MN
21,2,260,113,95,MN
22,2,235,113,97,MN
23,2,165,99,88,MN
24,2,180,91,91,MN
25,2,281,133,109,MN
26,2,302,127,101,MN
27,2,182,89,92,MN
28,2,194,86,87,MN
1,3,108,72,79,MN
2,3,127,76,79,MN
3,3,217,117,90,MN
4,3,226,124,103,MN
5,3,385,200,111,MN
6,3,158,114,94,MN
7,3,119,75,90,MN
8,3,126,92,85,MN
9,3,159,97,90,MN
10,3,201,101,98,MN
11,3,279,127,101,MN
12,3,158,96,90,MN
13,3,125,81,92,MN
14,3,129,79,92,MN
15,3,138,102,88,MN
16,3,147,102,84,MN
17,3,150,102,92,MN
18,3,271,152,100,MN
19,3,399,187,123,MN
20,3,305,155,108,MN
21,3,222,117,112,MN
22,3,226,119,114,MN
23,3,233,115,107,MN
24,3,273,122,116,MN
25,3,394,169,129,MN
26,3,369,164,125,MN
27,3,245,161,118,MN
28,3,308,155,120,MN
29,3,247,137,120,MN
30,3,255,133,121,MN
31,3,361,158,129,MN
1,4,395,203,130,MN
2,4,329,161,129,MN
3,4,171,120,115,MN
4,4,215,152,125,MN
5,4,176,139,122,MN
6,4,194,141,121,MN
7,4,235,152,122,MN
8,4,466,230,144,MN
9,4,359,209,139,MN
10,4,222,139,132,MN
11,4,304,165,146,MN
12,4,262,141,139,MN
13,4,288,171,146,MN
14,4,318,179,149,MN
15,4,441,224,163,MN
16,4,348,233,155,MN
17,4,354,203,152,MN
18,4,204,135,145,MN
19,4,214,142,151,MN
20,4,226,146,156,MN
21,4,355,202,165,MN
22,4,440,239,169,MN
23,4,361,231,174,MN
24,4,189,149,151,MN
25,4,278,186,179,MN
26,4,198,143,172,MN
27,4,273,168,176,MN
28,4,358,211,187,MN
29,4,443,254,197,MN
30,4,233,152,186,MN
1,5,132,110,162,MN
2,5,283,202,190,MN
3,5,240,171,190,MN
4,5,339,198,187,MN
5,5,319,178,203,MN
6,5,365,229,202,MN
7,5,398,226,196,MN
8,5,254,208,207,MN
9,5,332,251,204,MN
10,5,370,274,221,MN
11,5,355,248,222,MN
12,5,411,260,211,MN
13,5,855,367,240,MN
14,5,400,234,231,MN
15,5,452,212,228,MN
16,5,246,188,226,MN
17,5,277,184,225,MN
18,5,399,246,228,MN
19,5,406,227,235,MN
20,5,293,161,227,MN
21,5,393,219,234,MN
22,5,386,249,238,MN
23,5,304,222,237,MN
24,5,291,217,216,MN
25,5,295,227,218,MN
26,5,323,212,226,MN
27,5,407,230,230,MN
28,5,353,188,221,MN
29,5,351,175,220,MN
30,5,190,136,200,MN
31,5,203,134,200,MN
1,6,193,145,221,MN
2,6,191,164,197,MN
3,6,330,171,206,MN
4,6,245,155,211,MN
5,6,228,146,214,MN
6,6,212,141,212,MN
7,6,167,124,205,MN
8,6,185,141,219,MN
9,6,262,144,220,MN
10,6,215,145,215,MN
11,6,230,130,208,MN
12,6,203,137,198,MN
13,6,126,95,164,MN
14,6,168,105,179,MN
15,6,197,121,198,MN
16,6,209,134,209,MN
17,6,267,168,209,MN
18,6,312,167,199,MN
19,6,246,144,204,MN
20,6,168,116,197,MN
21,6,123,98,182,MN
22,6,119,99,183,MN
23,6,163,116,191,MN
24,6,250,151,196,MN
25,6,261,147,190,MN
26,6,165,136,201,MN
27,6,147,115,178,MN
28,6,114,84,152,MN
29,6,195,114,188,MN
30,6,145,108,191,MN
1,7,196,131,196,MN
2,7,229,140,211,MN
3,7,171,132,200,MN
4,7,180,110,178,MN
5,7,128,92,184,MN
6,7,148,85,175,MN
7,7,144,96,191,MN
8,7,330,119,202,MN
9,7,178,111,186,MN
10,7,128,92,178,MN
11,7,133,98,176,MN
12,7,132,86,172,MN
13,7,144,99,187,MN
14,7,184,108,175,MN
15,7,184,126,181,MN
16,7,150,115,188,MN
17,7,95,88,158,MN
18,7,92,83,151,MN
19,7,148,93,175,MN
20,7,127,90,180,MN
21,7,172,101,186,MN
22,7,204,103,174,MN
23,7,181,116,184,MN
24,7,154,101,184,MN
25,7,93,73,159,MN
26,7,100,83,181,MN
27,7,132,105,178,MN
28,7,224,103,191,MN
29,7,180,123,188,MN
30,7,195,126,182,MN
31,7,106,75,156,MN
