day,month,numChecklists,numContributors,numSpecies,state
1,1,241,146,124,MO
2,1,126,101,107,MO
3,1,109,80,107,MO
4,1,123,74,108,MO
5,1,95,82,88,MO
6,1,75,65,101,MO
7,1,171,86,118,MO
8,1,145,99,107,MO
9,1,85,73,110,MO
10,1,73,57,93,MO
11,1,126,83,104,MO
12,1,79,65,97,MO
13,1,88,75,87,MO
14,1,112,84,115,MO
15,1,84,68,90,MO
16,1,81,64,103,MO
17,1,79,67,114,MO
18,1,122,64,104,MO
19,1,87,58,91,MO
20,1,77,55,102,MO
21,1,235,98,117,MO
22,1,102,68,100,MO
23,1,92,56,96,MO
24,1,95,74,109,MO
25,1,90,61,98,MO
26,1,90,60,98,MO
27,1,85,51,88,MO
28,1,166,87,108,MO
29,1,114,81,108,MO
30,1,117,77,104,MO
31,1,91,67,109,MO
1,2,78,59,96,MO
2,2,64,56,109,MO
3,2,102,67,103,MO
4,2,120,94,111,MO
5,2,109,88,117,MO
6,2,60,49,83,MO
7,2,68,62,94,MO
8,2,81,63,94,MO
9,2,82,57,90,MO
10,2,63,66,106,MO
11,2,137,106,114,MO
12,2,109,84,109,MO
13,2,81,64,110,MO
14,2,80,68,104,MO
15,2,78,62,105,MO
16,2,77,67,90,MO
17,2,415,310,114,MO
18,2,541,410,126,MO
19,2,507,395,127,MO
20,2,341,277,119,MO
21,2,72,71,107,MO
22,2,93,61,104,MO
23,2,94,72,108,MO
24,2,99,74,113,MO
25,2,148,101,128,MO
26,2,109,87,116,MO
27,2,96,66,117,MO
28,2,71,55,99,MO
1,3,71,51,105,MO
2,3,86,67,121,MO
3,3,92,83,116,MO
4,3,159,110,125,MO
5,3,95,75,112,MO
6,3,51,47,109,MO
7,3,80,62,116,MO
8,3,83,63,115,MO
9,3,85,80,112,MO
10,3,106,80,116,MO
11,3,114,87,120,MO
12,3,92,76,115,MO
13,3,49,53,104,MO
14,3,60,56,104,MO
15,3,81,66,116,MO
16,3,94,69,116,MO
17,3,114,92,126,MO
18,3,178,107,139,MO
19,3,110,96,140,MO
20,3,108,88,118,MO
21,3,102,74,123,MO
22,3,122,72,129,MO
23,3,86,79,124,MO
24,3,150,111,143,MO
25,3,150,105,136,MO
26,3,173,112,146,MO
27,3,79,64,133,MO
28,3,86,78,137,MO
29,3,84,67,127,MO
30,3,126,81,134,MO
31,3,114,77,137,MO
1,4,217,132,146,MO
2,4,121,101,139,MO
3,4,83,68,121,MO
4,4,103,79,139,MO
5,4,98,74,135,MO
6,4,105,102,145,MO
7,4,129,96,145,MO
8,4,160,113,158,MO
9,4,143,122,163,MO
10,4,101,97,168,MO
11,4,139,100,161,MO
12,4,135,94,158,MO
13,4,132,98,176,MO
14,4,121,98,178,MO
15,4,216,142,188,MO
16,4,154,109,187,MO
17,4,118,99,181,MO
18,4,136,97,189,MO
19,4,117,92,176,MO
20,4,148,115,188,MO
21,4,115,85,181,MO
22,4,177,124,197,MO
23,4,179,135,183,MO
24,4,118,102,170,MO
25,4,137,109,199,MO
26,4,99,96,178,MO
27,4,157,122,201,MO
28,4,127,106,196,MO
29,4,99,74,181,MO
30,4,167,115,202,MO
1,5,112,103,177,MO
2,5,210,138,202,MO
3,5,97,88,158,MO
4,5,173,106,200,MO
5,5,211,143,212,MO
6,5,309,185,214,MO
7,5,259,173,221,MO
8,5,162,126,210,MO
9,5,145,119,207,MO
10,5,136,105,197,MO
11,5,126,106,207,MO
12,5,134,115,204,MO
13,5,373,176,224,MO
14,5,107,105,185,MO
15,5,92,79,201,MO
16,5,122,79,198,MO
17,5,80,76,175,MO
18,5,127,96,193,MO
19,5,85,77,174,MO
20,5,137,105,199,MO
21,5,144,110,199,MO
22,5,102,85,174,MO
23,5,80,70,187,MO
24,5,102,82,163,MO
25,5,102,84,169,MO
26,5,98,83,170,MO
27,5,126,78,165,MO
28,5,126,94,171,MO
29,5,125,84,173,MO
30,5,84,63,155,MO
31,5,78,66,147,MO
1,6,144,71,149,MO
2,6,70,55,136,MO
3,6,112,82,145,MO
4,6,101,78,139,MO
5,6,153,58,135,MO
6,6,83,68,135,MO
7,6,118,82,129,MO
8,6,109,79,135,MO
9,6,81,63,132,MO
10,6,115,83,134,MO
11,6,71,66,130,MO
12,6,107,71,118,MO
13,6,126,64,118,MO
14,6,102,68,126,MO
15,6,69,55,118,MO
16,6,64,67,117,MO
17,6,98,78,126,MO
18,6,105,82,134,MO
19,6,95,69,129,MO
20,6,79,56,125,MO
21,6,80,58,117,MO
22,6,82,62,127,MO
23,6,82,78,132,MO
24,6,121,89,140,MO
25,6,108,76,142,MO
26,6,60,55,123,MO
27,6,100,79,123,MO
28,6,66,58,121,MO
29,6,81,69,130,MO
30,6,63,56,122,MO
1,7,132,102,146,MO
2,7,77,76,134,MO
3,7,66,59,125,MO
4,7,71,66,124,MO
5,7,60,48,112,MO
6,7,50,49,115,MO
7,7,68,61,122,MO
8,7,89,71,133,MO
9,7,58,55,134,MO
10,7,39,44,117,MO
11,7,43,51,126,MO
12,7,54,45,115,MO
13,7,48,35,110,MO
14,7,55,57,119,MO
15,7,73,75,128,MO
16,7,76,66,126,MO
17,7,61,48,115,MO
18,7,51,58,127,MO
19,7,70,56,125,MO
20,7,51,54,119,MO
21,7,80,55,131,MO
22,7,56,51,125,MO
23,7,73,63,134,MO
24,7,69,55,114,MO
25,7,61,48,119,MO
26,7,71,39,125,MO
27,7,58,42,123,MO
28,7,76,56,132,MO
29,7,106,73,140,MO
30,7,88,69,119,MO
31,7,51,45,122,MO
1,8,73,54,115,MO
