day,month,numChecklists,numContributors,numSpecies,state
1,1,43,27,121,MS
2,1,59,28,150,MS
3,1,40,21,138,MS
4,1,30,22,147,MS
5,1,48,12,116,MS
6,1,16,10,79,MS
7,1,10,11,117,MS
8,1,24,17,103,MS
9,1,37,21,123,MS
10,1,42,28,129,MS
11,1,26,14,115,MS
12,1,26,16,106,MS
13,1,24,18,106,MS
14,1,20,15,117,MS
15,1,26,18,96,MS
16,1,66,33,145,MS
17,1,63,23,141,MS
18,1,29,15,114,MS
19,1,23,9,104,MS
20,1,16,10,86,MS
21,1,10,10,119,MS
22,1,19,14,90,MS
23,1,65,31,140,MS
24,1,34,21,116,MS
25,1,14,9,78,MS
26,1,11,9,79,MS
27,1,9,8,64,MS
28,1,59,36,129,MS
29,1,30,21,105,MS
30,1,34,22,131,MS
31,1,29,20,113,MS
1,2,18,18,111,MS
2,2,17,15,75,MS
3,2,5,7,68,MS
4,2,14,13,105,MS
5,2,12,9,81,MS
6,2,88,45,144,MS
7,2,19,16,114,MS
8,2,12,9,77,MS
9,2,21,10,96,MS
10,2,22,18,118,MS
11,2,46,43,120,MS
12,2,155,113,137,MS
13,2,243,156,147,MS
14,2,168,132,155,MS
15,2,94,75,126,MS
16,2,19,15,91,MS
17,2,17,20,97,MS
18,2,18,15,120,MS
19,2,25,15,97,MS
20,2,39,29,120,MS
21,2,22,19,108,MS
22,2,15,7,62,MS
23,2,13,12,86,MS
24,2,23,20,100,MS
25,2,29,27,104,MS
26,2,26,18,108,MS
27,2,54,25,141,MS
28,2,23,17,115,MS
29,2,15,11,90,MS
1,3,15,14,81,MS
2,3,12,13,80,MS
3,3,18,17,115,MS
4,3,16,16,79,MS
5,3,40,29,142,MS
6,3,30,25,112,MS
7,3,18,16,93,MS
8,3,21,19,88,MS
9,3,7,9,62,MS
10,3,11,12,96,MS
11,3,15,13,78,MS
12,3,39,23,143,MS
13,3,23,20,112,MS
14,3,20,14,95,MS
15,3,22,11,104,MS
16,3,21,21,115,MS
17,3,17,17,127,MS
18,3,15,12,77,MS
19,3,35,18,129,MS
20,3,37,25,128,MS
21,3,19,16,84,MS
22,3,30,21,125,MS
23,3,36,21,111,MS
24,3,12,13,90,MS
25,3,51,32,165,MS
26,3,77,39,152,MS
27,3,29,26,114,MS
28,3,31,26,131,MS
29,3,39,29,141,MS
30,3,25,19,123,MS
31,3,22,16,115,MS
1,4,25,20,130,MS
2,4,48,32,149,MS
3,4,53,35,160,MS
4,4,27,24,106,MS
5,4,27,24,116,MS
6,4,19,14,131,MS
7,4,34,27,143,MS
8,4,19,18,129,MS
9,4,57,43,154,MS
10,4,41,28,150,MS
11,4,22,18,130,MS
12,4,72,44,156,MS
13,4,34,28,131,MS
14,4,68,45,143,MS
15,4,43,32,146,MS
16,4,72,36,196,MS
17,4,58,41,162,MS
18,4,25,22,131,MS
19,4,30,30,135,MS
20,4,38,27,166,MS
21,4,38,38,148,MS
22,4,28,28,148,MS
23,4,90,43,200,MS
24,4,49,36,187,MS
25,4,39,28,147,MS
26,4,51,42,131,MS
27,4,31,27,146,MS
28,4,64,44,158,MS
29,4,33,21,150,MS
30,4,69,47,177,MS
1,5,66,47,186,MS
2,5,27,22,140,MS
3,5,42,39,153,MS
4,5,34,30,171,MS
