day,month,numChecklists,numContributors,numSpecies,state
1,1,215,84,93,MT
2,1,176,73,85,MT
3,1,120,60,88,MT
4,1,115,58,90,MT
5,1,95,58,84,MT
6,1,84,53,82,MT
7,1,251,78,92,MT
8,1,127,67,81,MT
9,1,79,55,79,MT
10,1,76,48,82,MT
11,1,65,43,70,MT
12,1,61,46,69,MT
13,1,58,48,73,MT
14,1,131,66,88,MT
15,1,159,74,89,MT
16,1,102,52,71,MT
17,1,62,39,83,MT
18,1,52,43,69,MT
19,1,63,51,71,MT
20,1,90,60,83,MT
21,1,163,75,93,MT
22,1,120,58,93,MT
23,1,72,47,81,MT
24,1,62,48,70,MT
25,1,55,44,76,MT
26,1,73,54,67,MT
27,1,85,47,77,MT
28,1,110,63,89,MT
29,1,192,83,95,MT
30,1,62,44,68,MT
31,1,60,44,70,MT
1,2,52,41,74,MT
2,2,39,36,56,MT
3,2,87,43,78,MT
4,2,79,54,82,MT
5,2,97,54,82,MT
6,2,45,39,74,MT
7,2,40,40,64,MT
8,2,61,34,65,MT
9,2,48,32,50,MT
10,2,72,40,79,MT
11,2,92,62,89,MT
12,2,109,60,94,MT
13,2,57,45,75,MT
14,2,82,46,62,MT
15,2,51,40,58,MT
16,2,67,43,66,MT
17,2,222,126,89,MT
18,2,228,149,99,MT
19,2,231,133,94,MT
20,2,209,106,93,MT
21,2,29,27,55,MT
22,2,43,37,71,MT
23,2,48,37,61,MT
24,2,63,47,78,MT
25,2,78,44,79,MT
26,2,78,51,80,MT
27,2,48,29,70,MT
28,2,51,38,66,MT
1,3,23,26,58,MT
2,3,63,44,70,MT
3,3,85,50,87,MT
4,3,154,81,98,MT
5,3,83,58,88,MT
6,3,50,32,77,MT
7,3,38,38,75,MT
8,3,77,38,79,MT
9,3,50,38,76,MT
10,3,93,47,88,MT
11,3,158,70,101,MT
12,3,117,58,104,MT
13,3,74,47,90,MT
14,3,84,58,95,MT
15,3,81,59,87,MT
16,3,89,59,90,MT
17,3,128,63,99,MT
18,3,191,81,107,MT
19,3,165,82,113,MT
20,3,111,70,102,MT
21,3,85,55,98,MT
