day,month,numChecklists,numContributors,numSpecies,state
1,1,490,216,189,NC
2,1,316,184,158,NC
3,1,191,157,135,NC
4,1,271,172,173,NC
5,1,264,152,155,NC
6,1,238,157,172,NC
7,1,274,214,134,NC
8,1,231,172,143,NC
9,1,207,157,143,NC
10,1,140,126,147,NC
11,1,168,134,158,NC
12,1,178,138,164,NC
13,1,208,160,163,NC
14,1,259,172,168,NC
15,1,386,179,173,NC
16,1,303,163,170,NC
17,1,183,135,151,NC
18,1,198,132,138,NC
19,1,261,152,154,NC
20,1,115,109,151,NC
21,1,225,142,158,NC
22,1,207,135,151,NC
23,1,186,120,146,NC
24,1,266,146,152,NC
25,1,333,145,167,NC
26,1,280,135,163,NC
27,1,428,161,173,NC
28,1,565,226,178,NC
29,1,470,206,181,NC
30,1,192,117,139,NC
31,1,173,123,127,NC
1,2,182,135,150,NC
2,2,164,134,151,NC
3,2,213,158,160,NC
4,2,283,182,177,NC
5,2,313,185,177,NC
6,2,181,138,167,NC
7,2,167,129,152,NC
8,2,193,143,139,NC
9,2,116,101,129,NC
10,2,141,126,145,NC
11,2,275,197,166,NC
12,2,249,186,160,NC
13,2,137,111,147,NC
14,2,142,135,137,NC
15,2,122,103,125,NC
16,2,137,124,143,NC
17,2,966,742,170,NC
18,2,1282,951,183,NC
19,2,1224,936,196,NC
20,2,844,651,176,NC
21,2,164,131,150,NC
22,2,167,146,154,NC
23,2,173,141,150,NC
24,2,153,135,135,NC
25,2,209,181,163,NC
26,2,198,162,161,NC
27,2,139,132,140,NC
28,2,161,134,137,NC
1,3,130,110,132,NC
2,3,153,126,138,NC
3,3,210,136,160,NC
4,3,278,188,164,NC
5,3,286,191,161,NC
6,3,175,129,151,NC
7,3,158,131,146,NC
8,3,144,131,149,NC
9,3,164,122,161,NC
10,3,161,134,154,NC
11,3,196,161,164,NC
12,3,214,170,144,NC
13,3,125,110,136,NC
14,3,104,90,125,NC
15,3,104,106,132,NC
16,3,148,125,150,NC
17,3,176,141,158,NC
18,3,222,181,160,NC
19,3,214,170,161,NC
20,3,161,141,158,NC
21,3,172,145,170,NC
22,3,182,141,157,NC
23,3,137,113,152,NC
24,3,209,158,171,NC
25,3,280,220,173,NC
26,3,263,201,174,NC
27,3,187,146,173,NC
28,3,168,147,158,NC
29,3,215,159,167,NC
30,3,170,144,174,NC
31,3,143,133,178,NC
1,4,292,214,186,NC
2,4,305,218,194,NC
3,4,170,130,181,NC
4,4,204,165,184,NC
5,4,178,149,190,NC
6,4,106,102,159,NC
7,4,193,142,183,NC
8,4,318,216,200,NC
9,4,286,231,192,NC
10,4,223,174,181,NC
11,4,206,161,187,NC
12,4,243,189,194,NC
13,4,196,174,191,NC
14,4,273,201,201,NC
15,4,307,226,212,NC
16,4,256,187,201,NC
17,4,194,151,193,NC
18,4,193,141,191,NC
19,4,237,165,198,NC
20,4,227,174,195,NC
21,4,243,190,207,NC
22,4,266,204,212,NC
23,4,481,143,222,NC
24,4,146,105,189,NC
25,4,242,170,219,NC
26,4,280,211,213,NC
27,4,267,197,213,NC
28,4,330,231,218,NC
29,4,458,249,217,NC
30,4,387,243,207,NC
1,5,164,130,194,NC
2,5,235,161,202,NC
3,5,287,169,219,NC
4,5,198,146,196,NC
5,5,167,150,191,NC
6,5,422,204,211,NC
7,5,354,225,211,NC
8,5,217,157,210,NC
9,5,287,177,207,NC
10,5,282,212,213,NC
11,5,225,169,208,NC
12,5,191,153,204,NC
13,5,550,302,222,NC
14,5,398,231,225,NC
15,5,226,155,202,NC
16,5,189,163,213,NC
17,5,199,151,196,NC
18,5,160,127,191,NC
19,5,205,146,205,NC
20,5,351,193,227,NC
21,5,237,156,194,NC
22,5,230,152,202,NC
23,5,137,86,180,NC
24,5,164,123,191,NC
25,5,150,135,194,NC
26,5,275,175,206,NC
27,5,438,232,218,NC
