day,month,numChecklists,numContributors,numSpecies,state
1,1,78,23,61,ND
2,1,13,12,28,ND
3,1,15,9,31,ND
4,1,8,12,32,ND
5,1,31,11,39,ND
6,1,12,11,27,ND
7,1,39,15,39,ND
8,1,39,14,39,ND
9,1,9,10,23,ND
10,1,12,10,30,ND
11,1,19,17,30,ND
12,1,14,9,21,ND
13,1,35,19,28,ND
14,1,49,20,42,ND
15,1,21,13,44,ND
16,1,11,11,26,ND
17,1,22,19,33,ND
18,1,14,14,25,ND
19,1,15,12,23,ND
20,1,23,16,25,ND
21,1,45,19,41,ND
22,1,21,15,33,ND
23,1,19,16,29,ND
24,1,15,12,24,ND
25,1,17,12,30,ND
26,1,19,17,37,ND
27,1,20,21,32,ND
28,1,51,16,39,ND
29,1,26,16,39,ND
30,1,21,13,32,ND
31,1,10,9,28,ND
1,2,11,12,28,ND
2,2,6,11,26,ND
3,2,25,18,39,ND
4,2,47,19,47,ND
5,2,35,24,38,ND
6,2,9,12,18,ND
7,2,4,7,21,ND
8,2,12,14,30,ND
9,2,16,10,38,ND
10,2,19,21,37,ND
11,2,43,17,37,ND
12,2,32,19,42,ND
13,2,22,15,36,ND
14,2,17,8,34,ND
15,2,10,14,37,ND
16,2,16,16,32,ND
17,2,51,39,45,ND
18,2,71,40,44,ND
19,2,62,35,55,ND
20,2,36,25,40,ND
21,2,19,18,39,ND
22,2,11,13,32,ND
23,2,19,16,33,ND
24,2,22,20,44,ND
25,2,64,21,41,ND
26,2,37,18,44,ND
27,2,12,17,33,ND
28,2,19,12,37,ND
1,3,13,14,33,ND
2,3,23,19,32,ND
3,3,16,11,28,ND
4,3,45,19,53,ND
5,3,39,24,70,ND
6,3,25,19,43,ND
7,3,6,9,23,ND
8,3,41,15,50,ND
9,3,22,15,52,ND
10,3,20,16,38,ND
11,3,56,15,48,ND
12,3,25,14,41,ND
13,3,27,18,45,ND
14,3,9,11,35,ND
15,3,23,16,43,ND
16,3,10,14,35,ND
17,3,10,13,30,ND
18,3,93,23,72,ND
19,3,45,23,80,ND
20,3,54,30,61,ND
21,3,29,21,57,ND
22,3,16,15,58,ND
23,3,41,20,70,ND
24,3,41,23,74,ND
25,3,93,21,76,ND
26,3,67,30,84,ND
27,3,39,26,75,ND
28,3,66,29,69,ND
29,3,43,25,84,ND
30,3,42,29,80,ND
31,3,37,22,81,ND
1,4,84,23,86,ND
2,4,44,26,87,ND
3,4,40,22,81,ND
4,4,35,25,78,ND
5,4,35,23,71,ND
6,4,41,19,84,ND
7,4,37,22,86,ND
8,4,118,38,124,ND
9,4,61,26,113,ND
10,4,32,27,78,ND
11,4,52,34,96,ND
12,4,45,25,104,ND
13,4,42,27,109,ND
14,4,41,26,108,ND
15,4,74,31,122,ND
16,4,32,19,110,ND
17,4,33,23,85,ND
18,4,54,33,116,ND
19,4,37,20,111,ND
20,4,40,24,112,ND
21,4,46,26,129,ND
22,4,80,25,129,ND
23,4,67,24,139,ND
24,4,51,28,120,ND
25,4,67,31,114,ND
26,4,37,29,108,ND
27,4,62,27,117,ND
28,4,55,30,133,ND
29,4,83,32,147,ND
30,4,48,25,122,ND
1,5,27,20,112,ND
2,5,46,36,117,ND
3,5,29,19,116,ND
4,5,32,26,130,ND
5,5,39,32,123,ND
6,5,84,23,157,ND
7,5,70,29,157,ND
8,5,44,25,151,ND
9,5,70,36,167,ND
10,5,44,28,152,ND
11,5,44,33,145,ND
12,5,131,33,179,ND
13,5,164,43,195,ND
14,5,53,28,190,ND
15,5,54,27,170,ND
16,5,36,30,165,ND
17,5,25,18,146,ND
18,5,27,19,159,ND
19,5,52,27,183,ND
20,5,54,24,179,ND
21,5,65,26,167,ND
22,5,60,27,171,ND
23,5,47,29,175,ND
24,5,45,19,173,ND
25,5,30,20,158,ND
26,5,35,21,156,ND
27,5,72,34,197,ND
28,5,48,27,156,ND
29,5,49,29,174,ND
30,5,42,30,174,ND
31,5,30,22,151,ND
1,6,47,23,153,ND
2,6,32,19,164,ND
3,6,52,23,176,ND
4,6,52,25,172,ND
5,6,28,15,135,ND
6,6,27,13,134,ND
7,6,32,21,145,ND
8,6,84,30,165,ND
9,6,101,29,153,ND
10,6,175,43,148,ND
11,6,150,39,141,ND
12,6,37,24,133,ND
13,6,48,29,152,ND
14,6,48,25,142,ND
15,6,98,29,144,ND
16,6,139,35,156,ND
17,6,98,37,154,ND
18,6,40,27,159,ND
19,6,45,27,160,ND
20,6,42,33,140,ND
21,6,18,11,124,ND
22,6,23,16,118,ND
23,6,15,14,119,ND
24,6,36,17,148,ND
25,6,45,15,128,ND
26,6,22,11,131,ND
27,6,29,16,130,ND
28,6,20,10,120,ND
29,6,34,17,140,ND
30,6,29,17,128,ND
1,7,39,20,136,ND
2,7,25,12,103,ND
3,7,15,17,117,ND
4,7,61,12,139,ND
5,7,10,15,111,ND
6,7,18,19,132,ND
7,7,18,17,150,ND
8,7,34,23,150,ND
9,7,21,14,131,ND
10,7,36,20,132,ND
11,7,28,23,146,ND
12,7,44,24,150,ND
13,7,33,24,153,ND
14,7,30,20,155,ND
15,7,69,22,164,ND
16,7,37,22,152,ND
17,7,28,22,139,ND
18,7,22,18,130,ND
19,7,11,16,86,ND
20,7,16,19,87,ND
21,7,20,16,131,ND
22,7,26,15,131,ND
23,7,13,12,117,ND
24,7,17,15,116,ND
25,7,4,9,84,ND
26,7,9,11,113,ND
27,7,22,16,126,ND
28,7,24,14,131,ND
29,7,30,17,138,ND
30,7,26,10,127,ND
31,7,6,10,98,ND
1,8,14,12,117,ND
2,8,12,9,85,ND
3,8,9,11,98,ND
4,8,15,11,117,ND
5,8,29,14,127,ND
6,8,12,9,111,ND
7,8,5,9,95,ND
8,8,13,15,103,ND
9,8,26,9,104,ND
10,8,11,12,115,ND
11,8,10,12,104,ND
12,8,31,15,144,ND
13,8,11,12,119,ND
14,8,15,14,92,ND
15,8,9,10,104,ND
16,8,11,11,78,ND
17,8,14,14,94,ND
18,8,9,11,109,ND
19,8,24,18,148,ND
20,8,15,16,127,ND
21,8,11,10,92,ND
22,8,6,13,82,ND
23,8,8,12,82,ND
24,8,26,15,123,ND
25,8,23,13,127,ND
26,8,21,15,107,ND
27,8,27,16,143,ND
28,8,16,15,118,ND
29,8,23,17,96,ND
30,8,23,18,94,ND
31,8,12,12,92,ND
1,9,25,14,147,ND
2,9,70,27,159,ND
3,9,23,18,121,ND
4,9,29,19,141,ND
5,9,22,18,109,ND
6,9,20,19,121,ND
7,9,21,19,118,ND
8,9,22,15,127,ND
9,9,33,19,131,ND
10,9,28,18,114,ND
11,9,15,16,102,ND
12,9,13,13,83,ND
13,9,20,16,106,ND
14,9,17,16,122,ND
15,9,19,10,110,ND
16,9,38,18,126,ND
17,9,28,19,129,ND
18,9,13,14,81,ND
19,9,13,13,91,ND
20,9,14,13,95,ND
21,9,17,15,103,ND
22,9,12,11,94,ND
23,9,45,20,142,ND
24,9,57,20,138,ND
25,9,22,16,113,ND
26,9,26,17,123,ND
27,9,19,17,117,ND
28,9,20,16,108,ND
29,9,17,14,97,ND
30,9,71,21,112,ND
1,10,34,17,113,ND
2,10,38,23,125,ND
3,10,19,15,95,ND
4,10,18,15,88,ND
5,10,21,16,92,ND
6,10,24,18,107,ND
7,10,26,12,106,ND
8,10,37,20,113,ND
9,10,11,11,74,ND
10,10,19,12,81,ND
11,10,14,14,82,ND
12,10,15,12,69,ND
13,10,24,17,105,ND
14,10,33,16,99,ND
15,10,23,17,99,ND
16,10,12,13,68,ND
17,10,12,11,83,ND
18,10,29,18,96,ND
19,10,37,22,88,ND
20,10,30,18,101,ND
21,10,20,15,86,ND
22,10,20,15,83,ND
23,10,16,16,82,ND
24,10,19,15,84,ND
25,10,19,16,82,ND
26,10,6,9,46,ND
27,10,17,14,78,ND
28,10,49,15,95,ND
29,10,29,14,80,ND
30,10,8,10,46,ND
31,10,23,17,72,ND
1,11,18,12,74,ND
2,11,22,14,73,ND
3,11,15,14,75,ND
4,11,46,23,91,ND
5,11,43,18,91,ND
6,11,20,14,72,ND
7,11,14,14,48,ND
8,11,13,10,49,ND
9,11,11,11,42,ND
10,11,25,20,75,ND
11,11,41,17,83,ND
12,11,32,10,82,ND
13,11,19,16,59,ND
14,11,15,13,56,ND
15,11,18,13,53,ND
16,11,11,9,43,ND
17,11,14,9,51,ND
18,11,39,18,70,ND
19,11,34,13,60,ND
20,11,12,11,47,ND
21,11,9,11,30,ND
22,11,7,9,38,ND
23,11,22,12,55,ND
24,11,10,10,32,ND
25,11,33,15,63,ND
26,11,35,12,59,ND
27,11,13,13,49,ND
28,11,10,11,32,ND
29,11,9,10,37,ND
30,11,27,12,50,ND
1,12,33,15,56,ND
2,12,39,14,48,ND
3,12,27,10,51,ND
4,12,5,9,25,ND
5,12,10,10,37,ND
6,12,24,12,41,ND
7,12,13,11,33,ND
8,12,11,13,45,ND
9,12,22,13,42,ND
10,12,26,12,42,ND
11,12,4,9,19,ND
12,12,6,9,28,ND
13,12,3,4,24,ND
14,12,22,11,43,ND
15,12,39,20,54,ND
16,12,89,27,62,ND
17,12,39,20,66,ND
18,12,9,8,29,ND
19,12,10,6,25,ND
20,12,6,9,30,ND
21,12,9,4,25,ND
22,12,9,5,45,ND
23,12,25,13,44,ND
24,12,8,9,28,ND
25,12,8,8,20,ND
26,12,8,10,35,ND
27,12,13,7,33,ND
28,12,11,14,40,ND
29,12,16,13,46,ND
30,12,37,13,43,ND
31,12,39,13,53,ND
