day,month,numChecklists,numContributors,numSpecies,state
1,1,55,27,92,NE
2,1,45,26,79,NE
3,1,64,26,69,NE
4,1,18,15,60,NE
5,1,19,14,56,NE
6,1,30,14,70,NE
7,1,7,7,31,NE
8,1,14,13,47,NE
9,1,27,14,59,NE
10,1,27,19,68,NE
11,1,16,12,50,NE
12,1,10,8,42,NE
13,1,24,15,64,NE
14,1,24,14,60,NE
15,1,15,13,45,NE
16,1,33,22,62,NE
17,1,12,14,39,NE
18,1,19,14,56,NE
19,1,9,10,26,NE
20,1,15,12,55,NE
21,1,9,7,34,NE
22,1,20,11,40,NE
23,1,17,12,47,NE
24,1,20,12,57,NE
25,1,4,5,21,NE
26,1,8,12,41,NE
27,1,10,12,56,NE
28,1,25,10,73,NE
29,1,16,17,44,NE
30,1,29,23,64,NE
31,1,26,18,61,NE
1,2,16,10,60,NE
2,2,9,8,27,NE
3,2,6,8,31,NE
4,2,6,8,53,NE
5,2,12,11,49,NE
6,2,24,16,59,NE
7,2,13,9,42,NE
8,2,3,6,12,NE
9,2,9,11,40,NE
10,2,17,14,56,NE
11,2,14,16,42,NE
12,2,150,115,77,NE
13,2,173,144,83,NE
14,2,152,119,78,NE
15,2,149,90,88,NE
16,2,20,22,58,NE
17,2,19,16,66,NE
18,2,24,19,75,NE
19,2,21,18,58,NE
20,2,52,28,82,NE
21,2,30,19,77,NE
22,2,26,15,65,NE
23,2,40,30,73,NE
24,2,36,17,68,NE
25,2,22,9,59,NE
26,2,33,20,70,NE
27,2,67,26,77,NE
28,2,29,16,58,NE
29,2,14,14,63,NE
1,3,23,19,70,NE
2,3,13,13,50,NE
3,3,15,11,58,NE
4,3,25,14,67,NE
5,3,48,23,98,NE
6,3,43,22,78,NE
7,3,28,24,77,NE
8,3,41,31,77,NE
9,3,31,21,80,NE
10,3,34,17,81,NE
11,3,51,26,83,NE
12,3,87,43,98,NE
13,3,55,34,95,NE
14,3,51,27,95,NE
15,3,50,34,98,NE
16,3,38,23,87,NE
17,3,47,26,93,NE
18,3,65,37,93,NE
19,3,63,38,91,NE
20,3,77,36,108,NE
21,3,45,21,85,NE
22,3,72,33,105,NE
23,3,31,23,76,NE
24,3,32,23,88,NE
25,3,45,27,93,NE
26,3,34,24,80,NE
27,3,50,25,105,NE
28,3,52,30,102,NE
29,3,35,34,95,NE
30,3,46,27,97,NE
31,3,34,26,91,NE
1,4,47,25,104,NE
2,4,61,35,116,NE
3,4,50,34,100,NE
4,4,73,37,103,NE
5,4,54,23,106,NE
6,4,52,17,93,NE
7,4,49,27,91,NE
8,4,81,28,109,NE
9,4,51,29,108,NE
10,4,34,31,113,NE
11,4,23,15,95,NE
12,4,31,17,101,NE
13,4,37,22,113,NE
14,4,31,27,109,NE
15,4,22,19,91,NE
16,4,57,32,130,NE
17,4,28,27,109,NE
18,4,18,18,95,NE
19,4,38,30,116,NE
20,4,14,17,90,NE
21,4,26,22,107,NE
22,4,49,27,128,NE
23,4,64,34,146,NE
24,4,58,37,149,NE
25,4,37,31,131,NE
26,4,41,37,138,NE
27,4,17,18,84,NE
28,4,32,26,129,NE
29,4,44,29,162,NE
30,4,38,28,136,NE
1,5,59,40,156,NE
2,5,33,28,142,NE
3,5,41,32,163,NE
4,5,43,29,153,NE
5,5,43,27,155,NE
6,5,42,21,145,NE
7,5,41,35,165,NE
8,5,47,38,175,NE
9,5,32,29,146,NE
10,5,48,29,151,NE
11,5,64,44,183,NE
12,5,59,36,177,NE
13,5,52,33,171,NE
14,5,152,69,225,NE
15,5,69,47,203,NE
16,5,23,24,137,NE
17,5,44,31,187,NE
18,5,42,29,187,NE
19,5,61,25,168,NE
20,5,84,28,167,NE
21,5,101,36,203,NE
22,5,66,31,187,NE
23,5,38,21,160,NE
24,5,41,20,177,NE
25,5,45,24,144,NE
26,5,49,26,170,NE
27,5,26,15,145,NE
28,5,42,30,146,NE
29,5,43,29,173,NE
30,5,48,31,157,NE
31,5,33,25,154,NE
1,6,82,20,136,NE
2,6,19,16,125,NE
3,6,22,16,113,NE
4,6,35,18,129,NE
5,6,79,17,125,NE
6,6,77,14,91,NE
7,6,75,14,107,NE
8,6,61,12,91,NE
9,6,21,14,112,NE
10,6,62,14,95,NE
11,6,77,20,111,NE
12,6,19,15,92,NE
13,6,14,17,107,NE
14,6,27,13,105,NE
15,6,92,17,103,NE
16,6,18,12,73,NE
17,6,11,13,89,NE
18,6,22,20,103,NE
19,6,22,13,77,NE
20,6,25,15,96,NE
21,6,74,20,92,NE
22,6,11,11,81,NE
23,6,73,22,93,NE
24,6,26,18,92,NE
25,6,27,17,112,NE
26,6,16,15,91,NE
27,6,16,10,76,NE
28,6,8,8,77,NE
29,6,24,22,103,NE
30,6,31,12,117,NE
1,7,68,24,124,NE
2,7,31,16,112,NE
3,7,57,20,99,NE
4,7,41,24,103,NE
5,7,27,20,93,NE
6,7,66,13,100,NE
7,7,66,14,101,NE
8,7,22,10,87,NE
9,7,30,15,96,NE
10,7,16,12,98,NE
11,7,5,6,58,NE
12,7,21,17,98,NE
13,7,15,15,105,NE
14,7,25,17,109,NE
15,7,26,20,102,NE
16,7,22,15,107,NE
17,7,42,19,107,NE
18,7,16,14,79,NE
19,7,17,17,86,NE
20,7,8,9,63,NE
21,7,6,7,51,NE
22,7,13,11,75,NE
23,7,24,14,101,NE
24,7,35,18,111,NE
