day,month,numChecklists,numContributors,numSpecies,state
1,1,179,99,89,NH
2,1,126,74,85,NH
3,1,41,43,70,NH
4,1,90,58,77,NH
5,1,73,48,71,NH
6,1,70,60,80,NH
7,1,118,79,88,NH
8,1,90,55,92,NH
9,1,43,49,67,NH
10,1,61,51,84,NH
11,1,60,52,74,NH
12,1,46,43,74,NH
13,1,58,47,58,NH
14,1,97,72,89,NH
15,1,78,59,88,NH
16,1,108,62,87,NH
17,1,87,43,78,NH
18,1,32,29,57,NH
19,1,46,40,63,NH
20,1,61,52,68,NH
21,1,60,49,83,NH
22,1,54,48,88,NH
23,1,34,35,68,NH
24,1,28,37,46,NH
25,1,32,33,67,NH
26,1,45,40,63,NH
27,1,59,38,64,NH
28,1,167,78,98,NH
29,1,57,55,86,NH
30,1,38,33,68,NH
31,1,40,34,73,NH
1,2,46,39,64,NH
2,2,34,33,67,NH
3,2,44,45,64,NH
4,2,67,46,76,NH
5,2,89,52,86,NH
6,2,34,36,58,NH
7,2,32,27,42,NH
8,2,40,33,69,NH
9,2,43,40,54,NH
10,2,28,21,57,NH
11,2,68,60,68,NH
12,2,67,54,72,NH
13,2,30,38,52,NH
14,2,28,31,62,NH
15,2,42,36,61,NH
16,2,25,31,47,NH
17,2,177,159,76,NH
18,2,250,197,91,NH
19,2,213,193,82,NH
20,2,195,159,94,NH
21,2,49,51,65,NH
22,2,39,45,72,NH
23,2,75,62,73,NH
24,2,51,56,79,NH
25,2,131,79,92,NH
26,2,76,54,74,NH
27,2,61,48,70,NH
28,2,69,58,73,NH
1,3,59,60,78,NH
2,3,36,40,66,NH
3,3,90,79,64,NH
4,3,67,59,61,NH
5,3,107,99,83,NH
6,3,82,58,81,NH
7,3,50,48,65,NH
8,3,64,54,81,NH
9,3,48,43,65,NH
10,3,63,59,85,NH
11,3,49,50,57,NH
12,3,66,59,69,NH
13,3,60,50,78,NH
14,3,38,37,43,NH
15,3,32,31,61,NH
16,3,42,46,69,NH
17,3,75,48,77,NH
18,3,80,71,86,NH
19,3,67,67,86,NH
20,3,56,55,76,NH
21,3,51,50,83,NH
22,3,31,38,67,NH
23,3,47,47,74,NH
24,3,41,50,72,NH
25,3,98,64,94,NH
26,3,106,69,99,NH
27,3,30,37,62,NH
28,3,90,66,90,NH
29,3,77,58,85,NH
30,3,68,63,87,NH
31,3,66,54,82,NH
1,4,28,39,54,NH
2,4,85,80,103,NH
3,4,102,71,107,NH
4,4,42,57,83,NH
5,4,100,78,103,NH
6,4,60,52,93,NH
7,4,95,71,104,NH
8,4,123,83,113,NH
9,4,154,99,122,NH
10,4,120,95,112,NH
11,4,121,98,107,NH
12,4,91,76,117,NH
13,4,76,74,103,NH
14,4,83,72,118,NH
15,4,166,95,121,NH
16,4,140,93,122,NH
17,4,96,66,119,NH
18,4,94,79,112,NH
19,4,87,66,108,NH
20,4,72,54,104,NH
21,4,49,44,78,NH
22,4,107,77,126,NH
23,4,125,103,109,NH
24,4,117,84,117,NH
25,4,62,43,100,NH
26,4,53,52,96,NH
27,4,75,70,103,NH
28,4,77,69,133,NH
29,4,114,97,137,NH
30,4,139,96,163,NH
1,5,65,67,139,NH
2,5,79,78,142,NH
3,5,119,98,146,NH
4,5,108,102,158,NH
5,5,66,63,133,NH
6,5,125,87,145,NH
7,5,150,114,162,NH
8,5,89,86,139,NH
9,5,82,79,143,NH
10,5,93,76,148,NH
11,5,106,101,150,NH
12,5,107,108,160,NH
13,5,226,128,184,NH
14,5,40,57,120,NH
15,5,60,66,139,NH
16,5,144,92,179,NH
17,5,115,99,181,NH
18,5,92,88,176,NH
19,5,112,87,180,NH
20,5,144,117,198,NH
21,5,107,107,176,NH
22,5,65,51,147,NH
23,5,111,88,173,NH
24,5,92,85,168,NH
25,5,71,55,143,NH
26,5,37,47,123,NH
27,5,121,106,180,NH
28,5,137,94,180,NH
29,5,74,67,152,NH
30,5,76,60,157,NH
31,5,78,71,157,NH
1,6,97,80,173,NH
2,6,89,73,145,NH
3,6,93,96,163,NH
4,6,120,101,174,NH
5,6,61,48,143,NH
6,6,43,32,115,NH
7,6,69,67,145,NH
8,6,74,66,141,NH
9,6,61,54,134,NH
10,6,136,88,164,NH
11,6,95,99,136,NH
12,6,93,88,155,NH
13,6,76,70,134,NH
14,6,106,86,135,NH
15,6,84,77,146,NH
16,6,42,50,119,NH
17,6,92,91,158,NH
18,6,82,73,140,NH
19,6,62,58,130,NH
20,6,59,48,135,NH
21,6,56,52,122,NH
22,6,130,68,150,NH
23,6,72,55,147,NH
24,6,94,72,140,NH
25,6,96,84,153,NH
26,6,56,54,131,NH
27,6,61,57,137,NH
28,6,77,58,139,NH
29,6,63,65,139,NH
30,6,54,55,131,NH
1,7,74,62,139,NH
2,7,87,78,151,NH
3,7,102,74,145,NH
4,7,100,77,150,NH
5,7,81,67,146,NH
6,7,58,61,130,NH
7,7,41,49,125,NH
8,7,105,62,132,NH
9,7,121,67,161,NH
10,7,69,64,139,NH
11,7,45,51,128,NH
12,7,77,56,137,NH
13,7,22,27,102,NH
14,7,50,52,140,NH
15,7,50,67,155,NH
16,7,71,59,133,NH
17,7,47,45,132,NH
18,7,32,38,125,NH
19,7,41,44,141,NH
20,7,44,43,132,NH
21,7,42,47,130,NH
22,7,88,70,152,NH
23,7,89,83,152,NH
24,7,41,34,103,NH
25,7,67,50,137,NH
26,7,87,53,147,NH
27,7,67,51,129,NH
28,7,74,65,136,NH
29,7,50,54,151,NH
30,7,65,71,151,NH
31,7,65,53,137,NH
1,8,54,54,132,NH
2,8,54,46,142,NH
3,8,52,46,129,NH
4,8,56,58,152,NH
5,8,47,47,149,NH
6,8,67,71,146,NH
7,8,53,55,151,NH
8,8,59,58,145,NH
9,8,62,57,140,NH
10,8,67,64,139,NH
11,8,61,65,148,NH
12,8,74,55,162,NH
13,8,69,69,149,NH
14,8,80,72,157,NH
15,8,56,60,129,NH
16,8,56,54,128,NH
17,8,90,73,148,NH
18,8,52,43,117,NH
19,8,69,70,146,NH
20,8,65,67,145,NH
21,8,82,60,146,NH
22,8,47,54,125,NH
23,8,70,61,147,NH
24,8,35,38,123,NH
25,8,54,58,138,NH
26,8,89,69,146,NH
27,8,122,89,160,NH
28,8,91,75,148,NH
29,8,74,50,139,NH
30,8,59,60,141,NH
31,8,105,95,131,NH
1,9,69,68,144,NH
2,9,142,107,164,NH
3,9,45,52,135,NH
4,9,120,97,157,NH
5,9,94,62,135,NH
6,9,37,44,117,NH
7,9,56,48,127,NH
8,9,59,59,143,NH
9,9,88,67,163,NH
10,9,103,81,152,NH
11,9,55,56,125,NH
12,9,57,54,137,NH
13,9,63,56,133,NH
14,9,53,54,133,NH
15,9,56,43,134,NH
16,9,88,67,147,NH
17,9,98,65,159,NH
18,9,46,42,121,NH
19,9,40,45,113,NH
20,9,38,32,110,NH
21,9,45,43,122,NH
22,9,52,45,125,NH
23,9,67,58,137,NH
24,9,59,59,136,NH
25,9,37,43,115,NH
26,9,32,34,100,NH
27,9,50,46,129,NH
28,9,30,40,95,NH
29,9,50,55,117,NH
30,9,43,48,120,NH
1,10,75,81,151,NH
2,10,53,49,111,NH
3,10,74,56,136,NH
4,10,63,55,113,NH
5,10,70,57,127,NH
6,10,66,55,142,NH
7,10,116,75,149,NH
8,10,107,59,139,NH
9,10,45,31,84,NH
10,10,102,82,103,NH
11,10,46,45,113,NH
12,10,68,58,112,NH
13,10,59,53,103,NH
14,10,83,71,125,NH
15,10,69,47,105,NH
16,10,40,41,105,NH
17,10,52,46,105,NH
18,10,58,53,109,NH
19,10,42,43,103,NH
20,10,43,45,90,NH
21,10,98,80,125,NH
22,10,77,62,120,NH
23,10,54,47,102,NH
24,10,42,44,105,NH
25,10,49,45,104,NH
26,10,35,33,64,NH
27,10,53,52,103,NH
28,10,101,65,133,NH
29,10,30,33,103,NH
30,10,39,34,77,NH
31,10,41,36,90,NH
1,11,52,49,96,NH
2,11,53,39,90,NH
3,11,81,52,101,NH
4,11,87,62,113,NH
5,11,95,57,119,NH
6,11,37,34,95,NH
7,11,49,42,93,NH
8,11,43,38,84,NH
9,11,46,38,76,NH
10,11,44,39,71,NH
11,11,43,45,94,NH
12,11,70,53,107,NH
13,11,25,31,67,NH
14,11,45,44,82,NH
15,11,61,45,90,NH
16,11,37,24,64,NH
17,11,43,32,68,NH
18,11,88,47,103,NH
19,11,59,42,77,NH
20,11,49,34,68,NH
21,11,52,37,93,NH
22,11,40,33,73,NH
23,11,44,51,81,NH
24,11,74,72,102,NH
25,11,78,68,104,NH
26,11,51,51,84,NH
27,11,50,39,68,NH
28,11,44,47,88,NH
29,11,48,35,77,NH
30,11,39,42,82,NH
1,12,52,39,82,NH
2,12,76,59,100,NH
3,12,106,62,98,NH
4,12,61,44,90,NH
5,12,34,29,67,NH
6,12,49,37,79,NH
7,12,34,38,74,NH
8,12,34,37,77,NH
9,12,60,50,76,NH
10,12,34,48,82,NH
11,12,46,39,73,NH
12,12,32,42,59,NH
13,12,46,44,65,NH
14,12,37,35,61,NH
15,12,32,39,64,NH
16,12,89,69,121,NH
17,12,206,54,82,NH
18,12,32,36,75,NH
19,12,36,37,83,NH
20,12,28,24,60,NH
21,12,20,29,65,NH
22,12,22,31,51,NH
23,12,20,31,48,NH
24,12,33,43,72,NH
25,12,27,39,56,NH
26,12,56,43,77,NH
27,12,31,41,66,NH
28,12,26,31,44,NH
29,12,51,46,68,NH
30,12,65,62,84,NH
31,12,51,53,70,NH
