day,month,numChecklists,numContributors,numSpecies,state
1,1,743,296,167,NJ
2,1,459,259,167,NJ
3,1,423,232,175,NJ
4,1,188,127,145,NJ
5,1,156,115,137,NJ
6,1,166,125,142,NJ
7,1,182,122,147,NJ
8,1,207,157,146,NJ
9,1,441,222,164,NJ
10,1,253,150,145,NJ
11,1,154,107,130,NJ
12,1,138,102,130,NJ
13,1,117,102,126,NJ
14,1,178,128,146,NJ
15,1,195,134,153,NJ
16,1,325,183,155,NJ
17,1,334,192,163,NJ
18,1,138,106,140,NJ
19,1,111,84,131,NJ
20,1,169,117,137,NJ
21,1,163,121,139,NJ
22,1,166,130,139,NJ
23,1,110,103,112,NJ
24,1,169,127,131,NJ
25,1,130,107,150,NJ
26,1,142,112,131,NJ
27,1,133,104,130,NJ
28,1,128,100,140,NJ
29,1,144,108,133,NJ
30,1,264,159,152,NJ
31,1,311,196,151,NJ
1,2,181,114,143,NJ
2,2,186,129,137,NJ
3,2,65,59,113,NJ
4,2,137,105,136,NJ
5,2,121,95,131,NJ
6,2,671,196,155,NJ
7,2,322,182,156,NJ
8,2,123,99,133,NJ
9,2,95,82,125,NJ
10,2,130,87,131,NJ
11,2,71,75,108,NJ
12,2,660,512,147,NJ
13,2,944,737,137,NJ
14,2,950,744,149,NJ
15,2,792,631,134,NJ
16,2,97,75,115,NJ
17,2,146,109,122,NJ
18,2,134,106,128,NJ
19,2,158,112,144,NJ
20,2,473,220,154,NJ
21,2,373,219,151,NJ
22,2,230,138,138,NJ
23,2,113,91,112,NJ
24,2,61,45,113,NJ
25,2,127,103,126,NJ
26,2,134,92,124,NJ
27,2,304,188,149,NJ
28,2,336,216,145,NJ
29,2,146,96,138,NJ
1,3,199,126,138,NJ
2,3,102,82,119,NJ
3,3,140,103,132,NJ
4,3,138,105,121,NJ
5,3,309,180,141,NJ
6,3,291,185,148,NJ
7,3,146,115,133,NJ
8,3,192,147,137,NJ
9,3,220,173,149,NJ
10,3,166,147,147,NJ
11,3,184,155,145,NJ
12,3,403,237,160,NJ
13,3,310,191,155,NJ
14,3,95,80,120,NJ
15,3,210,123,142,NJ
16,3,213,130,147,NJ
17,3,183,125,139,NJ
18,3,154,133,142,NJ
19,3,285,183,154,NJ
20,3,238,151,140,NJ
21,3,112,107,133,NJ
22,3,171,118,147,NJ
23,3,188,152,146,NJ
24,3,193,154,147,NJ
25,3,201,152,147,NJ
26,3,333,227,161,NJ
27,3,243,174,147,NJ
28,3,121,93,138,NJ
29,3,155,108,135,NJ
30,3,207,148,157,NJ
31,3,184,149,152,NJ
1,4,155,141,145,NJ
2,4,267,183,150,NJ
3,4,194,130,152,NJ
4,4,120,114,136,NJ
5,4,135,105,145,NJ
6,4,212,151,153,NJ
7,4,155,132,152,NJ
8,4,198,160,153,NJ
9,4,186,130,158,NJ
10,4,335,218,165,NJ
11,4,173,138,161,NJ
12,4,167,135,150,NJ
13,4,259,184,163,NJ
14,4,235,173,156,NJ
15,4,236,183,175,NJ
16,4,370,259,180,NJ
17,4,309,241,184,NJ
18,4,179,161,169,NJ
19,4,226,185,174,NJ
20,4,184,160,168,NJ
21,4,226,181,180,NJ
22,4,238,204,185,NJ
23,4,418,279,201,NJ
24,4,396,266,196,NJ
25,4,268,208,197,NJ
26,4,286,224,210,NJ
27,4,296,240,210,NJ
28,4,227,187,196,NJ
29,4,249,191,202,NJ
30,4,537,302,221,NJ
1,5,262,183,203,NJ
2,5,345,244,221,NJ
3,5,252,182,217,NJ
4,5,248,199,211,NJ
5,5,324,225,206,NJ
6,5,188,162,203,NJ
7,5,602,335,231,NJ
8,5,549,363,228,NJ
9,5,481,305,224,NJ
10,5,467,278,235,NJ
11,5,544,311,242,NJ
12,5,506,285,236,NJ
13,5,519,268,236,NJ
14,5,1611,463,251,NJ
15,5,313,246,218,NJ
16,5,299,216,218,NJ
17,5,268,208,221,NJ
18,5,308,213,215,NJ
19,5,328,236,219,NJ
20,5,447,285,217,NJ
21,5,396,266,223,NJ
22,5,387,283,219,NJ
23,5,209,169,193,NJ
24,5,204,145,194,NJ
25,5,282,202,201,NJ
26,5,214,165,201,NJ
27,5,187,160,206,NJ
28,5,244,193,203,NJ
29,5,193,145,186,NJ
30,5,121,110,163,NJ
31,5,117,112,176,NJ
1,6,143,114,171,NJ
2,6,131,104,167,NJ
3,6,91,75,163,NJ
4,6,207,145,191,NJ
5,6,105,88,164,NJ
6,6,127,108,172,NJ
7,6,156,105,174,NJ
8,6,133,110,165,NJ
9,6,123,99,160,NJ
10,6,126,101,157,NJ
11,6,183,153,175,NJ
12,6,144,122,165,NJ
13,6,145,137,164,NJ
14,6,112,92,164,NJ
15,6,124,103,159,NJ
16,6,77,74,149,NJ
17,6,110,104,149,NJ
18,6,144,133,174,NJ
19,6,184,120,164,NJ
20,6,79,81,144,NJ
21,6,86,77,133,NJ
22,6,91,77,148,NJ
23,6,94,83,148,NJ
24,6,127,123,172,NJ
25,6,177,135,170,NJ
26,6,144,123,157,NJ
27,6,87,93,149,NJ
28,6,83,90,148,NJ
29,6,88,92,145,NJ
30,6,102,94,163,NJ
1,7,123,104,163,NJ
2,7,150,132,165,NJ
3,7,190,127,171,NJ
4,7,164,109,169,NJ
5,7,96,86,148,NJ
