day,month,numChecklists,numContributors,numSpecies,state
1,1,171,79,155,NM
2,1,114,68,164,NM
3,1,154,74,163,NM
4,1,59,40,137,NM
5,1,40,43,114,NM
6,1,37,31,115,NM
7,1,68,49,131,NM
8,1,54,41,133,NM
9,1,84,68,142,NM
10,1,120,70,154,NM
11,1,54,33,119,NM
12,1,40,40,138,NM
13,1,73,56,141,NM
14,1,100,54,119,NM
15,1,96,54,145,NM
16,1,180,64,153,NM
17,1,176,79,147,NM
18,1,131,63,147,NM
19,1,50,36,120,NM
20,1,53,38,124,NM
21,1,26,31,97,NM
22,1,66,45,130,NM
23,1,116,70,159,NM
24,1,100,68,142,NM
25,1,74,41,132,NM
26,1,42,27,129,NM
27,1,54,35,120,NM
28,1,53,44,137,NM
29,1,49,38,118,NM
30,1,116,58,145,NM
31,1,84,61,142,NM
1,2,36,27,92,NM
2,2,34,33,105,NM
3,2,36,31,123,NM
4,2,39,41,134,NM
5,2,50,36,124,NM
6,2,111,67,146,NM
7,2,138,60,154,NM
8,2,29,23,101,NM
9,2,31,32,123,NM
10,2,39,33,106,NM
11,2,45,41,119,NM
12,2,210,169,153,NM
13,2,290,214,162,NM
14,2,285,222,170,NM
15,2,197,155,154,NM
16,2,72,48,145,NM
17,2,85,55,145,NM
18,2,54,45,122,NM
19,2,72,50,140,NM
20,2,135,71,160,NM
21,2,133,73,173,NM
22,2,65,48,131,NM
23,2,51,40,116,NM
24,2,60,43,130,NM
25,2,58,45,128,NM
26,2,83,57,136,NM
27,2,154,71,160,NM
28,2,119,81,154,NM
29,2,46,40,133,NM
1,3,57,45,148,NM
2,3,55,39,113,NM
3,3,60,51,139,NM
4,3,69,47,153,NM
5,3,73,58,165,NM
6,3,109,69,159,NM
7,3,35,36,122,NM
8,3,57,48,129,NM
9,3,49,41,127,NM
10,3,60,48,136,NM
11,3,57,40,145,NM
12,3,81,51,137,NM
13,3,116,78,169,NM
14,3,63,48,151,NM
15,3,46,39,122,NM
16,3,55,46,132,NM
17,3,62,45,137,NM
18,3,97,63,157,NM
19,3,132,75,167,NM
20,3,111,66,182,NM
21,3,49,43,141,NM
22,3,28,30,125,NM
23,3,30,35,106,NM
24,3,52,47,157,NM
25,3,49,44,157,NM
26,3,94,66,162,NM
27,3,95,76,177,NM
28,3,47,48,142,NM
29,3,65,39,150,NM
30,3,69,58,166,NM
31,3,66,52,172,NM
1,4,66,55,160,NM
2,4,112,82,177,NM
3,4,116,85,175,NM
4,4,66,58,171,NM
5,4,54,41,162,NM
6,4,63,51,156,NM
7,4,101,62,167,NM
8,4,63,62,166,NM
9,4,151,96,188,NM
10,4,134,77,192,NM
11,4,88,59,188,NM
12,4,81,59,178,NM
13,4,78,58,188,NM
14,4,87,64,185,NM
15,4,95,70,202,NM
16,4,144,93,213,NM
17,4,168,78,224,NM
