day,month,numChecklists,numContributors,numSpecies,state
1,1,68,35,126,NV
2,1,74,46,146,NV
3,1,50,37,136,NV
4,1,36,27,112,NV
5,1,9,12,84,NV
6,1,23,20,97,NV
7,1,13,20,94,NV
8,1,48,31,130,NV
9,1,34,27,119,NV
10,1,34,25,115,NV
11,1,18,16,84,NV
12,1,15,13,106,NV
13,1,15,20,102,NV
14,1,12,15,99,NV
15,1,17,16,114,NV
16,1,36,30,126,NV
17,1,43,32,138,NV
18,1,24,23,108,NV
19,1,11,16,101,NV
20,1,27,23,115,NV
21,1,19,18,112,NV
22,1,23,21,109,NV
23,1,40,30,124,NV
24,1,46,28,131,NV
25,1,22,20,111,NV
26,1,12,12,84,NV
27,1,31,20,122,NV
28,1,25,24,121,NV
29,1,20,18,125,NV
30,1,29,23,118,NV
31,1,18,19,101,NV
1,2,23,18,110,NV
2,2,25,14,103,NV
3,2,25,24,108,NV
4,2,21,14,119,NV
5,2,25,22,128,NV
6,2,31,24,109,NV
7,2,22,22,128,NV
8,2,22,19,116,NV
9,2,14,16,104,NV
10,2,24,20,113,NV
11,2,11,15,68,NV
12,2,90,78,131,NV
13,2,104,94,145,NV
14,2,136,102,141,NV
15,2,83,77,124,NV
16,2,20,17,107,NV
17,2,24,22,119,NV
18,2,15,17,92,NV
19,2,20,18,98,NV
20,2,27,24,114,NV
21,2,23,27,115,NV
22,2,18,16,105,NV
23,2,7,10,72,NV
24,2,18,18,117,NV
25,2,9,11,68,NV
26,2,21,16,102,NV
27,2,21,16,87,NV
28,2,19,21,113,NV
29,2,18,16,102,NV
1,3,15,20,95,NV
2,3,25,28,130,NV
3,3,19,18,104,NV
4,3,13,20,108,NV
5,3,33,25,127,NV
6,3,24,18,97,NV
7,3,8,13,92,NV
8,3,20,19,102,NV
9,3,20,20,123,NV
10,3,17,21,111,NV
11,3,20,17,102,NV
12,3,29,24,110,NV
13,3,20,20,106,NV
14,3,20,18,103,NV
15,3,27,27,130,NV
16,3,21,23,111,NV
17,3,24,27,117,NV
18,3,35,28,142,NV
19,3,46,40,132,NV
20,3,18,19,105,NV
21,3,8,11,60,NV
22,3,16,15,97,NV
23,3,26,23,126,NV
24,3,27,21,120,NV
25,3,32,23,129,NV
26,3,44,36,131,NV
27,3,32,26,149,NV
28,3,13,14,85,NV
29,3,25,20,135,NV
30,3,29,28,145,NV
31,3,25,22,128,NV
1,4,26,27,113,NV
2,4,33,26,126,NV
3,4,47,21,130,NV
4,4,29,18,142,NV
5,4,25,22,139,NV
6,4,28,28,139,NV
