day,month,numChecklists,numContributors,numSpecies,state
1,1,1708,614,179,NY
2,1,1124,489,165,NY
3,1,481,300,131,NY
4,1,715,353,157,NY
5,1,612,364,155,NY
6,1,527,348,154,NY
7,1,925,418,150,NY
8,1,645,434,154,NY
9,1,466,335,145,NY
10,1,448,311,145,NY
11,1,606,386,154,NY
12,1,467,316,149,NY
13,1,473,308,146,NY
14,1,1452,513,168,NY
15,1,1163,481,162,NY
16,1,1278,452,158,NY
17,1,372,249,139,NY
18,1,386,261,145,NY
19,1,508,324,151,NY
20,1,674,332,139,NY
21,1,1160,478,161,NY
22,1,1018,440,155,NY
23,1,358,276,120,NY
24,1,280,232,124,NY
25,1,549,328,152,NY
26,1,444,263,138,NY
27,1,432,296,140,NY
28,1,977,453,154,NY
29,1,908,463,160,NY
30,1,451,289,136,NY
31,1,361,267,120,NY
1,2,463,300,142,NY
2,2,451,307,140,NY
3,2,421,295,148,NY
4,2,868,425,154,NY
5,2,738,380,157,NY
6,2,412,324,137,NY
7,2,331,217,124,NY
8,2,541,328,142,NY
9,2,278,219,99,NY
10,2,334,251,131,NY
11,2,796,422,163,NY
12,2,424,299,141,NY
13,2,282,234,121,NY
14,2,443,299,148,NY
15,2,405,304,143,NY
16,2,376,263,138,NY
17,2,1459,1127,148,NY
18,2,2275,1482,169,NY
19,2,2071,1426,167,NY
20,2,1619,1112,155,NY
21,2,454,325,150,NY
22,2,582,388,150,NY
23,2,677,408,145,NY
24,2,792,467,149,NY
25,2,1013,501,161,NY
26,2,953,466,157,NY
27,2,637,376,148,NY
28,2,630,386,148,NY
1,3,548,317,141,NY
2,3,358,260,125,NY
3,3,454,293,137,NY
4,3,659,358,156,NY
5,3,857,432,156,NY
6,3,469,338,140,NY
7,3,358,251,130,NY
8,3,534,331,139,NY
9,3,451,344,137,NY
10,3,411,267,135,NY
11,3,556,364,150,NY
12,3,584,364,145,NY
13,3,423,275,146,NY
14,3,334,288,92,NY
15,3,345,322,120,NY
16,3,440,333,129,NY
17,3,486,351,143,NY
18,3,682,402,149,NY
19,3,746,443,152,NY
20,3,463,329,144,NY
21,3,493,339,149,NY
22,3,360,271,135,NY
23,3,499,313,141,NY
24,3,523,361,148,NY
25,3,936,512,157,NY
26,3,984,484,158,NY
27,3,575,384,157,NY
28,3,618,378,151,NY
29,3,790,459,160,NY
30,3,677,425,163,NY
31,3,324,233,125,NY
1,4,977,461,164,NY
2,4,1156,616,176,NY
3,4,772,500,170,NY
4,4,500,346,159,NY
5,4,790,509,167,NY
6,4,421,301,148,NY
7,4,559,373,170,NY
8,4,995,580,185,NY
9,4,1388,685,184,NY
10,4,797,497,180,NY
11,4,905,564,185,NY
12,4,769,470,184,NY
13,4,764,489,182,NY
14,4,879,547,187,NY
15,4,975,578,193,NY
16,4,909,583,191,NY
17,4,696,493,189,NY
18,4,739,494,193,NY
19,4,540,387,183,NY
20,4,610,447,194,NY
21,4,639,398,185,NY
22,4,1221,551,209,NY
23,4,1246,644,213,NY
24,4,691,455,207,NY
25,4,458,321,195,NY
26,4,708,466,214,NY
27,4,821,535,220,NY
28,4,1003,596,232,NY
29,4,1256,718,250,NY
30,4,1204,702,240,NY
1,5,913,627,228,NY
2,5,834,567,232,NY
3,5,880,599,229,NY
4,5,902,598,233,NY
5,5,534,358,210,NY
6,5,1179,680,252,NY
7,5,1127,662,245,NY
8,5,744,516,237,NY
9,5,878,552,229,NY
10,5,985,639,234,NY
11,5,995,603,239,NY
12,5,1043,598,247,NY
13,5,1687,638,243,NY
14,5,1042,628,247,NY
15,5,731,490,231,NY
16,5,1034,684,238,NY
17,5,1069,689,242,NY
18,5,831,556,243,NY
19,5,802,497,237,NY
20,5,1845,669,256,NY
21,5,1012,599,249,NY
22,5,551,357,233,NY
23,5,830,530,241,NY
24,5,685,482,235,NY
25,5,329,236,208,NY
26,5,575,407,237,NY
27,5,983,587,248,NY
28,5,936,587,242,NY
29,5,506,357,229,NY
30,5,476,338,227,NY
31,5,508,347,232,NY
1,6,578,385,221,NY
2,6,515,343,227,NY
3,6,978,482,241,NY
4,6,898,435,248,NY
5,6,381,255,219,NY
6,6,320,223,218,NY
7,6,589,353,218,NY
8,6,577,346,228,NY
9,6,436,317,213,NY
10,6,766,451,233,NY
