day,month,numChecklists,numContributors,numSpecies,state
1,1,801,334,137,OH
2,1,720,297,135,OH
3,1,478,256,126,OH
4,1,326,190,123,OH
5,1,287,207,129,OH
6,1,268,174,126,OH
7,1,329,202,122,OH
8,1,189,143,114,OH
9,1,540,241,134,OH
10,1,174,124,106,OH
11,1,229,159,118,OH
12,1,146,120,97,OH
13,1,201,148,110,OH
14,1,249,167,127,OH
15,1,283,163,117,OH
16,1,429,213,131,OH
17,1,275,191,122,OH
18,1,217,152,114,OH
19,1,162,115,120,OH
20,1,183,130,113,OH
21,1,237,139,114,OH
22,1,230,150,112,OH
23,1,358,195,122,OH
24,1,340,182,119,OH
25,1,170,117,109,OH
26,1,138,101,94,OH
27,1,170,119,98,OH
28,1,174,123,107,OH
29,1,186,134,110,OH
30,1,366,206,121,OH
31,1,306,191,119,OH
1,2,184,126,108,OH
2,2,214,153,111,OH
3,2,250,158,111,OH
4,2,152,107,103,OH
5,2,221,148,112,OH
6,2,431,219,118,OH
7,2,378,240,121,OH
8,2,141,95,100,OH
9,2,134,114,103,OH
10,2,106,99,97,OH
11,2,154,124,104,OH
12,2,1004,763,117,OH
13,2,1289,1027,119,OH
14,2,1327,1054,123,OH
15,2,960,758,121,OH
16,2,143,114,102,OH
17,2,145,114,110,OH
18,2,171,125,110,OH
19,2,225,132,114,OH
20,2,442,243,123,OH
21,2,320,214,117,OH
22,2,212,135,107,OH
23,2,185,144,101,OH
24,2,85,84,97,OH
25,2,97,85,87,OH
26,2,232,123,108,OH
27,2,339,192,116,OH
28,2,340,210,114,OH
29,2,179,120,106,OH
1,3,169,115,102,OH
2,3,134,114,100,OH
3,3,165,111,118,OH
4,3,232,137,113,OH
5,3,289,176,115,OH
6,3,379,223,121,OH
7,3,259,179,117,OH
8,3,311,205,119,OH
9,3,283,181,124,OH
10,3,124,98,107,OH
11,3,363,190,128,OH
12,3,483,277,134,OH
13,3,184,135,121,OH
14,3,289,178,130,OH
15,3,243,165,120,OH
16,3,203,137,119,OH
17,3,230,156,123,OH
18,3,272,179,121,OH
19,3,331,188,121,OH
20,3,305,193,131,OH
21,3,248,141,122,OH
22,3,234,142,122,OH
23,3,224,156,130,OH
24,3,181,151,123,OH
25,3,284,180,131,OH
26,3,432,249,140,OH
27,3,365,252,138,OH
28,3,159,123,113,OH
29,3,258,191,125,OH
30,3,295,199,134,OH
31,3,169,126,119,OH
1,4,359,213,140,OH
2,4,349,190,132,OH
3,4,315,207,133,OH
4,4,179,139,120,OH
5,4,295,192,138,OH
6,4,242,186,134,OH
7,4,198,140,122,OH
8,4,288,186,140,OH
9,4,274,182,135,OH
10,4,420,250,133,OH
11,4,219,146,143,OH
12,4,386,227,148,OH
13,4,316,219,156,OH
14,4,397,236,157,OH
15,4,446,283,168,OH
16,4,543,318,185,OH
17,4,587,336,176,OH
18,4,342,217,167,OH
19,4,317,212,176,OH
20,4,339,255,178,OH
21,4,260,180,180,OH
22,4,357,257,187,OH
23,4,665,355,201,OH
24,4,507,339,197,OH
25,4,451,279,203,OH
26,4,379,275,205,OH
27,4,417,280,203,OH
28,4,352,242,199,OH
29,4,461,314,203,OH
30,4,541,348,220,OH
1,5,651,424,222,OH
2,5,734,371,221,OH
3,5,645,382,223,OH
4,5,557,364,214,OH
5,5,646,372,215,OH
6,5,995,480,223,OH
7,5,1173,542,225,OH
8,5,1070,555,223,OH
9,5,991,463,222,OH
10,5,989,488,227,OH
11,5,1173,567,236,OH
12,5,1089,560,232,OH
13,5,1265,580,227,OH
14,5,1163,567,225,OH
15,5,907,481,219,OH
16,5,675,380,213,OH
17,5,573,326,216,OH
18,5,529,311,200,OH
19,5,460,290,208,OH
20,5,460,265,199,OH
21,5,484,292,214,OH
22,5,496,294,214,OH
23,5,280,212,192,OH
24,5,316,216,197,OH
25,5,357,230,186,OH
26,5,298,176,183,OH
27,5,261,173,174,OH
28,5,348,200,177,OH
29,5,262,193,172,OH
30,5,294,203,172,OH
31,5,212,143,157,OH
1,6,224,139,153,OH
