day,month,numChecklists,numContributors,numSpecies,state
1,1,183,75,153,OK
2,1,81,47,128,OK
3,1,51,35,134,OK
4,1,65,40,129,OK
5,1,54,41,108,OK
6,1,56,47,122,OK
7,1,86,54,119,OK
8,1,71,50,118,OK
9,1,40,32,101,OK
10,1,38,33,120,OK
11,1,54,44,114,OK
12,1,52,34,131,OK
13,1,41,38,121,OK
14,1,43,39,107,OK
15,1,57,36,103,OK
16,1,76,43,113,OK
17,1,40,27,127,OK
18,1,78,57,116,OK
19,1,42,29,99,OK
20,1,52,40,101,OK
21,1,96,59,126,OK
22,1,45,35,102,OK
23,1,43,32,118,OK
24,1,32,25,90,OK
25,1,47,23,120,OK
26,1,31,22,98,OK
27,1,50,33,115,OK
28,1,62,47,119,OK
29,1,76,49,111,OK
30,1,44,30,110,OK
31,1,59,44,128,OK
1,2,27,25,109,OK
2,2,39,28,84,OK
3,2,49,31,109,OK
4,2,89,63,116,OK
5,2,71,46,116,OK
6,2,21,21,83,OK
7,2,57,57,115,OK
8,2,30,24,111,OK
9,2,28,24,97,OK
10,2,69,40,113,OK
11,2,67,54,118,OK
12,2,63,43,115,OK
13,2,52,34,123,OK
14,2,38,28,92,OK
15,2,43,37,130,OK
16,2,50,37,111,OK
17,2,203,158,130,OK
18,2,260,194,130,OK
19,2,213,176,131,OK
20,2,164,130,120,OK
21,2,53,39,128,OK
22,2,60,48,124,OK
23,2,40,41,113,OK
24,2,51,32,128,OK
25,2,66,47,119,OK
26,2,56,56,102,OK
27,2,33,26,90,OK
28,2,30,32,92,OK
1,3,29,29,106,OK
2,3,38,33,100,OK
3,3,47,38,113,OK
4,3,61,38,112,OK
5,3,47,34,113,OK
6,3,26,25,76,OK
7,3,34,33,118,OK
8,3,21,26,86,OK
9,3,30,36,93,OK
10,3,43,34,106,OK
11,3,78,42,127,OK
12,3,92,45,141,OK
13,3,32,29,112,OK
14,3,37,38,123,OK
15,3,46,44,122,OK
16,3,41,35,115,OK
17,3,53,36,146,OK
18,3,70,50,143,OK
19,3,58,43,123,OK
20,3,34,33,82,OK
21,3,57,46,140,OK
22,3,46,45,138,OK
23,3,50,39,129,OK
24,3,58,42,137,OK
25,3,106,64,142,OK
26,3,95,69,149,OK
27,3,55,50,143,OK
28,3,53,47,139,OK
29,3,54,38,121,OK
30,3,43,33,113,OK
31,3,74,48,146,OK
1,4,111,68,148,OK
2,4,99,58,151,OK
3,4,70,48,128,OK
4,4,53,52,132,OK
5,4,49,42,120,OK
6,4,64,60,143,OK
7,4,69,53,153,OK
8,4,93,68,146,OK
9,4,65,59,141,OK
10,4,56,44,135,OK
11,4,45,43,136,OK
12,4,64,45,136,OK
13,4,49,48,126,OK
14,4,69,54,170,OK
15,4,86,71,177,OK
16,4,99,65,186,OK
17,4,74,56,151,OK
18,4,107,66,168,OK
19,4,115,72,154,OK
20,4,98,67,171,OK
21,4,65,53,166,OK
22,4,154,95,184,OK
23,4,136,81,186,OK
24,4,108,44,181,OK
25,4,100,63,199,OK
26,4,74,50,170,OK
27,4,81,48,175,OK
28,4,94,76,186,OK
29,4,58,50,166,OK
30,4,145,71,188,OK
1,5,111,73,180,OK
2,5,119,84,205,OK
3,5,104,81,208,OK
4,5,93,64,191,OK
5,5,115,67,213,OK
6,5,129,88,224,OK
7,5,123,73,211,OK
8,5,85,56,199,OK
9,5,84,59,180,OK
10,5,65,51,140,OK
11,5,70,46,170,OK
12,5,92,60,196,OK
13,5,174,83,217,OK
14,5,71,52,186,OK
15,5,42,38,176,OK
16,5,43,33,145,OK
17,5,54,42,156,OK
18,5,45,33,159,OK
19,5,66,34,160,OK
20,5,106,52,191,OK
21,5,76,56,184,OK
22,5,46,39,173,OK
23,5,54,41,164,OK
24,5,43,35,171,OK
25,5,42,33,149,OK
26,5,87,49,169,OK
27,5,49,37,153,OK
28,5,56,47,153,OK
29,5,56,41,157,OK
30,5,29,33,137,OK
31,5,51,30,134,OK
1,6,56,44,153,OK
2,6,57,32,107,OK
3,6,73,41,130,OK
4,6,41,37,116,OK
5,6,34,35,103,OK
6,6,57,33,134,OK
7,6,43,39,117,OK
8,6,37,32,127,OK
9,6,39,29,92,OK
10,6,107,42,137,OK
11,6,34,34,101,OK
12,6,27,25,109,OK
13,6,28,23,107,OK
14,6,30,25,119,OK
15,6,19,23,94,OK
16,6,47,22,107,OK
17,6,25,32,93,OK
18,6,58,47,135,OK
19,6,27,28,119,OK
20,6,29,27,92,OK
21,6,34,26,104,OK
22,6,24,24,109,OK
23,6,34,32,110,OK
24,6,55,35,142,OK
25,6,37,34,105,OK
26,6,28,25,126,OK
27,6,30,26,113,OK
28,6,33,25,118,OK
29,6,20,21,98,OK
30,6,44,29,114,OK
1,7,49,35,134,OK
2,7,43,32,134,OK
3,7,81,23,86,OK
4,7,30,21,132,OK
5,7,22,24,80,OK
6,7,23,18,85,OK
7,7,18,17,99,OK
8,7,30,27,101,OK
9,7,24,27,80,OK
10,7,25,24,87,OK
11,7,32,20,126,OK
12,7,18,25,91,OK
13,7,24,20,99,OK
14,7,25,31,97,OK
15,7,91,35,116,OK
16,7,57,29,108,OK
17,7,19,21,95,OK
18,7,20,21,105,OK
19,7,31,23,81,OK
20,7,23,20,80,OK
21,7,36,19,102,OK
22,7,37,29,96,OK
23,7,42,26,85,OK
24,7,45,30,113,OK
25,7,35,31,124,OK
26,7,34,22,122,OK
27,7,22,20,95,OK
28,7,25,23,109,OK
29,7,31,24,112,OK
30,7,37,26,135,OK
31,7,18,13,95,OK
1,8,23,22,101,OK
2,8,23,22,80,OK
3,8,17,16,77,OK
4,8,48,29,122,OK
5,8,47,32,116,OK
6,8,51,21,122,OK
7,8,33,24,105,OK
8,8,31,23,118,OK
9,8,28,20,79,OK
10,8,23,16,80,OK
11,8,40,21,109,OK
12,8,40,20,108,OK
13,8,69,29,118,OK
14,8,28,21,103,OK
15,8,36,28,100,OK
16,8,26,22,98,OK
17,8,28,23,106,OK
18,8,39,27,103,OK
19,8,69,34,131,OK
20,8,38,28,103,OK
21,8,45,17,71,OK
22,8,49,48,84,OK
23,8,58,51,117,OK
24,8,34,30,119,OK
25,8,69,55,99,OK
26,8,48,32,114,OK
27,8,46,27,110,OK
28,8,29,24,91,OK
29,8,60,42,115,OK
30,8,46,44,109,OK
31,8,22,21,77,OK
1,9,33,32,115,OK
2,9,40,26,122,OK
3,9,38,24,138,OK
4,9,43,26,112,OK
5,9,37,21,120,OK
6,9,20,19,93,OK
7,9,30,25,105,OK
8,9,51,26,123,OK
9,9,77,42,157,OK
10,9,62,31,135,OK
11,9,74,26,147,OK
12,9,67,39,116,OK
13,9,54,40,128,OK
14,9,23,14,77,OK
15,9,12,15,55,OK
16,9,40,34,116,OK
17,9,49,28,151,OK
18,9,54,35,134,OK
19,9,14,23,114,OK
20,9,25,24,89,OK
21,9,31,25,101,OK
22,9,52,34,134,OK
23,9,52,42,147,OK
24,9,41,32,129,OK
25,9,27,25,92,OK
26,9,25,18,105,OK
27,9,32,26,107,OK
28,9,72,49,156,OK
29,9,102,50,174,OK
30,9,106,53,168,OK
1,10,73,40,149,OK
2,10,33,32,111,OK
3,10,32,27,120,OK
4,10,17,15,84,OK
5,10,24,17,91,OK
6,10,53,40,137,OK
7,10,79,46,184,OK
8,10,48,37,134,OK
9,10,35,26,82,OK
10,10,26,31,97,OK
11,10,33,25,94,OK
12,10,35,23,99,OK
13,10,42,32,88,OK
14,10,68,34,123,OK
15,10,48,35,115,OK
16,10,33,27,118,OK
17,10,30,24,92,OK
18,10,40,30,103,OK
19,10,34,27,103,OK
20,10,38,26,95,OK
21,10,32,31,108,OK
22,10,68,34,128,OK
23,10,31,27,95,OK
24,10,25,20,78,OK
25,10,16,18,83,OK
26,10,25,23,73,OK
27,10,23,17,72,OK
28,10,54,32,126,OK
29,10,35,29,107,OK
30,10,38,27,97,OK
31,10,40,28,90,OK
1,11,38,23,108,OK
2,11,43,24,102,OK
3,11,54,38,133,OK
4,11,60,35,130,OK
5,11,62,36,112,OK
6,11,47,32,115,OK
7,11,41,24,106,OK
8,11,62,30,115,OK
9,11,69,34,125,OK
10,11,51,35,119,OK
11,11,106,50,140,OK
12,11,77,50,141,OK
13,11,42,33,112,OK
14,11,37,30,109,OK
15,11,37,34,111,OK
16,11,46,31,105,OK
17,11,21,24,88,OK
18,11,38,33,105,OK
19,11,71,57,130,OK
20,11,36,25,99,OK
21,11,39,29,97,OK
22,11,46,35,119,OK
23,11,42,34,116,OK
24,11,59,40,116,OK
25,11,59,35,114,OK
26,11,67,41,139,OK
27,11,26,21,97,OK
28,11,41,28,126,OK
29,11,37,26,107,OK
30,11,34,26,101,OK
1,12,56,34,119,OK
2,12,60,38,121,OK
3,12,51,35,119,OK
4,12,21,22,83,OK
5,12,35,25,116,OK
6,12,20,20,103,OK
7,12,30,22,78,OK
8,12,41,31,109,OK
9,12,76,30,126,OK
10,12,76,42,117,OK
11,12,31,32,104,OK
12,12,36,29,111,OK
13,12,39,24,114,OK
14,12,27,25,94,OK
15,12,39,29,112,OK
16,12,46,40,125,OK
17,12,43,32,115,OK
18,12,29,20,95,OK
19,12,34,31,113,OK
20,12,37,26,127,OK
21,12,46,29,101,OK
22,12,19,21,76,OK
23,12,56,40,105,OK
24,12,28,28,85,OK
25,12,37,30,75,OK
26,12,72,31,115,OK
27,12,50,39,126,OK
28,12,95,36,115,OK
29,12,32,28,114,OK
30,12,52,33,119,OK
31,12,112,38,140,OK
