day,month,numChecklists,numContributors,numSpecies,state
1,1,586,211,183,OR
2,1,468,179,174,OR
3,1,304,153,151,OR
4,1,238,161,154,OR
5,1,304,204,152,OR
6,1,336,180,175,OR
7,1,306,184,152,OR
8,1,214,151,145,OR
9,1,240,132,136,OR
10,1,230,152,138,OR
11,1,240,154,149,OR
12,1,218,147,151,OR
13,1,261,134,162,OR
14,1,414,188,180,OR
15,1,387,194,180,OR
16,1,441,174,178,OR
17,1,220,115,155,OR
18,1,155,93,129,OR
19,1,300,173,156,OR
20,1,276,144,163,OR
21,1,324,149,180,OR
22,1,445,177,170,OR
23,1,310,158,170,OR
24,1,326,179,174,OR
25,1,314,156,166,OR
26,1,454,179,174,OR
27,1,364,168,174,OR
28,1,450,180,188,OR
29,1,390,185,180,OR
30,1,206,115,160,OR
31,1,276,152,157,OR
1,2,204,114,168,OR
2,2,200,107,153,OR
3,2,198,103,154,OR
4,2,310,151,181,OR
5,2,201,113,150,OR
6,2,180,92,149,OR
7,2,178,94,161,OR
8,2,172,88,145,OR
9,2,135,82,131,OR
10,2,228,115,158,OR
11,2,429,186,183,OR
12,2,420,174,185,OR
13,2,250,109,178,OR
14,2,215,113,170,OR
15,2,170,77,139,OR
16,2,142,94,135,OR
17,2,633,409,180,OR
18,2,826,480,187,OR
19,2,683,410,185,OR
20,2,438,297,164,OR
21,2,165,95,130,OR
22,2,231,137,158,OR
23,2,205,121,151,OR
24,2,217,117,146,OR
25,2,447,207,195,OR
26,2,289,154,164,OR
27,2,163,100,144,OR
28,2,261,112,154,OR
1,3,268,154,170,OR
2,3,284,126,185,OR
3,3,239,130,164,OR
4,3,409,181,179,OR
5,3,308,161,179,OR
6,3,188,110,152,OR
7,3,190,105,143,OR
8,3,215,117,149,OR
9,3,215,96,149,OR
10,3,412,189,184,OR
11,3,374,189,198,OR
12,3,676,226,185,OR
13,3,200,111,158,OR
14,3,246,111,166,OR
15,3,229,115,165,OR
16,3,350,171,183,OR
17,3,213,119,174,OR
18,3,320,160,188,OR
19,3,620,200,198,OR
20,3,258,110,182,OR
21,3,288,140,178,OR
22,3,283,138,170,OR
23,3,321,149,190,OR
24,3,210,126,181,OR
25,3,594,203,216,OR
26,3,239,126,189,OR
