day,month,numChecklists,numContributors,numSpecies,state
1,1,1149,458,138,PA
2,1,681,344,127,PA
3,1,290,229,99,PA
4,1,543,288,123,PA
5,1,449,288,119,PA
6,1,399,283,116,PA
7,1,742,394,129,PA
8,1,483,319,121,PA
9,1,384,251,115,PA
10,1,290,231,105,PA
11,1,371,246,113,PA
12,1,331,237,108,PA
13,1,357,244,113,PA
14,1,707,352,127,PA
15,1,596,345,129,PA
16,1,450,266,122,PA
17,1,270,189,105,PA
18,1,324,216,111,PA
19,1,396,260,121,PA
20,1,304,207,107,PA
21,1,721,322,125,PA
22,1,552,293,124,PA
23,1,182,141,88,PA
24,1,315,216,103,PA
25,1,509,262,118,PA
26,1,277,200,104,PA
27,1,336,226,111,PA
28,1,675,297,121,PA
29,1,603,301,126,PA
30,1,289,184,97,PA
31,1,298,195,105,PA
1,2,379,233,115,PA
2,2,394,231,114,PA
3,2,554,277,115,PA
4,2,762,382,126,PA
5,2,689,387,126,PA
6,2,432,263,114,PA
7,2,294,214,109,PA
8,2,434,292,122,PA
9,2,309,229,102,PA
10,2,339,232,110,PA
11,2,812,406,132,PA
12,2,426,261,118,PA
13,2,239,151,103,PA
14,2,353,228,112,PA
15,2,325,210,112,PA
16,2,271,194,112,PA
17,2,1589,1166,128,PA
18,2,2205,1488,140,PA
19,2,1990,1390,136,PA
20,2,1433,1078,130,PA
21,2,475,286,127,PA
22,2,464,292,114,PA
23,2,434,296,116,PA
24,2,593,339,125,PA
25,2,644,371,128,PA
26,2,653,359,128,PA
27,2,378,263,117,PA
28,2,470,280,126,PA
1,3,330,238,121,PA
2,3,309,221,113,PA
3,3,323,228,122,PA
4,3,511,337,124,PA
5,3,594,356,128,PA
6,3,346,247,111,PA
7,3,354,235,119,PA
8,3,481,290,121,PA
9,3,384,271,121,PA
10,3,391,257,118,PA
11,3,586,324,127,PA
12,3,552,321,126,PA
13,3,425,260,122,PA
14,3,459,333,109,PA
15,3,319,285,111,PA
16,3,387,287,121,PA
17,3,473,312,130,PA
18,3,545,315,130,PA
19,3,634,347,139,PA
20,3,421,269,124,PA
21,3,468,298,125,PA
22,3,396,247,127,PA
23,3,437,279,130,PA
24,3,551,318,134,PA
25,3,865,445,142,PA
26,3,762,369,138,PA
27,3,507,302,129,PA
28,3,476,286,136,PA
29,3,590,359,141,PA
30,3,484,298,133,PA
31,3,442,225,131,PA
1,4,879,420,147,PA
2,4,854,474,152,PA
3,4,522,338,144,PA
4,4,510,327,146,PA
5,4,620,383,146,PA
6,4,379,238,135,PA
7,4,454,286,142,PA
8,4,785,428,144,PA
9,4,794,489,161,PA
10,4,575,387,158,PA
11,4,580,388,147,PA
12,4,560,366,154,PA
13,4,495,337,149,PA
14,4,711,439,164,PA
15,4,814,480,170,PA
16,4,649,430,164,PA
17,4,562,368,157,PA
18,4,578,395,162,PA
19,4,486,327,163,PA
20,4,554,349,170,PA
21,4,672,399,180,PA
22,4,718,436,191,PA
23,4,877,520,191,PA
24,4,448,317,171,PA
25,4,358,247,169,PA
26,4,534,362,183,PA
27,4,618,439,188,PA
28,4,754,487,203,PA
29,4,1042,550,215,PA
30,4,903,541,213,PA
1,5,628,428,205,PA
2,5,587,393,200,PA
3,5,651,415,195,PA
4,5,622,414,199,PA
5,5,535,314,215,PA
6,5,939,475,211,PA
7,5,685,441,207,PA
8,5,557,385,190,PA
9,5,587,401,190,PA
10,5,670,446,201,PA
11,5,494,348,193,PA
12,5,635,390,202,PA
13,5,2131,581,226,PA
14,5,725,509,200,PA
15,5,527,373,188,PA
16,5,617,447,202,PA
17,5,547,412,199,PA
18,5,483,344,197,PA
19,5,561,344,206,PA
20,5,781,433,204,PA
21,5,728,396,207,PA
22,5,420,262,198,PA
23,5,497,319,198,PA
24,5,419,300,185,PA
25,5,303,198,192,PA
26,5,482,330,194,PA
27,5,802,413,196,PA
28,5,601,352,185,PA
29,5,567,285,189,PA
30,5,395,214,183,PA
31,5,501,260,181,PA
1,6,477,287,177,PA
2,6,341,253,178,PA
3,6,592,348,176,PA
4,6,555,331,175,PA
5,6,285,218,166,PA
6,6,390,205,166,PA
7,6,360,227,166,PA
8,6,449,259,171,PA
9,6,369,256,157,PA
10,6,652,305,167,PA
11,6,608,267,161,PA
12,6,395,186,155,PA
13,6,452,205,157,PA
14,6,257,180,153,PA
15,6,293,214,153,PA
16,6,278,204,155,PA
17,6,360,248,159,PA
18,6,332,247,159,PA
19,6,245,175,142,PA
20,6,285,214,152,PA
21,6,248,186,153,PA
22,6,288,215,150,PA
23,6,202,156,152,PA
24,6,417,241,165,PA
25,6,414,261,161,PA
26,6,393,211,155,PA
27,6,346,217,154,PA
28,6,282,223,156,PA
29,6,264,212,152,PA
30,6,255,186,140,PA
1,7,330,242,151,PA
2,7,405,268,158,PA
3,7,332,241,152,PA
4,7,374,270,164,PA
5,7,276,208,157,PA
6,7,228,157,142,PA
7,7,188,142,147,PA
8,7,333,219,166,PA
9,7,338,252,157,PA
10,7,255,188,150,PA
11,7,267,173,153,PA
12,7,209,168,142,PA
13,7,204,150,145,PA
14,7,167,139,131,PA
15,7,301,233,153,PA
16,7,380,249,158,PA
17,7,214,166,152,PA
18,7,249,191,149,PA
19,7,245,177,147,PA
20,7,232,188,156,PA
21,7,250,184,154,PA
22,7,321,218,160,PA
23,7,400,260,166,PA
24,7,223,162,153,PA
25,7,293,221,165,PA
26,7,284,200,154,PA
27,7,284,183,161,PA
28,7,219,170,162,PA
29,7,356,226,163,PA
30,7,379,282,173,PA
31,7,241,174,157,PA
1,8,265,191,153,PA
2,8,232,187,152,PA
3,8,242,193,155,PA
4,8,208,166,140,PA
5,8,338,220,154,PA
6,8,387,284,170,PA
7,8,225,137,134,PA
8,8,328,209,157,PA
9,8,273,192,158,PA
10,8,312,226,155,PA
11,8,313,238,162,PA
12,8,452,301,174,PA
13,8,442,304,172,PA
14,8,302,208,157,PA
15,8,241,183,152,PA
16,8,268,177,171,PA
17,8,251,201,154,PA
18,8,214,158,152,PA
19,8,323,250,176,PA
20,8,323,237,171,PA
21,8,283,190,152,PA
22,8,201,163,153,PA
23,8,308,196,168,PA
24,8,316,236,174,PA
25,8,338,252,171,PA
26,8,520,316,198,PA
27,8,498,346,183,PA
28,8,332,245,181,PA
29,8,261,190,175,PA
30,8,339,258,184,PA
31,8,328,226,186,PA
1,9,409,270,178,PA
2,9,381,252,178,PA
3,9,388,281,183,PA
4,9,537,377,194,PA
5,9,297,216,168,PA
6,9,277,187,178,PA
7,9,306,238,173,PA
8,9,341,261,175,PA
9,9,535,331,180,PA
10,9,458,311,182,PA
11,9,325,267,168,PA
12,9,346,277,162,PA
13,9,332,243,173,PA
14,9,272,212,165,PA
15,9,333,257,175,PA
16,9,532,337,185,PA
17,9,500,332,186,PA
18,9,278,215,163,PA
19,9,348,222,174,PA
20,9,324,248,169,PA
21,9,283,226,163,PA
22,9,273,223,161,PA
23,9,388,277,176,PA
24,9,360,277,171,PA
25,9,239,188,154,PA
26,9,228,197,160,PA
27,9,275,201,164,PA
28,9,313,233,166,PA
29,9,319,267,168,PA
30,9,432,333,175,PA
1,10,533,372,184,PA
2,10,294,211,167,PA
3,10,318,225,163,PA
4,10,324,234,163,PA
5,10,255,215,160,PA
6,10,358,238,162,PA
7,10,405,318,169,PA
8,10,395,282,168,PA
9,10,252,188,160,PA
10,10,338,251,164,PA
11,10,266,196,149,PA
12,10,256,206,150,PA
13,10,298,222,161,PA
14,10,388,275,160,PA
15,10,417,299,166,PA
16,10,268,214,150,PA
17,10,313,244,143,PA
18,10,271,235,149,PA
19,10,274,208,140,PA
20,10,257,216,136,PA
21,10,319,234,135,PA
22,10,382,277,144,PA
23,10,202,159,124,PA
24,10,227,170,127,PA
25,10,235,187,130,PA
26,10,232,189,139,PA
27,10,267,196,134,PA
28,10,314,238,131,PA
29,10,215,141,132,PA
30,10,244,174,134,PA
31,10,206,184,135,PA
1,11,261,188,133,PA
2,11,321,212,136,PA
3,11,304,201,136,PA
4,11,429,281,152,PA
5,11,397,239,143,PA
6,11,252,189,135,PA
7,11,261,170,122,PA
8,11,262,200,121,PA
9,11,273,195,139,PA
10,11,288,200,125,PA
11,11,370,240,141,PA
12,11,404,260,138,PA
13,11,228,142,130,PA
14,11,276,180,129,PA
15,11,253,191,131,PA
16,11,223,156,122,PA
17,11,263,183,136,PA
18,11,288,188,134,PA
19,11,377,202,135,PA
20,11,262,169,129,PA
21,11,267,198,132,PA
22,11,269,183,125,PA
23,11,378,254,138,PA
24,11,457,281,136,PA
25,11,394,251,133,PA
26,11,401,258,140,PA
27,11,235,184,135,PA
28,11,254,184,122,PA
29,11,232,192,130,PA
30,11,251,188,127,PA
1,12,269,193,128,PA
2,12,428,256,138,PA
3,12,450,259,132,PA
4,12,237,154,116,PA
5,12,197,139,111,PA
6,12,219,151,115,PA
7,12,195,146,118,PA
8,12,241,163,119,PA
9,12,339,206,112,PA
10,12,330,225,134,PA
11,12,244,178,128,PA
12,12,239,165,113,PA
13,12,201,148,109,PA
14,12,258,194,122,PA
15,12,259,194,118,PA
16,12,1225,367,137,PA
17,12,692,263,137,PA
18,12,206,161,113,PA
19,12,254,173,119,PA
20,12,230,181,127,PA
21,12,270,197,119,PA
22,12,271,190,114,PA
23,12,376,191,117,PA
24,12,420,258,121,PA
25,12,210,183,105,PA
26,12,329,236,124,PA
27,12,352,217,118,PA
28,12,452,229,116,PA
29,12,335,236,117,PA
30,12,591,292,124,PA
31,12,493,302,123,PA
