day,month,numChecklists,numContributors,numSpecies,state
1,1,146,43,109,RI
2,1,55,36,86,RI
3,1,24,15,53,RI
4,1,138,29,95,RI
5,1,50,23,76,RI
6,1,21,14,68,RI
7,1,51,30,77,RI
8,1,27,18,71,RI
9,1,29,17,69,RI
10,1,31,21,81,RI
11,1,27,18,69,RI
12,1,46,22,82,RI
13,1,24,18,66,RI
14,1,93,32,97,RI
15,1,38,22,81,RI
16,1,79,29,97,RI
17,1,21,16,66,RI
18,1,13,12,55,RI
19,1,28,18,75,RI
20,1,22,11,80,RI
21,1,42,18,88,RI
22,1,17,16,70,RI
23,1,10,8,44,RI
24,1,5,5,29,RI
25,1,36,21,61,RI
26,1,29,12,66,RI
27,1,15,10,61,RI
28,1,74,30,99,RI
29,1,42,26,83,RI
30,1,14,12,59,RI
31,1,17,14,61,RI
1,2,27,22,86,RI
2,2,16,12,73,RI
3,2,25,16,75,RI
4,2,117,47,107,RI
5,2,83,41,94,RI
6,2,41,23,77,RI
7,2,10,10,50,RI
8,2,28,22,86,RI
9,2,7,8,23,RI
10,2,16,14,56,RI
11,2,44,19,95,RI
12,2,15,13,42,RI
13,2,6,9,40,RI
14,2,20,17,76,RI
15,2,19,14,59,RI
16,2,37,17,72,RI
17,2,65,49,90,RI
18,2,118,78,103,RI
19,2,146,84,103,RI
20,2,113,61,103,RI
21,2,30,24,90,RI
22,2,37,26,83,RI
23,2,34,26,78,RI
24,2,43,24,80,RI
25,2,169,52,113,RI
26,2,58,23,87,RI
27,2,42,24,76,RI
28,2,28,18,78,RI
1,3,10,13,38,RI
2,3,15,12,56,RI
3,3,33,17,72,RI
4,3,29,19,79,RI
5,3,30,23,76,RI
6,3,30,14,95,RI
7,3,17,15,61,RI
8,3,20,14,62,RI
9,3,22,19,70,RI
10,3,10,9,45,RI
11,3,24,20,71,RI
12,3,31,18,86,RI
13,3,20,14,64,RI
14,3,9,8,29,RI
15,3,17,15,57,RI
16,3,18,14,62,RI
17,3,32,17,70,RI
18,3,31,19,98,RI
19,3,27,20,77,RI
20,3,29,29,74,RI
21,3,31,21,96,RI
22,3,14,15,73,RI
23,3,21,15,68,RI
24,3,25,19,80,RI
25,3,60,34,112,RI
26,3,40,27,81,RI
27,3,14,11,55,RI
28,3,21,19,89,RI
29,3,34,22,78,RI
30,3,31,22,97,RI
31,3,11,9,52,RI
1,4,11,9,62,RI
2,4,53,29,104,RI
3,4,45,30,93,RI
4,4,8,11,49,RI
5,4,45,24,101,RI
6,4,9,11,61,RI
7,4,42,27,100,RI
8,4,55,40,102,RI
9,4,101,47,111,RI
10,4,49,35,102,RI
11,4,35,26,83,RI
12,4,35,26,75,RI
13,4,28,21,88,RI
14,4,43,26,86,RI
15,4,60,32,97,RI
16,4,34,29,105,RI
17,4,29,27,85,RI
18,4,31,26,90,RI
19,4,27,21,79,RI
20,4,25,18,92,RI
21,4,8,9,34,RI
22,4,43,22,98,RI
23,4,56,40,122,RI
24,4,29,24,87,RI
25,4,12,14,56,RI
26,4,13,13,60,RI
27,4,30,24,106,RI
28,4,43,29,128,RI
29,4,82,43,137,RI
30,4,63,38,136,RI
1,5,30,26,98,RI
2,5,36,29,110,RI
3,5,40,34,122,RI
4,5,32,26,123,RI
5,5,10,13,68,RI
6,5,34,24,117,RI
7,5,44,41,131,RI
8,5,35,28,112,RI
9,5,33,21,132,RI
10,5,34,27,127,RI
11,5,45,30,122,RI
12,5,33,31,125,RI
13,5,60,28,129,RI
14,5,24,12,77,RI
15,5,30,25,106,RI
16,5,55,35,146,RI
17,5,43,44,135,RI
18,5,46,36,137,RI
19,5,47,28,135,RI
20,5,46,39,131,RI
21,5,78,39,151,RI
22,5,20,16,99,RI
23,5,18,14,94,RI
24,5,36,21,130,RI
25,5,14,8,77,RI
26,5,21,15,91,RI
27,5,101,33,128,RI
28,5,30,28,117,RI
29,5,23,14,92,RI
30,5,29,23,114,RI
31,5,17,15,85,RI
1,6,57,22,134,RI
2,6,30,23,110,RI
3,6,28,21,112,RI
4,6,33,23,112,RI
5,6,11,10,89,RI
6,6,16,15,68,RI
7,6,25,19,113,RI
8,6,19,20,110,RI
9,6,25,24,97,RI
10,6,31,31,117,RI
11,6,77,23,118,RI
12,6,19,12,105,RI
13,6,22,17,95,RI
14,6,27,22,100,RI
15,6,15,17,86,RI
16,6,17,15,77,RI
17,6,28,24,109,RI
18,6,31,18,93,RI
19,6,18,16,74,RI
20,6,19,15,88,RI
21,6,37,24,103,RI
22,6,37,21,118,RI
23,6,74,20,113,RI
24,6,22,16,105,RI
25,6,32,25,121,RI
26,6,18,20,93,RI
27,6,16,18,92,RI
28,6,14,17,90,RI
29,6,25,18,101,RI
30,6,18,15,82,RI
1,7,28,20,99,RI
2,7,21,21,107,RI
3,7,16,20,104,RI
4,7,49,28,114,RI
5,7,14,16,94,RI
6,7,27,23,110,RI
7,7,9,11,55,RI
8,7,54,32,126,RI
9,7,23,23,98,RI
10,7,20,19,91,RI
11,7,15,15,89,RI
12,7,19,14,81,RI
13,7,14,12,97,RI
14,7,20,13,67,RI
15,7,26,18,93,RI
16,7,27,19,91,RI
17,7,13,14,84,RI
18,7,11,13,96,RI
19,7,17,12,91,RI
20,7,19,16,93,RI
21,7,9,13,63,RI
22,7,34,22,103,RI
23,7,32,18,106,RI
24,7,4,4,39,RI
25,7,21,16,98,RI
26,7,22,19,99,RI
27,7,25,17,95,RI
28,7,29,23,115,RI
29,7,24,20,108,RI
30,7,48,31,117,RI
31,7,11,13,87,RI
1,8,33,17,95,RI
2,8,21,17,82,RI
3,8,16,13,92,RI
4,8,15,13,83,RI
5,8,29,23,97,RI
6,8,28,26,112,RI
7,8,16,15,78,RI
8,8,30,24,109,RI
9,8,25,25,100,RI
10,8,36,17,106,RI
11,8,16,15,111,RI
