day,month,numChecklists,numContributors,numSpecies,state
1,1,121,92,178,SC
2,1,232,153,189,SC
3,1,121,101,177,SC
4,1,87,70,165,SC
5,1,68,53,143,SC
6,1,81,59,145,SC
7,1,76,56,147,SC
8,1,66,52,153,SC
9,1,117,91,161,SC
10,1,136,85,158,SC
11,1,85,54,151,SC
12,1,86,66,152,SC
13,1,59,54,150,SC
14,1,73,60,160,SC
15,1,57,51,132,SC
16,1,145,106,176,SC
17,1,94,62,147,SC
18,1,93,74,153,SC
19,1,73,63,156,SC
20,1,91,60,150,SC
21,1,72,65,148,SC
22,1,40,42,109,SC
23,1,88,77,145,SC
24,1,113,78,175,SC
25,1,81,59,165,SC
26,1,71,60,147,SC
27,1,70,65,158,SC
28,1,57,50,152,SC
29,1,67,63,162,SC
30,1,156,110,186,SC
31,1,111,86,178,SC
1,2,67,65,165,SC
2,2,61,74,153,SC
3,2,50,49,151,SC
4,2,51,43,125,SC
5,2,168,119,173,SC
6,2,186,134,181,SC
7,2,76,69,158,SC
8,2,62,53,142,SC
9,2,48,46,133,SC
10,2,51,45,122,SC
11,2,57,59,156,SC
12,2,481,378,186,SC
13,2,625,487,183,SC
14,2,583,501,174,SC
15,2,386,332,166,SC
16,2,77,61,152,SC
17,2,68,57,152,SC
18,2,65,61,160,SC
19,2,91,81,161,SC
20,2,130,104,177,SC
21,2,104,88,163,SC
22,2,62,56,146,SC
23,2,47,44,136,SC
24,2,37,34,114,SC
25,2,49,54,142,SC
26,2,83,62,170,SC
27,2,97,82,156,SC
28,2,102,77,157,SC
29,2,65,53,145,SC
1,3,61,54,152,SC
2,3,74,61,137,SC
3,3,67,59,146,SC
4,3,69,54,148,SC
5,3,155,103,176,SC
6,3,126,97,176,SC
7,3,89,69,167,SC
8,3,83,68,171,SC
9,3,82,72,154,SC
10,3,69,60,160,SC
11,3,94,72,156,SC
12,3,119,91,168,SC
13,3,75,72,147,SC
14,3,65,58,166,SC
15,3,64,56,145,SC
16,3,66,63,161,SC
17,3,65,62,150,SC
18,3,67,67,141,SC
19,3,94,86,172,SC
20,3,84,69,161,SC
21,3,68,57,163,SC
22,3,74,59,169,SC
23,3,91,80,150,SC
24,3,92,74,163,SC
25,3,94,69,167,SC
26,3,104,91,170,SC
27,3,52,55,136,SC
28,3,73,70,160,SC
29,3,80,75,162,SC
30,3,77,76,160,SC
31,3,52,58,140,SC
1,4,51,61,157,SC
2,4,113,90,177,SC
3,4,105,100,170,SC
4,4,91,88,167,SC
5,4,88,71,175,SC
6,4,76,71,160,SC
7,4,56,56,146,SC
8,4,76,64,166,SC
9,4,122,95,190,SC
10,4,123,92,192,SC
