day,month,numChecklists,numContributors,numSpecies,state
1,1,96,16,71,SD
2,1,22,11,59,SD
3,1,9,8,33,SD
4,1,6,6,35,SD
5,1,14,10,49,SD
6,1,14,11,43,SD
7,1,35,17,54,SD
8,1,21,13,52,SD
9,1,22,12,48,SD
10,1,8,6,34,SD
11,1,13,6,27,SD
12,1,6,5,15,SD
13,1,10,6,24,SD
14,1,22,8,50,SD
15,1,22,7,58,SD
16,1,16,12,61,SD
17,1,11,6,48,SD
18,1,10,9,43,SD
19,1,11,7,40,SD
20,1,7,7,36,SD
21,1,50,15,59,SD
22,1,11,6,45,SD
23,1,11,11,50,SD
24,1,17,8,47,SD
25,1,6,7,33,SD
26,1,7,5,22,SD
27,1,13,6,20,SD
28,1,15,7,32,SD
29,1,25,14,49,SD
30,1,8,9,38,SD
31,1,5,7,35,SD
1,2,8,8,29,SD
2,2,3,4,11,SD
3,2,11,9,30,SD
4,2,20,12,40,SD
5,2,10,8,42,SD
6,2,10,6,51,SD
7,2,9,7,37,SD
8,2,11,8,28,SD
9,2,18,7,22,SD
10,2,15,13,54,SD
11,2,15,9,48,SD
12,2,17,9,43,SD
13,2,13,8,51,SD
14,2,2,8,30,SD
15,2,7,8,33,SD
16,2,14,11,37,SD
17,2,58,35,59,SD
18,2,63,48,74,SD
19,2,86,52,73,SD
20,2,79,41,80,SD
21,2,15,11,44,SD
22,2,13,15,44,SD
23,2,8,7,46,SD
24,2,5,6,37,SD
25,2,15,7,50,SD
26,2,20,9,61,SD
27,2,8,8,50,SD
28,2,6,7,33,SD
1,3,7,10,36,SD
2,3,8,9,50,SD
3,3,4,6,44,SD
4,3,43,19,68,SD
5,3,32,17,68,SD
6,3,10,8,59,SD
7,3,3,4,41,SD
8,3,17,10,64,SD
9,3,9,10,52,SD
10,3,14,12,53,SD
11,3,16,10,59,SD
12,3,21,13,49,SD
13,3,11,10,61,SD
14,3,9,10,56,SD
15,3,6,9,56,SD
16,3,22,9,75,SD
17,3,23,12,67,SD
18,3,34,22,78,SD
19,3,58,22,90,SD
20,3,24,14,77,SD
21,3,16,15,76,SD
22,3,21,10,66,SD
23,3,19,14,82,SD
24,3,18,14,66,SD
25,3,82,20,89,SD
26,3,29,15,72,SD
27,3,25,18,79,SD
28,3,26,14,73,SD
29,3,12,12,69,SD
30,3,19,13,79,SD
31,3,26,11,70,SD
1,4,41,13,90,SD
2,4,42,12,86,SD
3,4,12,14,79,SD
4,4,19,16,73,SD
5,4,15,12,68,SD
6,4,26,11,87,SD
7,4,30,15,84,SD
8,4,36,18,94,SD
9,4,16,11,72,SD
10,4,11,9,78,SD
11,4,37,14,102,SD
12,4,9,15,69,SD
13,4,20,11,95,SD
14,4,33,22,109,SD
15,4,46,20,125,SD
16,4,39,19,116,SD
17,4,23,14,100,SD
18,4,30,12,120,SD
19,4,22,12,127,SD
20,4,26,17,120,SD
21,4,35,19,120,SD
22,4,41,24,136,SD
23,4,48,17,118,SD
24,4,33,14,120,SD
25,4,15,12,113,SD
26,4,14,13,113,SD
27,4,20,13,120,SD
28,4,27,13,123,SD
29,4,41,27,148,SD
30,4,22,13,103,SD
1,5,14,14,109,SD
2,5,21,19,117,SD
