day,month,numChecklists,numContributors,numSpecies,state
1,1,261,114,127,TN
2,1,208,101,115,TN
3,1,160,92,116,TN
4,1,156,86,113,TN
5,1,179,94,113,TN
6,1,171,98,108,TN
7,1,156,109,111,TN
8,1,237,105,115,TN
9,1,155,90,120,TN
10,1,123,74,104,TN
11,1,109,73,101,TN
12,1,144,85,110,TN
13,1,172,97,106,TN
14,1,214,101,118,TN
15,1,201,104,128,TN
16,1,166,94,115,TN
17,1,121,75,115,TN
18,1,143,85,115,TN
19,1,99,69,106,TN
20,1,122,83,114,TN
21,1,207,112,122,TN
22,1,119,77,113,TN
23,1,121,91,101,TN
24,1,148,81,109,TN
25,1,144,107,110,TN
26,1,108,72,112,TN
27,1,153,88,109,TN
28,1,184,103,116,TN
29,1,137,94,113,TN
30,1,104,84,114,TN
31,1,132,81,106,TN
1,2,117,68,111,TN
2,2,124,81,113,TN
3,2,151,97,118,TN
4,2,351,147,120,TN
5,2,219,113,115,TN
6,2,109,93,98,TN
7,2,70,57,91,TN
8,2,107,87,106,TN
9,2,102,76,109,TN
10,2,119,85,108,TN
11,2,277,113,120,TN
12,2,160,107,112,TN
13,2,96,77,104,TN
14,2,87,74,100,TN
15,2,122,87,105,TN
16,2,118,87,105,TN
17,2,475,349,117,TN
18,2,745,468,120,TN
19,2,613,473,129,TN
20,2,435,326,114,TN
21,2,118,81,108,TN
22,2,100,73,102,TN
23,2,116,78,112,TN
24,2,128,80,117,TN
25,2,210,108,109,TN
26,2,142,100,107,TN
27,2,110,77,112,TN
28,2,100,60,104,TN
1,3,103,74,110,TN
2,3,138,83,114,TN
3,3,121,84,110,TN
4,3,192,112,116,TN
5,3,149,102,121,TN
6,3,94,71,115,TN
7,3,86,61,114,TN
8,3,111,89,120,TN
9,3,132,81,108,TN
10,3,149,94,118,TN
11,3,201,110,123,TN
12,3,130,89,108,TN
13,3,113,81,111,TN
14,3,95,74,109,TN
15,3,105,71,116,TN
16,3,121,77,112,TN
17,3,111,76,113,TN
18,3,234,107,122,TN
19,3,174,106,118,TN
20,3,151,88,124,TN
21,3,131,86,115,TN
22,3,118,81,121,TN
23,3,135,90,118,TN
24,3,134,89,129,TN
25,3,221,119,122,TN
26,3,152,102,128,TN
27,3,160,108,133,TN
28,3,201,102,135,TN
29,3,181,116,132,TN
30,3,144,96,127,TN
31,3,160,100,139,TN
1,4,235,143,153,TN
2,4,188,126,137,TN
3,4,136,95,132,TN
4,4,178,123,141,TN
5,4,196,112,137,TN
6,4,127,72,141,TN
7,4,188,103,140,TN
8,4,212,137,154,TN
9,4,200,128,143,TN
10,4,184,114,147,TN
11,4,178,122,161,TN
12,4,199,136,155,TN
13,4,205,126,154,TN
14,4,255,145,165,TN
15,4,241,155,166,TN
16,4,194,136,177,TN
17,4,174,131,169,TN
18,4,150,102,162,TN
19,4,201,152,171,TN
20,4,159,119,168,TN
21,4,151,107,165,TN
22,4,245,121,172,TN
23,4,130,89,153,TN
24,4,205,135,173,TN
25,4,200,134,171,TN
26,4,170,140,157,TN
27,4,155,108,177,TN
28,4,191,131,171,TN
29,4,338,172,196,TN
30,4,237,136,179,TN
1,5,157,110,172,TN
2,5,213,142,184,TN
3,5,222,136,184,TN
4,5,147,107,156,TN
5,5,143,101,175,TN
6,5,258,132,191,TN
7,5,225,149,181,TN
8,5,198,117,180,TN
9,5,163,110,168,TN
10,5,181,111,178,TN
11,5,168,95,182,TN
12,5,131,82,191,TN
13,5,312,156,201,TN
14,5,209,115,189,TN
15,5,147,89,165,TN
16,5,139,86,157,TN
17,5,112,72,154,TN
18,5,150,97,153,TN
19,5,149,76,156,TN
20,5,146,100,157,TN
21,5,98,73,137,TN
22,5,103,84,150,TN
23,5,99,65,140,TN
24,5,70,52,108,TN
25,5,153,76,152,TN
26,5,121,67,147,TN
27,5,163,90,148,TN
28,5,122,68,136,TN
29,5,111,87,147,TN
30,5,122,63,143,TN
31,5,96,59,133,TN
1,6,140,70,128,TN
2,6,119,66,127,TN
3,6,166,91,135,TN
4,6,106,82,126,TN
5,6,89,60,130,TN
6,6,125,74,120,TN
7,6,68,55,113,TN
8,6,97,65,118,TN
9,6,77,61,131,TN
10,6,179,81,141,TN
11,6,93,65,122,TN
12,6,65,51,112,TN
13,6,70,48,120,TN
14,6,91,76,117,TN
15,6,98,67,125,TN
16,6,101,77,121,TN
17,6,160,96,147,TN
18,6,119,80,120,TN
19,6,98,68,126,TN
20,6,97,64,117,TN
21,6,142,83,121,TN
22,6,58,52,102,TN
23,6,81,59,120,TN
24,6,89,65,127,TN
25,6,142,72,128,TN
26,6,83,55,127,TN
27,6,82,59,129,TN
28,6,83,62,115,TN
29,6,66,49,104,TN
30,6,88,62,117,TN
1,7,110,72,125,TN
2,7,133,73,123,TN
3,7,85,64,122,TN
4,7,93,70,123,TN
5,7,63,49,98,TN
6,7,55,46,115,TN
7,7,91,59,119,TN
8,7,124,70,121,TN
9,7,105,72,129,TN
10,7,79,57,122,TN
11,7,75,52,122,TN
12,7,65,50,126,TN
13,7,74,52,113,TN
14,7,57,53,93,TN
15,7,145,70,128,TN
16,7,87,74,136,TN
17,7,57,57,116,TN
18,7,68,48,111,TN
19,7,64,57,122,TN
20,7,56,50,117,TN
21,7,63,55,118,TN
22,7,124,66,138,TN
23,7,91,62,124,TN
24,7,80,55,122,TN
25,7,83,55,115,TN
26,7,60,47,108,TN
27,7,68,50,121,TN
28,7,73,48,120,TN
29,7,126,79,141,TN
30,7,113,69,143,TN
31,7,91,59,123,TN
1,8,94,58,126,TN
2,8,74,58,122,TN
3,8,55,54,105,TN
4,8,79,60,117,TN
5,8,132,84,131,TN
6,8,104,75,127,TN
7,8,63,56,114,TN
8,8,105,67,113,TN
9,8,81,57,121,TN
10,8,81,59,117,TN
11,8,88,60,125,TN
12,8,112,66,139,TN
13,8,80,64,125,TN
14,8,70,52,111,TN
15,8,89,59,118,TN
16,8,61,49,120,TN
17,8,52,50,93,TN
18,8,76,56,113,TN
19,8,171,100,144,TN
20,8,189,120,138,TN
21,8,306,145,147,TN
22,8,108,85,129,TN
23,8,92,70,144,TN
24,8,74,56,127,TN
25,8,96,63,132,TN
26,8,120,73,145,TN
27,8,95,70,143,TN
28,8,76,48,132,TN
29,8,67,53,127,TN
30,8,77,52,119,TN
31,8,70,51,128,TN
1,9,123,61,135,TN
2,9,186,80,145,TN
3,9,141,87,153,TN
4,9,112,94,159,TN
5,9,73,44,141,TN
6,9,86,67,141,TN
7,9,93,58,134,TN
8,9,101,69,145,TN
9,9,128,85,156,TN
10,9,126,85,137,TN
11,9,83,53,131,TN
12,9,105,58,142,TN
13,9,75,46,135,TN
14,9,111,76,146,TN
15,9,119,79,146,TN
16,9,147,90,166,TN
17,9,144,84,143,TN
18,9,109,72,143,TN
19,9,72,54,136,TN
20,9,86,66,144,TN
21,9,96,70,136,TN
22,9,87,63,123,TN
23,9,100,81,137,TN
24,9,114,87,143,TN
25,9,87,68,118,TN
26,9,90,64,128,TN
27,9,80,71,123,TN
28,9,89,66,134,TN
29,9,103,64,141,TN
30,9,192,98,146,TN
1,10,148,90,152,TN
2,10,69,58,118,TN
3,10,86,59,114,TN
4,10,83,74,111,TN
5,10,86,65,118,TN
6,10,93,64,127,TN
7,10,152,84,153,TN
8,10,64,48,109,TN
9,10,111,72,123,TN
10,10,91,65,139,TN
11,10,90,61,129,TN
12,10,85,62,129,TN
13,10,66,57,117,TN
14,10,103,84,136,TN
15,10,87,67,147,TN
16,10,67,54,104,TN
17,10,85,74,123,TN
18,10,74,61,107,TN
19,10,71,60,91,TN
20,10,76,56,123,TN
21,10,110,68,124,TN
22,10,95,75,111,TN
23,10,75,36,109,TN
24,10,78,56,112,TN
25,10,68,50,98,TN
26,10,75,61,103,TN
27,10,72,59,104,TN
28,10,101,60,131,TN
29,10,112,66,135,TN
30,10,81,54,114,TN
31,10,86,63,127,TN
1,11,77,49,124,TN
2,11,94,57,105,TN
3,11,126,62,140,TN
4,11,164,88,138,TN
