day,month,numChecklists,numContributors,numSpecies,state
1,1,1150,524,309,TX
2,1,892,497,307,TX
3,1,907,487,314,TX
4,1,646,411,306,TX
5,1,604,383,296,TX
6,1,508,336,302,TX
7,1,549,351,301,TX
8,1,598,363,301,TX
9,1,709,423,304,TX
10,1,774,439,314,TX
11,1,437,321,289,TX
12,1,496,358,282,TX
13,1,527,360,309,TX
14,1,475,316,294,TX
15,1,691,380,307,TX
16,1,852,454,305,TX
17,1,878,472,315,TX
18,1,570,394,296,TX
19,1,444,318,290,TX
20,1,395,294,289,TX
21,1,312,255,264,TX
22,1,470,289,273,TX
23,1,839,489,303,TX
24,1,716,387,298,TX
25,1,398,299,274,TX
26,1,296,249,290,TX
27,1,383,283,277,TX
28,1,402,294,295,TX
29,1,521,322,301,TX
30,1,878,484,319,TX
31,1,796,466,315,TX
1,2,457,327,291,TX
2,2,419,295,288,TX
3,2,448,340,295,TX
4,2,651,340,295,TX
5,2,696,371,302,TX
6,2,940,476,320,TX
7,2,748,435,306,TX
8,2,360,271,286,TX
9,2,378,316,299,TX
10,2,423,319,295,TX
11,2,378,288,290,TX
12,2,1409,1101,322,TX
13,2,1957,1336,319,TX
14,2,1629,1200,312,TX
15,2,1173,891,316,TX
16,2,453,309,296,TX
17,2,496,329,309,TX
18,2,483,322,302,TX
19,2,615,353,306,TX
20,2,837,489,325,TX
21,2,749,430,320,TX
22,2,418,292,302,TX
23,2,360,243,277,TX
24,2,440,318,295,TX
25,2,515,341,314,TX
26,2,607,370,296,TX
27,2,881,505,317,TX
28,2,635,445,307,TX
29,2,374,294,294,TX
1,3,381,297,311,TX
2,3,403,313,297,TX
3,3,399,292,297,TX
4,3,473,339,304,TX
5,3,796,485,320,TX
6,3,650,425,318,TX
7,3,342,270,287,TX
8,3,290,237,299,TX
9,3,262,216,279,TX
10,3,341,270,289,TX
11,3,428,323,308,TX
12,3,849,497,328,TX
13,3,737,448,314,TX
14,3,479,370,319,TX
15,3,508,346,334,TX
16,3,525,374,327,TX
17,3,447,330,328,TX
18,3,535,356,324,TX
19,3,668,416,329,TX
20,3,674,430,330,TX
21,3,438,301,314,TX
22,3,427,326,310,TX
23,3,416,310,312,TX
24,3,475,335,318,TX
25,3,713,434,336,TX
26,3,876,516,353,TX
27,3,661,414,338,TX
28,3,483,366,341,TX
29,3,418,326,329,TX
30,3,417,322,329,TX
31,3,474,370,334,TX
1,4,505,346,341,TX
2,4,988,582,368,TX
3,4,888,536,354,TX
4,4,589,386,344,TX
5,4,551,380,347,TX
6,4,505,354,346,TX
7,4,588,381,341,TX
8,4,657,434,353,TX
9,4,1104,604,374,TX
10,4,945,534,358,TX
11,4,682,405,354,TX
