day,month,numChecklists,numContributors,numSpecies,state
1,1,259,110,149,UT
2,1,224,101,158,UT
3,1,111,70,140,UT
4,1,98,67,124,UT
5,1,89,66,102,UT
6,1,132,73,137,UT
7,1,140,99,122,UT
8,1,104,59,124,UT
9,1,63,55,106,UT
10,1,76,62,112,UT
11,1,69,47,106,UT
12,1,91,68,105,UT
13,1,112,61,113,UT
14,1,146,71,134,UT
15,1,117,71,121,UT
16,1,128,79,116,UT
17,1,71,58,110,UT
18,1,89,64,117,UT
19,1,50,46,88,UT
20,1,63,49,100,UT
21,1,72,59,100,UT
22,1,93,53,95,UT
23,1,49,41,74,UT
24,1,75,57,113,UT
25,1,60,50,100,UT
26,1,100,63,125,UT
27,1,129,84,142,UT
28,1,187,94,154,UT
29,1,184,84,144,UT
30,1,85,65,130,UT
31,1,75,47,126,UT
1,2,89,62,131,UT
2,2,83,52,121,UT
3,2,78,66,98,UT
4,2,179,108,134,UT
5,2,120,78,136,UT
6,2,62,46,99,UT
7,2,45,35,97,UT
8,2,95,66,112,UT
9,2,109,92,109,UT
10,2,76,52,101,UT
11,2,177,97,124,UT
12,2,89,66,107,UT
13,2,70,48,100,UT
14,2,100,57,112,UT
15,2,86,56,108,UT
16,2,70,52,118,UT
17,2,206,141,139,UT
18,2,309,181,139,UT
19,2,290,173,138,UT
20,2,273,158,131,UT
21,2,75,39,95,UT
22,2,61,45,108,UT
23,2,59,47,102,UT
24,2,63,49,95,UT
25,2,109,75,125,UT
26,2,155,79,131,UT
27,2,66,49,100,UT
28,2,63,43,89,UT
1,3,67,40,98,UT
2,3,79,62,117,UT
3,3,110,59,122,UT
4,3,126,83,134,UT
5,3,102,56,115,UT
6,3,72,45,123,UT
7,3,77,51,113,UT
8,3,104,63,117,UT
9,3,85,71,131,UT
10,3,97,67,117,UT
11,3,196,99,143,UT
12,3,109,79,123,UT
13,3,92,63,129,UT
14,3,103,62,145,UT
15,3,97,72,120,UT
16,3,109,66,112,UT
17,3,126,70,144,UT
18,3,136,98,151,UT
19,3,113,63,138,UT
20,3,121,63,136,UT
21,3,65,50,140,UT
22,3,64,57,129,UT
23,3,50,36,123,UT
24,3,130,73,157,UT
25,3,107,67,165,UT
26,3,121,80,145,UT
27,3,72,42,139,UT
28,3,131,86,156,UT
29,3,132,68,141,UT
30,3,63,54,132,UT
31,3,83,61,140,UT
1,4,148,100,156,UT
2,4,128,89,170,UT
3,4,130,80,165,UT
4,4,153,86,166,UT
5,4,142,81,157,UT
6,4,136,91,152,UT
7,4,103,79,160,UT
8,4,128,84,172,UT
9,4,184,86,183,UT
10,4,189,89,176,UT
11,4,107,79,170,UT
12,4,120,73,163,UT
13,4,124,94,153,UT
14,4,96,72,172,UT
15,4,173,114,188,UT
16,4,104,77,177,UT
17,4,126,67,184,UT
18,4,86,67,174,UT
19,4,106,73,193,UT
20,4,125,87,181,UT
21,4,103,72,169,UT
22,4,217,107,200,UT
23,4,184,91,192,UT
24,4,116,76,176,UT
25,4,92,78,168,UT
26,4,125,73,195,UT
27,4,126,71,186,UT
28,4,76,61,179,UT
29,4,185,103,188,UT
30,4,197,101,205,UT
1,5,156,91,206,UT
2,5,152,83,208,UT
3,5,143,94,211,UT
4,5,164,116,202,UT
5,5,170,101,225,UT
6,5,221,105,213,UT
7,5,181,110,219,UT
8,5,176,100,210,UT
9,5,136,92,205,UT
10,5,157,98,200,UT
11,5,224,107,220,UT
12,5,184,93,207,UT
13,5,454,126,232,UT
14,5,160,89,202,UT
15,5,187,75,200,UT
16,5,160,91,204,UT
17,5,102,82,175,UT
18,5,152,111,209,UT
19,5,280,126,205,UT
20,5,345,134,204,UT
21,5,484,112,210,UT
22,5,332,101,196,UT
23,5,100,76,198,UT
24,5,91,67,192,UT
25,5,94,80,180,UT
26,5,114,85,195,UT
27,5,167,121,209,UT
28,5,159,111,199,UT
29,5,165,105,194,UT
30,5,105,69,200,UT
31,5,105,75,184,UT
1,6,90,74,181,UT
2,6,119,86,181,UT
3,6,169,96,201,UT
4,6,153,91,191,UT
5,6,172,89,206,UT
6,6,143,92,189,UT
7,6,125,82,166,UT
8,6,100,59,170,UT
9,6,120,72,178,UT
10,6,119,79,179,UT
11,6,99,66,175,UT
12,6,88,49,187,UT
13,6,82,66,167,UT
14,6,100,75,171,UT
15,6,94,71,189,UT
16,6,90,63,188,UT
17,6,110,75,183,UT
18,6,94,61,172,UT
19,6,94,66,173,UT
20,6,99,53,172,UT
21,6,82,53,165,UT
22,6,104,66,183,UT
23,6,116,68,180,UT
24,6,118,75,180,UT
25,6,82,60,173,UT
26,6,96,55,184,UT
27,6,64,48,152,UT
28,6,84,69,174,UT
29,6,93,57,176,UT
30,6,97,66,183,UT
1,7,110,86,187,UT
2,7,64,60,174,UT
3,7,95,57,183,UT
4,7,61,52,168,UT
5,7,49,44,142,UT
6,7,79,53,166,UT
7,7,82,61,164,UT
8,7,99,69,164,UT
9,7,133,72,182,UT
10,7,86,49,166,UT
11,7,59,43,145,UT
12,7,108,78,185,UT
13,7,148,89,181,UT
14,7,172,108,178,UT
15,7,147,100,181,UT
16,7,171,101,176,UT
17,7,269,124,194,UT
18,7,148,73,201,UT
19,7,100,63,183,UT
20,7,81,60,158,UT
21,7,73,56,145,UT
22,7,63,54,146,UT
23,7,109,61,163,UT
24,7,105,59,167,UT
25,7,54,46,149,UT
26,7,51,48,159,UT
27,7,49,34,148,UT
28,7,70,49,153,UT
29,7,52,49,148,UT
30,7,80,61,172,UT
31,7,94,43,161,UT
1,8,55,43,157,UT
2,8,61,48,154,UT
3,8,54,42,158,UT
4,8,75,49,170,UT
5,8,74,58,174,UT
6,8,57,46,168,UT
7,8,60,46,156,UT
8,8,58,49,172,UT
9,8,69,59,165,UT
10,8,69,58,169,UT
11,8,89,68,187,UT
12,8,65,54,161,UT
13,8,77,65,170,UT
14,8,61,43,170,UT
15,8,66,52,170,UT
16,8,63,55,173,UT
17,8,70,51,158,UT
18,8,68,57,160,UT
19,8,102,76,185,UT
20,8,53,51,146,UT
21,8,55,38,143,UT
22,8,69,47,159,UT
23,8,60,50,159,UT
24,8,56,48,167,UT
25,8,75,57,156,UT
26,8,83,67,178,UT
27,8,61,48,157,UT
28,8,66,53,166,UT
29,8,49,39,154,UT
30,8,54,41,174,UT
31,8,53,43,154,UT
1,9,54,51,180,UT
2,9,75,59,179,UT
3,9,87,49,174,UT
4,9,98,67,189,UT
5,9,59,46,163,UT
6,9,58,45,154,UT
7,9,46,38,160,UT
8,9,66,54,151,UT
9,9,119,75,193,UT
10,9,89,70,185,UT
11,9,90,66,166,UT
12,9,75,50,148,UT
13,9,65,52,166,UT
14,9,59,46,146,UT
15,9,55,47,161,UT
16,9,103,70,168,UT
17,9,55,38,162,UT
18,9,44,32,140,UT
19,9,45,31,149,UT
20,9,68,47,160,UT
21,9,50,44,143,UT
22,9,63,52,153,UT
23,9,107,77,172,UT
24,9,80,52,167,UT
25,9,104,64,165,UT
26,9,69,56,168,UT
27,9,90,62,182,UT
28,9,80,59,160,UT
29,9,82,70,184,UT
30,9,84,66,184,UT
1,10,93,71,178,UT
2,10,78,56,149,UT
3,10,57,39,147,UT
4,10,85,61,131,UT
5,10,72,48,139,UT
6,10,47,56,136,UT
7,10,78,59,145,UT
8,10,79,61,148,UT
9,10,63,50,132,UT
10,10,42,39,107,UT
11,10,75,47,116,UT
12,10,39,34,101,UT
13,10,57,56,134,UT
14,10,125,64,150,UT
15,10,111,62,138,UT
16,10,60,42,129,UT
17,10,42,38,110,UT
18,10,64,49,126,UT
19,10,76,52,129,UT
20,10,72,45,124,UT
21,10,120,78,148,UT
22,10,81,59,130,UT
23,10,56,38,110,UT
24,10,39,44,106,UT
25,10,65,38,115,UT
26,10,48,51,112,UT
27,10,55,51,122,UT
28,10,91,68,125,UT
29,10,80,67,125,UT
30,10,51,42,123,UT
31,10,55,48,112,UT
1,11,59,47,112,UT
2,11,67,47,113,UT
3,11,79,53,133,UT
4,11,105,69,139,UT
5,11,152,68,141,UT
6,11,52,46,123,UT
7,11,101,68,135,UT
8,11,102,59,133,UT
9,11,63,46,115,UT
10,11,66,58,122,UT
11,11,112,73,129,UT
12,11,127,66,138,UT
13,11,113,46,127,UT
14,11,92,51,121,UT
15,11,73,52,123,UT
16,11,70,35,117,UT
17,11,43,32,83,UT
18,11,127,82,130,UT
19,11,111,63,131,UT
20,11,105,49,146,UT
21,11,69,42,123,UT
22,11,89,67,116,UT
23,11,86,71,131,UT
24,11,88,60,126,UT
25,11,98,68,116,UT
26,11,64,54,108,UT
27,11,39,30,101,UT
28,11,62,43,89,UT
29,11,76,45,115,UT
30,11,70,44,121,UT
1,12,55,43,108,UT
2,12,80,59,113,UT
3,12,72,47,108,UT
4,12,58,52,111,UT
5,12,44,36,106,UT
6,12,58,38,107,UT
7,12,45,35,94,UT
8,12,60,43,116,UT
9,12,118,71,135,UT
10,12,65,53,103,UT
11,12,52,36,98,UT
12,12,37,36,82,UT
13,12,83,41,98,UT
14,12,58,36,116,UT
15,12,54,38,93,UT
16,12,221,89,143,UT
17,12,79,61,126,UT
18,12,87,50,111,UT
19,12,44,43,114,UT
20,12,41,39,102,UT
21,12,54,47,99,UT
22,12,72,59,115,UT
23,12,61,54,110,UT
24,12,104,60,116,UT
25,12,55,51,99,UT
26,12,97,58,125,UT
27,12,99,65,130,UT
28,12,106,67,133,UT
29,12,76,59,114,UT
30,12,112,70,125,UT
31,12,57,39,100,UT
