day,month,numChecklists,numContributors,numSpecies,state
1,1,788,314,188,VA
2,1,548,258,168,VA
3,1,292,160,171,VA
4,1,323,183,169,VA
5,1,304,163,177,VA
6,1,274,158,143,VA
7,1,317,209,119,VA
8,1,401,201,157,VA
9,1,244,179,131,VA
10,1,266,167,146,VA
11,1,268,167,152,VA
12,1,303,168,156,VA
13,1,315,186,161,VA
14,1,523,221,164,VA
15,1,597,281,175,VA
16,1,421,198,164,VA
17,1,236,135,144,VA
18,1,242,158,143,VA
19,1,228,152,160,VA
20,1,242,165,152,VA
21,1,554,221,167,VA
22,1,373,209,155,VA
23,1,128,98,114,VA
24,1,200,129,141,VA
25,1,309,190,154,VA
26,1,214,130,142,VA
27,1,220,143,132,VA
28,1,629,262,172,VA
29,1,413,217,166,VA
30,1,233,133,131,VA
31,1,240,130,139,VA
1,2,294,167,159,VA
2,2,234,152,151,VA
3,2,326,179,147,VA
4,2,624,245,165,VA
5,2,443,221,159,VA
6,2,253,166,152,VA
7,2,171,129,135,VA
8,2,250,163,149,VA
9,2,154,106,132,VA
10,2,233,140,148,VA
11,2,548,276,161,VA
12,2,493,225,152,VA
13,2,183,131,132,VA
14,2,164,126,134,VA
15,2,131,102,128,VA
16,2,165,139,133,VA
17,2,1138,861,161,VA
18,2,1635,1053,175,VA
19,2,1451,1072,175,VA
20,2,1102,824,164,VA
21,2,180,136,147,VA
22,2,244,150,144,VA
23,2,252,172,159,VA
24,2,332,194,154,VA
25,2,445,266,159,VA
26,2,375,240,161,VA
27,2,200,166,130,VA
28,2,203,130,126,VA
1,3,211,145,135,VA
2,3,162,118,132,VA
3,3,182,145,141,VA
4,3,516,238,157,VA
5,3,437,235,147,VA
6,3,262,171,138,VA
7,3,227,146,141,VA
8,3,207,153,132,VA
9,3,273,184,154,VA
10,3,220,144,128,VA
11,3,357,206,148,VA
12,3,353,227,149,VA
13,3,201,150,124,VA
14,3,205,143,124,VA
15,3,182,130,135,VA
16,3,229,151,143,VA
17,3,259,172,133,VA
18,3,436,227,148,VA
19,3,512,207,148,VA
20,3,248,186,156,VA
21,3,217,177,149,VA
22,3,161,132,129,VA
23,3,192,141,134,VA
24,3,257,186,150,VA
25,3,639,325,164,VA
26,3,446,293,171,VA
27,3,295,209,143,VA
28,3,216,173,136,VA
29,3,294,216,150,VA
30,3,277,180,154,VA
31,3,156,135,133,VA
1,4,579,316,172,VA
2,4,457,316,179,VA
3,4,261,202,173,VA
4,4,286,202,154,VA
5,4,394,236,169,VA
6,4,194,143,151,VA
7,4,186,151,156,VA
8,4,546,281,180,VA
9,4,450,281,192,VA
10,4,349,240,178,VA
11,4,329,213,169,VA
12,4,318,236,169,VA
13,4,321,208,178,VA
14,4,366,254,196,VA
15,4,635,338,206,VA
16,4,440,287,199,VA
17,4,292,211,177,VA
18,4,288,225,186,VA
19,4,247,189,183,VA
20,4,316,220,198,VA
21,4,417,291,201,VA
22,4,486,291,211,VA
23,4,467,303,211,VA
24,4,181,156,184,VA
25,4,195,159,188,VA
26,4,405,288,202,VA
27,4,430,277,224,VA
28,4,485,318,208,VA
29,4,852,402,235,VA
30,4,792,397,224,VA
1,5,337,226,195,VA
2,5,350,247,201,VA
3,5,436,286,208,VA
4,5,453,256,203,VA
5,5,366,218,189,VA
6,5,624,307,219,VA
7,5,655,372,223,VA
8,5,453,284,210,VA
9,5,324,244,208,VA
10,5,480,281,211,VA
11,5,204,167,197,VA
12,5,225,186,195,VA
13,5,913,416,231,VA
14,5,598,366,223,VA
15,5,398,281,207,VA
16,5,361,284,212,VA
17,5,285,223,188,VA
18,5,286,197,203,VA
19,5,384,233,194,VA
20,5,645,311,215,VA
21,5,557,267,205,VA
22,5,236,143,180,VA
23,5,153,117,171,VA
24,5,255,149,185,VA
25,5,254,160,198,VA
26,5,341,221,201,VA
27,5,555,284,203,VA
28,5,426,264,201,VA
29,5,417,261,192,VA
30,5,163,145,163,VA
31,5,228,160,161,VA
1,6,264,167,173,VA
2,6,335,174,175,VA
3,6,411,221,178,VA
4,6,406,201,186,VA
5,6,175,125,143,VA
6,6,249,153,160,VA
7,6,240,152,169,VA
8,6,275,169,164,VA
9,6,356,168,175,VA
10,6,430,228,173,VA
11,6,409,213,164,VA
12,6,241,155,171,VA
13,6,268,142,163,VA
14,6,206,139,163,VA
15,6,220,165,179,VA
16,6,288,162,181,VA
17,6,350,186,171,VA
18,6,292,185,165,VA
19,6,185,133,155,VA
20,6,239,144,168,VA
21,6,239,137,158,VA
22,6,213,138,179,VA
23,6,168,131,161,VA
24,6,333,196,172,VA
25,6,342,202,168,VA
26,6,272,153,156,VA
27,6,189,139,165,VA
28,6,234,151,151,VA
29,6,219,131,167,VA
30,6,205,134,157,VA
1,7,269,178,164,VA
2,7,395,176,168,VA
3,7,204,151,151,VA
4,7,236,151,165,VA
5,7,131,103,145,VA
6,7,195,106,165,VA
7,7,218,134,161,VA
8,7,311,179,164,VA
9,7,282,170,174,VA
10,7,150,117,155,VA
11,7,173,110,150,VA
12,7,185,104,151,VA
13,7,144,92,163,VA
14,7,177,120,141,VA
15,7,330,146,172,VA
16,7,328,182,178,VA
17,7,173,127,170,VA
18,7,148,104,156,VA
19,7,169,129,161,VA
20,7,145,97,162,VA
21,7,162,100,162,VA
22,7,227,157,176,VA
23,7,180,117,164,VA
24,7,145,105,131,VA
25,7,122,93,154,VA
26,7,129,97,153,VA
27,7,110,89,155,VA
28,7,117,79,131,VA
29,7,229,128,154,VA
30,7,265,172,172,VA
31,7,194,117,155,VA
1,8,214,128,160,VA
2,8,172,106,163,VA
3,8,153,115,158,VA
4,8,143,113,152,VA
5,8,269,159,166,VA
6,8,270,168,176,VA
7,8,84,75,121,VA
8,8,156,106,144,VA
9,8,168,130,156,VA
10,8,166,114,159,VA
11,8,158,119,165,VA
12,8,241,147,153,VA
13,8,221,148,172,VA
14,8,157,123,134,VA
15,8,121,98,150,VA
16,8,182,110,167,VA
17,8,173,112,174,VA
18,8,159,114,161,VA
19,8,261,161,175,VA
20,8,187,137,164,VA
21,8,166,132,161,VA
22,8,111,97,138,VA
23,8,129,103,157,VA
24,8,198,136,189,VA
25,8,222,145,186,VA
26,8,315,188,196,VA
27,8,305,182,194,VA
28,8,199,138,170,VA
29,8,105,77,136,VA
30,8,188,136,176,VA
31,8,214,136,185,VA
1,9,183,129,168,VA
2,9,234,142,170,VA
3,9,370,233,192,VA
4,9,304,240,193,VA
5,9,171,142,174,VA
6,9,118,90,166,VA
7,9,188,131,188,VA
8,9,251,161,185,VA
9,9,404,224,196,VA
10,9,341,213,204,VA
11,9,227,158,178,VA
12,9,157,127,172,VA
13,9,192,149,167,VA
14,9,164,125,189,VA
15,9,194,152,179,VA
16,9,368,242,193,VA
17,9,278,196,194,VA
18,9,172,148,177,VA
19,9,140,106,151,VA
20,9,160,117,158,VA
21,9,170,131,191,VA
22,9,201,140,175,VA
23,9,535,235,201,VA
24,9,312,192,178,VA
25,9,173,136,153,VA
26,9,142,110,149,VA
27,9,145,106,146,VA
28,9,167,114,167,VA
29,9,235,162,176,VA
30,9,302,198,180,VA
1,10,279,184,181,VA
2,10,180,140,159,VA
3,10,162,110,160,VA
4,10,185,126,152,VA
5,10,146,104,174,VA
6,10,169,139,164,VA
7,10,278,192,186,VA
8,10,211,149,182,VA
9,10,174,126,158,VA
10,10,124,92,148,VA
11,10,145,103,137,VA
12,10,146,91,160,VA
13,10,159,120,162,VA
14,10,402,212,202,VA
15,10,340,213,191,VA
16,10,154,131,153,VA
17,10,202,135,165,VA
18,10,209,135,160,VA
19,10,155,120,149,VA
20,10,153,121,150,VA
21,10,309,219,174,VA
22,10,305,196,170,VA
23,10,162,112,131,VA
24,10,121,93,126,VA
25,10,138,113,139,VA
26,10,169,101,145,VA
27,10,201,133,150,VA
28,10,307,194,170,VA
29,10,160,110,127,VA
30,10,145,105,126,VA
31,10,172,109,140,VA
1,11,134,95,135,VA
2,11,200,122,153,VA
3,11,240,141,151,VA
4,11,337,175,165,VA
5,11,342,192,170,VA
6,11,161,129,148,VA
7,11,119,82,139,VA
8,11,167,102,139,VA
9,11,202,138,155,VA
10,11,248,151,151,VA
11,11,489,211,192,VA
12,11,330,189,166,VA
13,11,142,99,131,VA
14,11,125,99,142,VA
15,11,190,122,143,VA
16,11,164,111,143,VA
17,11,181,105,138,VA
18,11,365,193,165,VA
19,11,228,162,160,VA
20,11,190,133,149,VA
21,11,162,110,145,VA
22,11,192,119,143,VA
23,11,249,155,160,VA
24,11,398,177,173,VA
25,11,366,223,168,VA
26,11,355,203,170,VA
27,11,170,114,155,VA
28,11,126,100,136,VA
29,11,172,113,145,VA
30,11,163,111,147,VA
1,12,194,139,152,VA
2,12,400,185,176,VA
3,12,323,195,172,VA
4,12,174,118,131,VA
5,12,160,104,127,VA
6,12,178,105,112,VA
7,12,164,110,140,VA
8,12,172,117,112,VA
9,12,309,151,139,VA
10,12,334,191,153,VA
11,12,190,126,135,VA
12,12,131,88,133,VA
13,12,108,84,129,VA
14,12,231,119,139,VA
15,12,194,119,143,VA
16,12,503,216,176,VA
17,12,678,261,173,VA
18,12,176,138,145,VA
19,12,274,128,148,VA
20,12,193,122,152,VA
21,12,239,149,161,VA
22,12,281,156,158,VA
23,12,341,153,158,VA
24,12,253,160,155,VA
25,12,205,132,147,VA
26,12,212,146,156,VA
27,12,218,147,140,VA
28,12,323,161,147,VA
29,12,305,152,157,VA
30,12,504,197,183,VA
31,12,570,241,167,VA
