day,month,numChecklists,numContributors,numSpecies,state
1,1,352,110,92,VT
2,1,340,111,91,VT
3,1,250,91,83,VT
4,1,88,59,52,VT
5,1,75,55,69,VT
6,1,98,61,70,VT
7,1,97,64,91,VT
8,1,113,66,80,VT
9,1,235,78,87,VT
10,1,80,54,68,VT
11,1,62,58,59,VT
12,1,53,47,66,VT
13,1,68,54,63,VT
14,1,83,54,81,VT
15,1,131,60,76,VT
16,1,133,75,74,VT
17,1,210,83,93,VT
18,1,95,62,67,VT
19,1,59,48,56,VT
20,1,55,43,64,VT
21,1,54,41,61,VT
22,1,67,41,56,VT
23,1,211,73,70,VT
24,1,115,59,77,VT
25,1,89,54,75,VT
26,1,61,53,50,VT
27,1,73,48,60,VT
28,1,104,47,65,VT
29,1,79,57,59,VT
30,1,128,67,75,VT
31,1,170,74,75,VT
1,2,44,46,54,VT
2,2,65,56,73,VT
3,2,27,27,54,VT
4,2,62,49,65,VT
5,2,97,52,71,VT
6,2,101,66,71,VT
7,2,152,78,71,VT
8,2,56,45,64,VT
9,2,84,41,58,VT
10,2,53,43,58,VT
11,2,58,44,62,VT
12,2,226,185,68,VT
13,2,320,226,70,VT
14,2,273,234,63,VT
15,2,231,166,72,VT
16,2,54,48,50,VT
17,2,76,38,71,VT
18,2,64,38,55,VT
19,2,72,55,63,VT
20,2,86,60,58,VT
21,2,142,70,74,VT
22,2,89,46,65,VT
23,2,78,51,62,VT
24,2,53,40,49,VT
25,2,56,40,69,VT
26,2,72,52,64,VT
27,2,120,72,71,VT
28,2,200,77,80,VT
29,2,93,58,71,VT
1,3,119,64,77,VT
2,3,75,68,64,VT
3,3,69,50,57,VT
4,3,91,63,65,VT
5,3,147,77,86,VT
6,3,162,79,84,VT
7,3,74,56,65,VT
8,3,121,58,78,VT
9,3,138,79,77,VT
10,3,105,65,90,VT
11,3,150,80,90,VT
12,3,282,111,91,VT
13,3,230,87,91,VT
14,3,54,50,69,VT
15,3,88,64,76,VT
16,3,84,74,80,VT
17,3,114,72,87,VT
18,3,125,85,77,VT
19,3,211,104,83,VT
20,3,179,94,92,VT
21,3,74,55,77,VT
22,3,88,59,78,VT
23,3,100,60,76,VT
24,3,104,67,83,VT
25,3,141,82,97,VT
26,3,192,100,100,VT
27,3,200,103,100,VT
28,3,88,67,75,VT
29,3,77,61,87,VT
30,3,140,88,91,VT
31,3,104,86,89,VT
1,4,133,89,89,VT
2,4,183,93,105,VT
3,4,105,69,85,VT
4,4,108,90,81,VT
5,4,99,68,92,VT
6,4,80,76,87,VT
7,4,91,65,92,VT
8,4,113,69,95,VT
9,4,188,102,102,VT
10,4,201,100,111,VT
11,4,137,70,97,VT
12,4,118,76,110,VT
13,4,146,89,109,VT
14,4,160,96,114,VT
15,4,169,89,116,VT
16,4,207,109,113,VT
17,4,207,107,119,VT
18,4,165,85,115,VT
19,4,131,84,104,VT
20,4,106,70,111,VT
21,4,147,105,113,VT
22,4,120,80,105,VT
23,4,189,104,124,VT
24,4,236,111,129,VT
25,4,158,92,124,VT
26,4,104,73,114,VT
27,4,150,75,117,VT
28,4,129,95,131,VT
29,4,198,102,139,VT
30,4,270,147,144,VT
1,5,191,123,153,VT
2,5,112,88,133,VT
3,5,145,91,145,VT
4,5,136,108,140,VT
5,5,135,105,146,VT
6,5,169,113,135,VT
7,5,243,131,155,VT
8,5,192,120,147,VT
9,5,187,125,153,VT
10,5,248,147,153,VT
11,5,250,145,167,VT
12,5,235,133,164,VT
13,5,171,136,151,VT
14,5,478,196,182,VT
15,5,188,129,163,VT
16,5,149,98,160,VT
17,5,194,123,166,VT
18,5,191,122,169,VT
19,5,212,120,162,VT
20,5,230,113,172,VT
21,5,273,145,175,VT
22,5,205,114,162,VT
23,5,111,93,160,VT
24,5,110,85,153,VT
25,5,152,93,168,VT
26,5,221,112,171,VT
27,5,120,99,145,VT
28,5,319,111,174,VT
29,5,302,103,176,VT
30,5,142,90,164,VT
31,5,98,71,143,VT
1,6,96,89,142,VT
2,6,85,65,144,VT
3,6,79,66,133,VT
4,6,192,106,157,VT
5,6,84,53,138,VT
6,6,76,62,131,VT
7,6,57,54,134,VT
8,6,74,57,131,VT
9,6,62,46,121,VT
10,6,96,63,147,VT
11,6,147,96,151,VT
12,6,87,63,128,VT
13,6,50,43,114,VT
14,6,82,55,128,VT
15,6,100,64,140,VT
16,6,103,52,126,VT
17,6,88,66,135,VT
18,6,175,91,143,VT
19,6,108,71,131,VT
20,6,65,50,113,VT
21,6,78,51,119,VT
22,6,54,49,117,VT
23,6,86,62,133,VT
24,6,116,59,133,VT
25,6,161,76,144,VT
26,6,92,62,129,VT
27,6,57,51,127,VT
28,6,51,36,104,VT
29,6,63,39,117,VT
30,6,52,45,121,VT
1,7,47,36,115,VT
2,7,65,50,127,VT
3,7,89,66,138,VT
4,7,86,51,134,VT
5,7,36,36,113,VT
6,7,45,44,120,VT
7,7,58,51,119,VT
8,7,65,45,127,VT
9,7,89,40,122,VT
10,7,81,49,128,VT
11,7,84,53,131,VT
12,7,63,53,117,VT
13,7,47,46,121,VT
14,7,54,44,114,VT
15,7,56,45,111,VT
16,7,143,137,137,VT
17,7,86,52,136,VT
18,7,59,40,124,VT
19,7,50,49,123,VT
20,7,67,46,124,VT
21,7,49,41,123,VT
22,7,36,36,114,VT
23,7,71,46,127,VT
24,7,68,59,127,VT
25,7,53,44,114,VT
26,7,37,26,105,VT
27,7,52,41,122,VT
28,7,37,39,128,VT
29,7,55,45,126,VT
30,7,91,58,135,VT
31,7,87,52,136,VT
1,8,51,37,107,VT
2,8,50,44,122,VT
3,8,71,49,129,VT
4,8,60,41,107,VT
5,8,46,46,114,VT
6,8,92,62,134,VT
7,8,83,51,130,VT
8,8,66,50,127,VT
9,8,65,50,120,VT
10,8,37,32,94,VT
11,8,43,43,113,VT
12,8,31,34,95,VT
13,8,71,54,136,VT
14,8,84,47,127,VT
15,8,39,42,114,VT
16,8,57,50,114,VT
17,8,56,40,107,VT
18,8,81,51,119,VT
19,8,57,39,123,VT
20,8,126,69,133,VT
21,8,71,48,119,VT
22,8,79,54,123,VT
23,8,67,49,128,VT
24,8,84,57,136,VT
25,8,66,59,129,VT
26,8,63,58,119,VT
27,8,98,76,147,VT
28,8,91,59,138,VT
29,8,58,46,115,VT
30,8,55,45,137,VT
31,8,51,44,110,VT
1,9,91,53,135,VT
2,9,92,61,135,VT
3,9,122,73,152,VT
4,9,127,67,148,VT
5,9,139,78,148,VT
6,9,70,47,144,VT
7,9,74,51,131,VT
8,9,71,56,126,VT
9,9,75,51,125,VT
10,9,100,73,136,VT
11,9,73,53,128,VT
12,9,76,59,126,VT
13,9,74,48,112,VT
14,9,54,48,120,VT
15,9,92,64,140,VT
16,9,94,70,144,VT
17,9,150,79,137,VT
18,9,81,59,139,VT
19,9,66,54,111,VT
20,9,51,51,121,VT
21,9,93,63,135,VT
22,9,82,65,139,VT
23,9,78,53,114,VT
24,9,128,88,148,VT
25,9,117,74,127,VT
26,9,72,55,119,VT
27,9,70,62,130,VT
28,9,58,49,106,VT
29,9,82,64,118,VT
30,9,78,56,117,VT
1,10,114,63,129,VT
2,10,107,59,120,VT
3,10,63,52,117,VT
4,10,68,50,111,VT
5,10,80,63,122,VT
6,10,74,57,111,VT
7,10,103,55,119,VT
8,10,113,67,123,VT
9,10,100,61,116,VT
10,10,69,42,100,VT
11,10,82,52,116,VT
12,10,74,43,109,VT
13,10,42,35,86,VT
14,10,69,47,105,VT
15,10,104,69,117,VT
16,10,87,51,96,VT
17,10,69,40,99,VT
18,10,46,42,92,VT
19,10,90,51,115,VT
20,10,46,33,82,VT
21,10,41,30,73,VT
22,10,70,39,84,VT
23,10,82,43,93,VT
24,10,58,39,84,VT
25,10,49,43,81,VT
26,10,87,52,97,VT
27,10,63,53,94,VT
28,10,78,50,85,VT
29,10,134,62,100,VT
30,10,134,69,114,VT
31,10,75,57,95,VT
1,11,73,53,95,VT
2,11,138,57,97,VT
3,11,33,27,71,VT
4,11,94,55,106,VT
5,11,174,61,102,VT
6,11,99,56,94,VT
7,11,72,44,90,VT
8,11,43,34,66,VT
9,11,62,34,75,VT
10,11,68,46,76,VT
11,11,77,48,82,VT
12,11,132,64,86,VT
13,11,94,58,91,VT
14,11,72,39,69,VT
15,11,51,46,72,VT
16,11,59,40,72,VT
17,11,68,42,81,VT
18,11,65,45,73,VT
19,11,164,81,83,VT
20,11,53,32,53,VT
21,11,39,37,61,VT
22,11,49,36,62,VT
23,11,56,37,68,VT
24,11,66,35,69,VT
25,11,70,38,67,VT
26,11,91,48,70,VT
27,11,102,53,82,VT
28,11,65,43,75,VT
29,11,26,21,41,VT
30,11,53,30,68,VT
1,12,65,37,68,VT
2,12,67,41,69,VT
3,12,91,51,72,VT
4,12,108,54,79,VT
5,12,44,41,58,VT
6,12,63,44,70,VT
7,12,76,37,69,VT
8,12,43,42,50,VT
9,12,41,36,50,VT
10,12,156,69,79,VT
11,12,95,53,67,VT
12,12,31,37,52,VT
13,12,60,38,64,VT
14,12,38,38,54,VT
15,12,36,30,44,VT
16,12,48,41,53,VT
17,12,94,56,67,VT
18,12,96,52,76,VT
19,12,39,28,58,VT
20,12,39,41,50,VT
21,12,58,35,57,VT
22,12,43,37,46,VT
23,12,88,52,74,VT
24,12,86,48,65,VT
25,12,74,42,51,VT
26,12,226,71,73,VT
27,12,58,45,55,VT
28,12,100,64,70,VT
29,12,58,37,45,VT
30,12,69,49,65,VT
31,12,175,56,73,VT
