day,month,numChecklists,numContributors,numSpecies,state
1,1,759,292,205,WA
2,1,749,304,193,WA
3,1,431,229,189,WA
4,1,184,142,164,WA
5,1,202,130,170,WA
6,1,276,183,181,WA
7,1,273,168,177,WA
8,1,242,171,175,WA
9,1,356,219,183,WA
10,1,267,198,175,WA
11,1,161,100,154,WA
12,1,156,98,153,WA
13,1,161,120,157,WA
14,1,234,162,171,WA
15,1,259,144,173,WA
16,1,398,185,179,WA
17,1,439,155,170,WA
18,1,624,237,191,WA
19,1,121,94,149,WA
20,1,179,133,164,WA
21,1,84,85,130,WA
22,1,209,133,178,WA
23,1,345,153,176,WA
24,1,393,227,183,WA
25,1,223,135,171,WA
26,1,148,111,147,WA
27,1,188,138,154,WA
28,1,148,117,148,WA
29,1,164,112,154,WA
30,1,456,198,185,WA
31,1,408,214,188,WA
1,2,165,124,170,WA
2,2,213,153,168,WA
3,2,132,113,146,WA
4,2,172,116,156,WA
5,2,193,132,165,WA
6,2,365,201,179,WA
7,2,318,202,176,WA
8,2,206,141,165,WA
9,2,214,138,166,WA
10,2,196,139,167,WA
11,2,155,117,161,WA
12,2,828,582,177,WA
13,2,1195,772,195,WA
14,2,1051,705,188,WA
15,2,754,543,183,WA
16,2,228,153,170,WA
17,2,187,162,167,WA
18,2,199,132,167,WA
19,2,155,104,148,WA
20,2,434,232,188,WA
21,2,353,190,179,WA
22,2,175,122,161,WA
23,2,234,137,166,WA
24,2,204,155,169,WA
25,2,227,163,178,WA
26,2,221,131,183,WA
27,2,552,239,205,WA
28,2,255,174,180,WA
29,2,180,139,165,WA
1,3,88,95,136,WA
2,3,191,140,167,WA
3,3,195,141,163,WA
4,3,172,125,166,WA
5,3,379,226,184,WA
6,3,320,173,166,WA
7,3,116,106,160,WA
8,3,213,142,173,WA
9,3,139,103,144,WA
10,3,132,117,157,WA
11,3,249,152,177,WA
12,3,326,173,176,WA
13,3,203,129,167,WA
14,3,125,111,153,WA
15,3,176,119,153,WA
16,3,215,142,166,WA
17,3,234,165,172,WA
18,3,229,162,184,WA
19,3,407,231,199,WA
20,3,343,204,185,WA
21,3,136,123,166,WA
22,3,194,155,183,WA
23,3,161,135,162,WA
24,3,163,143,147,WA
25,3,292,174,182,WA
26,3,656,227,206,WA
27,3,231,152,176,WA
28,3,194,143,173,WA
29,3,267,145,178,WA
30,3,252,175,185,WA
31,3,257,160,182,WA
1,4,293,171,189,WA
2,4,431,229,213,WA
3,4,332,195,194,WA
4,4,136,91,175,WA
5,4,208,158,189,WA
6,4,229,154,195,WA
7,4,304,175,193,WA
8,4,231,177,197,WA
9,4,394,241,210,WA
10,4,416,204,217,WA
11,4,217,141,202,WA
12,4,142,124,191,WA
13,4,191,150,200,WA
14,4,235,170,207,WA
15,4,354,188,214,WA
16,4,476,248,229,WA
17,4,355,238,207,WA
18,4,217,174,211,WA
19,4,316,187,223,WA
20,4,275,212,210,WA
21,4,222,175,205,WA
22,4,245,168,212,WA
23,4,502,219,236,WA
24,4,407,190,222,WA
25,4,252,149,202,WA
26,4,307,179,213,WA
27,4,256,167,214,WA
28,4,268,176,223,WA
29,4,238,155,209,WA
30,4,504,242,229,WA
1,5,403,262,238,WA
2,5,234,158,228,WA
3,5,242,182,232,WA
4,5,248,165,230,WA
5,5,346,215,234,WA
6,5,434,234,243,WA
7,5,475,265,248,WA
8,5,328,209,231,WA
9,5,213,165,214,WA
10,5,328,172,233,WA
11,5,322,199,231,WA
12,5,281,174,221,WA
13,5,329,206,238,WA
14,5,1144,353,280,WA
15,5,377,211,259,WA
16,5,246,181,232,WA
17,5,389,183,231,WA
18,5,331,189,217,WA
19,5,281,178,233,WA
20,5,365,197,234,WA
21,5,484,221,241,WA
22,5,452,242,243,WA
23,5,279,167,224,WA
24,5,190,163,206,WA
25,5,206,154,203,WA
26,5,160,148,206,WA
27,5,197,160,205,WA
28,5,398,211,240,WA
29,5,404,216,239,WA
30,5,330,246,248,WA
31,5,177,153,214,WA
1,6,255,173,221,WA
2,6,416,185,217,WA
3,6,572,233,236,WA
4,6,641,266,244,WA
5,6,688,223,244,WA
6,6,251,153,222,WA
7,6,230,165,208,WA
8,6,221,140,210,WA
9,6,240,143,195,WA
10,6,216,154,217,WA
11,6,394,202,221,WA
12,6,382,204,222,WA
13,6,169,125,208,WA
14,6,146,127,185,WA
15,6,244,166,212,WA
16,6,221,175,210,WA
17,6,231,164,208,WA
18,6,180,142,206,WA
19,6,282,177,213,WA
20,6,235,143,207,WA
21,6,209,133,209,WA
