day,month,numChecklists,numContributors,numSpecies,state
1,1,655,278,136,WI
2,1,517,266,124,WI
3,1,401,233,125,WI
4,1,255,174,108,WI
5,1,204,152,100,WI
6,1,228,153,107,WI
7,1,209,135,101,WI
8,1,147,120,90,WI
9,1,394,230,111,WI
10,1,211,161,106,WI
11,1,137,107,87,WI
12,1,130,101,90,WI
13,1,148,126,92,WI
14,1,173,130,100,WI
15,1,200,138,99,WI
16,1,376,200,109,WI
17,1,181,147,93,WI
18,1,155,122,86,WI
19,1,152,123,83,WI
20,1,174,145,98,WI
21,1,171,129,90,WI
22,1,168,127,101,WI
23,1,349,208,103,WI
24,1,249,173,102,WI
25,1,146,124,83,WI
26,1,110,106,82,WI
27,1,138,129,90,WI
28,1,176,123,88,WI
29,1,157,130,87,WI
30,1,270,191,102,WI
31,1,254,165,107,WI
1,2,179,133,97,WI
2,2,109,96,73,WI
3,2,136,115,87,WI
4,2,136,113,85,WI
5,2,154,141,86,WI
6,2,244,179,106,WI
7,2,263,190,105,WI
8,2,96,94,81,WI
9,2,129,92,85,WI
10,2,132,117,75,WI
11,2,152,103,82,WI
12,2,612,493,92,WI
13,2,899,670,102,WI
14,2,906,689,99,WI
15,2,524,433,92,WI
16,2,119,108,85,WI
17,2,158,127,88,WI
18,2,109,100,80,WI
19,2,136,116,86,WI
20,2,353,229,107,WI
21,2,333,218,113,WI
22,2,178,142,101,WI
23,2,149,131,100,WI
24,2,136,118,91,WI
25,2,116,112,92,WI
26,2,184,160,101,WI
27,2,369,241,113,WI
28,2,396,230,110,WI
29,2,194,128,99,WI
1,3,119,121,85,WI
2,3,126,119,99,WI
3,3,163,126,104,WI
4,3,176,128,105,WI
5,3,276,186,107,WI
6,3,422,220,117,WI
7,3,336,215,113,WI
8,3,344,246,114,WI
9,3,347,223,119,WI
10,3,320,232,116,WI
11,3,280,212,124,WI
12,3,579,312,134,WI
13,3,305,201,114,WI
14,3,214,170,118,WI
15,3,188,154,112,WI
16,3,146,112,105,WI
17,3,286,194,122,WI
18,3,244,175,121,WI
19,3,466,231,130,WI
20,3,450,270,132,WI
21,3,280,189,131,WI
22,3,299,211,125,WI
23,3,139,125,107,WI
24,3,139,148,111,WI
25,3,272,173,126,WI
26,3,409,244,142,WI
27,3,288,224,135,WI
28,3,294,220,133,WI
29,3,348,254,136,WI
30,3,204,173,134,WI
31,3,193,181,130,WI
1,4,282,213,138,WI
2,4,250,195,126,WI
3,4,413,271,138,WI
4,4,264,183,127,WI
5,4,211,169,135,WI
6,4,220,176,132,WI
7,4,322,204,135,WI
8,4,213,177,133,WI
9,4,443,287,144,WI
10,4,410,239,151,WI
11,4,299,199,139,WI
12,4,336,246,150,WI
13,4,343,256,147,WI
14,4,393,305,152,WI
15,4,431,292,153,WI
16,4,720,388,161,WI
17,4,490,318,164,WI
18,4,368,255,165,WI
19,4,248,194,160,WI
20,4,341,239,163,WI
21,4,329,252,167,WI
22,4,426,245,166,WI
23,4,467,314,188,WI
24,4,432,284,192,WI
25,4,312,268,197,WI
26,4,327,245,187,WI
27,4,320,229,189,WI
28,4,224,176,179,WI
29,4,465,286,197,WI
30,4,429,296,207,WI
1,5,534,328,214,WI
2,5,374,285,198,WI
3,5,457,304,211,WI
4,5,334,279,216,WI
5,5,451,312,222,WI
6,5,540,344,222,WI
7,5,585,386,227,WI
8,5,529,369,224,WI
9,5,404,287,223,WI
10,5,221,201,204,WI
11,5,608,372,224,WI
12,5,583,388,229,WI
13,5,445,315,227,WI
14,5,887,452,240,WI
15,5,603,371,229,WI
16,5,542,312,238,WI
17,5,435,293,231,WI
18,5,505,305,231,WI
19,5,474,305,234,WI
20,5,700,315,243,WI
21,5,566,360,236,WI
22,5,585,329,238,WI
23,5,303,248,215,WI
24,5,369,260,231,WI
25,5,361,236,217,WI
26,5,408,232,211,WI
27,5,301,221,218,WI
28,5,425,281,223,WI
29,5,483,289,224,WI
30,5,398,290,222,WI
31,5,249,176,178,WI
1,6,266,201,195,WI
2,6,389,236,201,WI
3,6,290,205,205,WI
4,6,350,229,195,WI
5,6,487,232,201,WI
6,6,165,155,179,WI
7,6,317,196,191,WI
8,6,338,213,205,WI
9,6,318,176,191,WI
10,6,307,183,187,WI
11,6,339,225,190,WI
12,6,368,227,195,WI
13,6,248,165,176,WI
14,6,267,168,187,WI
15,6,190,152,175,WI
16,6,337,181,194,WI
17,6,315,194,183,WI
18,6,447,231,196,WI
19,6,356,195,191,WI
20,6,230,156,184,WI
21,6,293,173,190,WI
22,6,368,169,188,WI
23,6,296,173,194,WI
24,6,414,182,193,WI
25,6,384,185,181,WI
26,6,320,181,192,WI
27,6,336,170,189,WI
28,6,398,200,197,WI
29,6,347,190,186,WI
30,6,312,166,177,WI
1,7,392,190,185,WI
2,7,525,219,193,WI
3,7,453,208,190,WI
4,7,313,213,182,WI
5,7,249,153,173,WI
6,7,242,149,187,WI
7,7,271,159,181,WI
8,7,293,153,189,WI
9,7,434,210,194,WI
10,7,273,189,193,WI
11,7,190,121,159,WI
12,7,185,120,180,WI
13,7,215,138,179,WI
14,7,210,148,181,WI
15,7,287,183,197,WI
16,7,361,196,197,WI
17,7,166,124,191,WI
18,7,215,140,187,WI
19,7,189,136,188,WI
20,7,187,122,172,WI
21,7,156,97,158,WI
22,7,168,126,180,WI
23,7,183,136,186,WI
24,7,175,133,180,WI
25,7,134,117,162,WI
26,7,164,129,184,WI
27,7,165,113,167,WI
28,7,210,117,177,WI
29,7,185,123,172,WI
30,7,246,168,190,WI
31,7,222,158,177,WI
1,8,165,119,168,WI
2,8,144,117,174,WI
3,8,100,95,168,WI
4,8,110,74,149,WI
5,8,145,116,176,WI
6,8,209,138,177,WI
7,8,176,132,181,WI
8,8,155,92,162,WI
9,8,125,103,150,WI
10,8,87,89,145,WI
11,8,83,86,145,WI
12,8,86,87,160,WI
13,8,149,117,165,WI
14,8,141,121,183,WI
15,8,120,99,151,WI
16,8,91,100,149,WI
17,8,102,98,145,WI
18,8,111,98,155,WI
19,8,141,99,149,WI
20,8,108,114,164,WI
21,8,167,130,193,WI
22,8,125,100,158,WI
23,8,82,95,151,WI
24,8,96,95,152,WI
25,8,118,119,173,WI
26,8,137,107,163,WI
27,8,160,122,169,WI
28,8,162,136,181,WI
29,8,87,88,157,WI
30,8,116,109,171,WI
31,8,130,115,166,WI
1,9,137,121,181,WI
2,9,131,124,188,WI
3,9,137,124,173,WI
4,9,157,114,178,WI
5,9,125,122,174,WI
6,9,67,73,151,WI
7,9,71,78,164,WI
8,9,119,99,184,WI
9,9,104,112,167,WI
10,9,165,127,181,WI
11,9,165,130,172,WI
12,9,119,95,156,WI
13,9,87,94,163,WI
14,9,130,116,176,WI
15,9,113,114,156,WI
16,9,96,90,152,WI
17,9,185,142,178,WI
18,9,149,129,182,WI
19,9,118,85,161,WI
20,9,126,111,170,WI
21,9,76,77,161,WI
22,9,152,109,179,WI
23,9,158,131,170,WI
24,9,215,165,178,WI
25,9,151,139,171,WI
26,9,111,104,160,WI
27,9,129,115,160,WI
28,9,138,101,170,WI
29,9,153,119,152,WI
30,9,133,109,152,WI
1,10,174,124,162,WI
2,10,231,163,172,WI
3,10,175,130,167,WI
4,10,143,119,157,WI
5,10,136,96,149,WI
6,10,167,111,151,WI
7,10,121,94,142,WI
8,10,207,163,170,WI
9,10,225,173,171,WI
10,10,150,106,151,WI
11,10,106,98,133,WI
12,10,77,79,125,WI
13,10,121,117,152,WI
14,10,144,111,138,WI
15,10,165,121,143,WI
16,10,222,153,161,WI
17,10,114,97,146,WI
18,10,137,109,145,WI
19,10,161,121,149,WI
20,10,122,98,132,WI
21,10,133,109,139,WI
22,10,237,149,150,WI
23,10,190,132,136,WI
24,10,138,99,136,WI
25,10,92,76,120,WI
26,10,76,39,72,WI
27,10,103,80,113,WI
28,10,113,98,121,WI
29,10,199,122,140,WI
30,10,178,104,126,WI
31,10,85,74,111,WI
1,11,144,104,128,WI
2,11,106,82,128,WI
3,11,121,88,127,WI
4,11,106,91,116,WI
5,11,218,124,137,WI
6,11,153,117,127,WI
7,11,89,74,116,WI
8,11,96,78,105,WI
9,11,86,68,102,WI
10,11,73,62,97,WI
11,11,99,79,115,WI
12,11,115,104,116,WI
13,11,150,101,114,WI
14,11,112,70,109,WI
15,11,91,72,110,WI
16,11,106,82,108,WI
17,11,111,86,112,WI
18,11,102,72,103,WI
19,11,159,114,109,WI
20,11,163,121,107,WI
21,11,120,84,98,WI
22,11,114,91,99,WI
23,11,68,50,75,WI
24,11,122,91,101,WI
25,11,159,102,106,WI
26,11,145,109,112,WI
27,11,161,98,113,WI
28,11,52,49,82,WI
29,11,98,88,104,WI
30,11,86,73,94,WI
1,12,116,76,102,WI
2,12,107,84,101,WI
3,12,167,120,110,WI
4,12,77,83,85,WI
5,12,93,79,93,WI
6,12,109,86,96,WI
7,12,82,83,87,WI
8,12,91,78,80,WI
9,12,90,79,89,WI
10,12,201,125,96,WI
11,12,129,117,95,WI
12,12,111,96,91,WI
13,12,110,107,91,WI
14,12,127,100,88,WI
15,12,146,95,90,WI
16,12,130,101,92,WI
17,12,407,165,114,WI
18,12,123,86,80,WI
19,12,241,84,91,WI
20,12,83,76,93,WI
21,12,134,92,95,WI
22,12,116,82,95,WI
23,12,120,99,99,WI
24,12,136,107,93,WI
25,12,109,84,84,WI
26,12,171,110,93,WI
27,12,126,98,90,WI
28,12,156,107,96,WI
29,12,213,104,91,WI
30,12,174,118,90,WI
31,12,339,145,111,WI
