day,month,numChecklists,numContributors,numSpecies,state
1,1,73,28,80,WV
2,1,41,31,78,WV
3,1,43,35,77,WV
4,1,35,20,63,WV
5,1,32,17,69,WV
6,1,37,20,71,WV
7,1,25,16,62,WV
8,1,27,20,62,WV
9,1,64,27,81,WV
10,1,21,19,59,WV
11,1,16,10,53,WV
12,1,16,16,52,WV
13,1,24,16,63,WV
14,1,15,13,63,WV
15,1,25,21,65,WV
16,1,40,24,87,WV
17,1,39,18,73,WV
18,1,30,21,73,WV
19,1,16,12,59,WV
20,1,28,16,75,WV
21,1,10,12,71,WV
22,1,15,16,70,WV
23,1,11,19,65,WV
24,1,18,23,66,WV
25,1,37,24,76,WV
26,1,12,18,59,WV
27,1,24,12,66,WV
28,1,15,13,52,WV
29,1,8,12,52,WV
30,1,26,17,70,WV
31,1,16,13,65,WV
1,2,17,13,54,WV
2,2,19,9,47,WV
3,2,22,13,40,WV
4,2,31,16,69,WV
5,2,19,14,53,WV
6,2,43,22,84,WV
7,2,46,19,64,WV
8,2,12,11,40,WV
9,2,24,14,42,WV
10,2,11,15,36,WV
11,2,22,20,51,WV
12,2,177,132,74,WV
13,2,203,162,85,WV
14,2,193,161,84,WV
15,2,156,135,69,WV
16,2,15,13,54,WV
17,2,26,14,59,WV
18,2,13,11,55,WV
19,2,18,14,63,WV
20,2,54,32,84,WV
21,2,28,20,76,WV
22,2,27,15,58,WV
23,2,46,22,58,WV
24,2,28,14,59,WV
25,2,9,8,52,WV
26,2,21,15,62,WV
27,2,52,21,86,WV
28,2,48,20,67,WV
29,2,41,22,75,WV
1,3,42,39,74,WV
2,3,23,17,63,WV
3,3,25,18,78,WV
4,3,34,22,66,WV
5,3,80,21,80,WV
6,3,58,26,87,WV
7,3,32,20,68,WV
8,3,61,52,76,WV
9,3,31,28,75,WV
10,3,37,27,79,WV
11,3,37,26,85,WV
12,3,73,38,92,WV
13,3,31,24,81,WV
14,3,28,22,69,WV
15,3,18,17,64,WV
16,3,29,24,73,WV
17,3,29,17,72,WV
18,3,43,27,83,WV
19,3,50,31,85,WV
20,3,28,26,82,WV
21,3,30,17,64,WV
22,3,20,13,62,WV
23,3,31,21,72,WV
24,3,17,11,63,WV
25,3,26,27,82,WV
26,3,45,37,94,WV
27,3,40,32,89,WV
28,3,18,17,63,WV
29,3,47,23,79,WV
30,3,39,26,79,WV
31,3,32,17,77,WV
1,4,30,19,75,WV
2,4,43,36,100,WV
3,4,42,32,85,WV
4,4,16,20,76,WV
5,4,37,25,85,WV
6,4,29,18,78,WV
7,4,19,22,70,WV
8,4,51,27,93,WV
9,4,45,53,103,WV
10,4,77,60,109,WV
11,4,40,30,100,WV
12,4,43,30,106,WV
13,4,43,30,106,WV
14,4,63,27,109,WV
15,4,45,34,99,WV
16,4,84,52,111,WV
17,4,84,52,118,WV
18,4,38,33,109,WV
19,4,48,37,96,WV
20,4,44,27,108,WV
21,4,57,34,112,WV
22,4,51,44,124,WV
23,4,69,47,135,WV
24,4,89,51,137,WV
25,4,47,44,118,WV
26,4,42,33,127,WV
27,4,63,39,132,WV
28,4,47,36,138,WV
29,4,62,46,127,WV
30,4,83,54,164,WV
1,5,80,59,145,WV
2,5,54,41,147,WV
3,5,53,50,143,WV
4,5,86,57,137,WV
5,5,78,50,144,WV
6,5,68,50,153,WV
7,5,131,75,162,WV
8,5,87,60,153,WV
9,5,57,41,139,WV
10,5,76,42,148,WV
11,5,65,34,139,WV
12,5,52,39,128,WV
13,5,50,40,141,WV
14,5,136,68,158,WV
15,5,90,39,138,WV
16,5,55,31,132,WV
17,5,26,24,125,WV
18,5,24,20,127,WV
19,5,50,26,140,WV
20,5,52,29,123,WV
21,5,41,29,122,WV
22,5,45,28,119,WV
23,5,35,27,125,WV
24,5,39,26,122,WV
25,5,37,27,126,WV
26,5,20,18,117,WV
27,5,24,22,104,WV
28,5,56,31,130,WV
29,5,60,39,132,WV
30,5,39,32,125,WV
31,5,22,17,109,WV
1,6,47,28,112,WV
2,6,43,34,113,WV
3,6,65,24,125,WV
4,6,81,35,132,WV
5,6,42,25,116,WV
6,6,33,29,116,WV
7,6,32,20,108,WV
8,6,20,11,103,WV
9,6,23,19,99,WV
10,6,23,19,105,WV
11,6,55,38,112,WV
12,6,32,25,108,WV
13,6,25,22,114,WV
14,6,43,23,119,WV
15,6,26,21,101,WV
16,6,18,16,107,WV
17,6,29,18,100,WV
18,6,42,36,132,WV
19,6,35,22,109,WV
20,6,24,25,93,WV
21,6,19,8,89,WV
22,6,10,7,65,WV
23,6,9,8,60,WV
24,6,21,18,89,WV
25,6,27,24,106,WV
26,6,35,30,115,WV
27,6,18,18,95,WV
28,6,15,12,102,WV
29,6,71,21,119,WV
30,6,15,12,82,WV
1,7,21,22,106,WV
2,7,34,24,120,WV
3,7,33,27,112,WV
4,7,18,17,88,WV
5,7,25,16,96,WV
6,7,26,19,96,WV
7,7,22,15,98,WV
8,7,17,18,91,WV
9,7,26,23,93,WV
10,7,29,24,93,WV
11,7,33,18,88,WV
12,7,19,14,80,WV
13,7,23,15,84,WV
14,7,20,15,86,WV
15,7,29,25,88,WV
16,7,23,21,93,WV
17,7,25,17,96,WV
18,7,22,21,80,WV
19,7,24,18,94,WV
20,7,18,14,102,WV
21,7,14,12,82,WV
22,7,31,17,85,WV
23,7,29,19,95,WV
24,7,14,13,75,WV
25,7,18,13,81,WV
26,7,19,12,82,WV
27,7,13,13,74,WV
28,7,12,9,67,WV
29,7,19,21,73,WV
30,7,32,27,110,WV
31,7,23,17,92,WV
1,8,21,21,72,WV
2,8,23,18,78,WV
3,8,16,12,69,WV
4,8,32,22,83,WV
5,8,21,22,89,WV
6,8,18,18,70,WV
7,8,23,21,93,WV
8,8,10,12,67,WV
9,8,20,15,80,WV
10,8,18,16,81,WV
11,8,20,19,81,WV
12,8,21,27,84,WV
13,8,32,17,96,WV
14,8,26,17,83,WV
15,8,23,17,104,WV
16,8,30,17,89,WV
17,8,23,17,69,WV
18,8,18,14,77,WV
19,8,18,17,77,WV
20,8,38,21,90,WV
21,8,33,18,87,WV
22,8,32,23,92,WV
23,8,28,15,80,WV
24,8,24,25,91,WV
25,8,24,21,83,WV
26,8,24,20,72,WV
27,8,39,17,87,WV
28,8,49,26,94,WV
29,8,26,18,71,WV
30,8,27,18,79,WV
31,8,33,18,83,WV
1,9,33,16,89,WV
2,9,20,19,77,WV
3,9,41,27,98,WV
4,9,42,28,109,WV
5,9,51,37,105,WV
6,9,30,19,88,WV
7,9,20,18,86,WV
8,9,21,20,83,WV
9,9,33,20,98,WV
10,9,70,39,115,WV
11,9,64,38,121,WV
12,9,28,20,98,WV
13,9,25,21,98,WV
14,9,16,18,81,WV
15,9,26,18,100,WV
16,9,29,17,97,WV
17,9,26,22,92,WV
18,9,24,21,89,WV
19,9,34,25,93,WV
20,9,30,19,100,WV
21,9,35,23,89,WV
22,9,29,18,75,WV
23,9,43,25,98,WV
24,9,54,32,112,WV
25,9,59,33,118,WV
26,9,30,21,94,WV
27,9,29,19,97,WV
28,9,22,22,88,WV
29,9,21,17,94,WV
30,9,19,22,89,WV
1,10,44,28,101,WV
2,10,27,24,98,WV
3,10,35,26,93,WV
4,10,28,24,90,WV
5,10,36,28,86,WV
6,10,29,24,94,WV
7,10,30,27,98,WV
8,10,65,34,105,WV
9,10,47,34,101,WV
10,10,41,26,75,WV
11,10,42,27,90,WV
12,10,28,22,81,WV
13,10,18,17,61,WV
14,10,30,20,76,WV
15,10,38,29,95,WV
16,10,29,27,83,WV
17,10,23,16,72,WV
18,10,16,19,62,WV
19,10,42,23,74,WV
20,10,33,27,85,WV
21,10,18,13,51,WV
22,10,31,23,73,WV
23,10,29,21,81,WV
24,10,23,17,66,WV
25,10,20,18,65,WV
26,10,19,18,62,WV
27,10,21,17,62,WV
28,10,27,17,68,WV
29,10,29,20,77,WV
30,10,24,18,72,WV
31,10,13,9,51,WV
1,11,29,16,68,WV
2,11,17,16,62,WV
3,11,25,14,73,WV
4,11,50,23,69,WV
5,11,30,16,66,WV
6,11,19,18,66,WV
7,11,36,15,64,WV
8,11,25,20,64,WV
9,11,16,12,68,WV
10,11,28,19,70,WV
11,11,21,16,58,WV
12,11,42,22,68,WV
13,11,23,16,66,WV
14,11,17,11,52,WV
15,11,19,13,52,WV
16,11,17,14,54,WV
17,11,20,16,53,WV
18,11,21,14,56,WV
19,11,52,19,76,WV
20,11,26,21,68,WV
21,11,26,20,81,WV
22,11,31,22,72,WV
23,11,21,19,73,WV
24,11,17,14,59,WV
25,11,15,11,60,WV
26,11,31,15,82,WV
27,11,23,17,71,WV
28,11,17,13,53,WV
29,11,11,11,48,WV
30,11,16,13,53,WV
1,12,15,15,50,WV
2,12,14,12,39,WV
3,12,39,26,68,WV
4,12,23,13,70,WV
5,12,28,16,54,WV
6,12,9,10,32,WV
7,12,24,19,60,WV
8,12,12,11,39,WV
9,12,13,16,42,WV
10,12,34,23,66,WV
11,12,34,19,72,WV
12,12,13,9,35,WV
13,12,26,16,56,WV
14,12,54,27,89,WV
15,12,38,18,63,WV
16,12,24,20,67,WV
17,12,91,33,80,WV
18,12,29,19,57,WV
19,12,32,20,85,WV
20,12,44,20,83,WV
21,12,31,19,72,WV
22,12,27,20,57,WV
23,12,25,20,69,WV
24,12,16,13,49,WV
25,12,28,19,63,WV
26,12,60,21,76,WV
27,12,36,23,65,WV
28,12,25,23,63,WV
29,12,20,16,51,WV
30,12,17,18,49,WV
31,12,49,19,59,WV
