day,month,numChecklists,numContributors,numSpecies,state
1,1,22,23,58,WY
2,1,44,25,66,WY
3,1,20,19,48,WY
4,1,21,18,63,WY
5,1,10,12,36,WY
6,1,18,11,45,WY
7,1,20,14,43,WY
8,1,17,14,47,WY
9,1,9,12,40,WY
10,1,13,13,47,WY
11,1,16,14,49,WY
12,1,8,7,31,WY
13,1,11,12,35,WY
14,1,15,8,67,WY
15,1,13,8,41,WY
16,1,18,15,61,WY
17,1,11,14,46,WY
18,1,12,13,35,WY
19,1,18,14,45,WY
20,1,15,15,43,WY
21,1,20,15,48,WY
22,1,24,20,54,WY
23,1,28,14,47,WY
24,1,23,13,58,WY
25,1,14,15,42,WY
26,1,15,12,44,WY
27,1,16,13,42,WY
28,1,17,16,44,WY
29,1,17,14,36,WY
30,1,8,9,31,WY
31,1,22,13,43,WY
1,2,14,16,44,WY
2,2,8,10,27,WY
3,2,14,10,38,WY
4,2,15,13,55,WY
5,2,8,11,37,WY
6,2,26,12,49,WY
7,2,23,17,49,WY
8,2,10,12,47,WY
9,2,8,10,22,WY
10,2,18,12,30,WY
11,2,4,7,20,WY
12,2,52,41,75,WY
13,2,76,52,68,WY
14,2,78,45,71,WY
15,2,39,28,60,WY
16,2,15,15,37,WY
17,2,14,10,40,WY
18,2,3,5,19,WY
19,2,17,13,46,WY
20,2,48,22,62,WY
21,2,19,13,47,WY
22,2,10,12,43,WY
23,2,6,9,21,WY
24,2,26,13,60,WY
25,2,10,14,37,WY
26,2,21,18,48,WY
27,2,17,15,42,WY
28,2,26,18,58,WY
29,2,7,9,24,WY
1,3,12,9,44,WY
2,3,19,12,31,WY
3,3,14,12,50,WY
4,3,23,15,55,WY
5,3,29,26,63,WY
6,3,18,16,51,WY
7,3,15,9,41,WY
8,3,7,12,31,WY
9,3,9,9,32,WY
10,3,12,15,45,WY
11,3,29,21,64,WY
12,3,29,21,59,WY
13,3,25,19,58,WY
14,3,20,13,52,WY
15,3,13,17,55,WY
16,3,24,21,54,WY
17,3,10,10,34,WY
18,3,17,14,49,WY
19,3,27,22,67,WY
20,3,44,22,76,WY
21,3,22,12,65,WY
22,3,26,19,61,WY
23,3,18,17,69,WY
24,3,20,15,63,WY
25,3,18,19,46,WY
26,3,40,29,85,WY
27,3,29,24,73,WY
28,3,27,21,69,WY
29,3,14,16,65,WY
30,3,13,15,51,WY
31,3,25,19,64,WY
1,4,27,20,71,WY
2,4,62,32,92,WY
3,4,41,35,88,WY
4,4,26,19,74,WY
5,4,21,22,60,WY
6,4,24,21,69,WY
7,4,34,28,87,WY
8,4,61,32,96,WY
9,4,47,32,91,WY
10,4,59,38,101,WY
11,4,21,21,75,WY
12,4,21,21,84,WY
13,4,24,19,82,WY
14,4,17,19,73,WY
15,4,12,18,66,WY
16,4,29,23,92,WY
17,4,24,20,88,WY
18,4,29,25,101,WY
19,4,25,21,98,WY
20,4,27,22,93,WY
21,4,37,25,104,WY
22,4,32,26,101,WY
23,4,60,37,126,WY
24,4,14,11,85,WY
25,4,28,23,101,WY
26,4,15,20,82,WY
27,4,37,23,116,WY
28,4,21,19,87,WY
29,4,21,15,98,WY
30,4,36,23,116,WY
1,5,42,34,123,WY
2,5,38,30,124,WY
3,5,39,34,114,WY
4,5,42,30,131,WY
5,5,41,30,118,WY
6,5,31,30,124,WY
7,5,30,25,119,WY
8,5,48,35,148,WY
9,5,40,32,135,WY
10,5,28,22,111,WY
11,5,34,32,124,WY
12,5,44,34,159,WY
13,5,32,32,148,WY
14,5,215,59,200,WY
15,5,49,35,157,WY
16,5,41,29,137,WY
17,5,45,31,138,WY
18,5,52,41,164,WY
19,5,37,33,173,WY
20,5,64,43,151,WY
21,5,48,39,164,WY
22,5,57,41,164,WY
23,5,41,32,154,WY
24,5,30,32,149,WY
25,5,32,31,127,WY
26,5,45,36,154,WY
27,5,44,38,174,WY
28,5,39,32,162,WY
29,5,60,42,167,WY
30,5,52,33,164,WY
31,5,17,24,129,WY
1,6,36,34,153,WY
2,6,50,29,139,WY
3,6,32,32,143,WY
4,6,53,31,167,WY
5,6,28,31,135,WY
6,6,33,24,130,WY
7,6,42,27,140,WY
8,6,50,32,139,WY
9,6,30,31,109,WY
10,6,17,29,133,WY
11,6,53,35,151,WY
12,6,44,36,153,WY
13,6,35,29,120,WY
14,6,21,21,91,WY
15,6,69,35,123,WY
16,6,54,37,127,WY
17,6,56,32,155,WY
18,6,66,39,149,WY
19,6,54,30,143,WY
20,6,47,37,147,WY
21,6,19,21,86,WY
22,6,32,31,119,WY
23,6,34,28,146,WY
24,6,32,28,134,WY
25,6,31,35,121,WY
26,6,35,29,126,WY
27,6,50,40,135,WY
28,6,25,32,137,WY
29,6,31,31,114,WY
30,6,40,34,134,WY
1,7,48,43,149,WY
2,7,56,48,143,WY
3,7,48,41,133,WY
4,7,68,35,116,WY
5,7,53,41,133,WY
6,7,56,44,129,WY
7,7,71,38,137,WY
8,7,31,25,128,WY
9,7,33,30,112,WY
10,7,63,42,134,WY
11,7,38,19,128,WY
12,7,39,28,133,WY
13,7,27,28,108,WY
14,7,40,32,125,WY
15,7,24,29,141,WY
16,7,24,26,115,WY
17,7,21,25,108,WY
18,7,31,29,134,WY
19,7,23,20,101,WY
20,7,25,26,110,WY
21,7,26,25,109,WY
22,7,27,28,121,WY
23,7,31,26,122,WY
24,7,27,25,105,WY
25,7,29,22,89,WY
26,7,46,19,99,WY
27,7,55,25,112,WY
28,7,44,24,121,WY
29,7,64,27,129,WY
30,7,69,31,138,WY
31,7,49,30,134,WY
