,day,month,numChecklists,numContributors,numSpecies,state,Year
0,1,1,94,45,86,AK,2016
1,2,1,72,41,75,AK,2016
2,3,1,66,43,95,AK,2016
3,4,1,36,26,82,AK,2016
4,5,1,39,30,81,AK,2016
5,6,1,49,29,77,AK,2016
6,7,1,57,32,87,AK,2016
7,8,1,27,25,79,AK,2016
8,9,1,31,26,84,AK,2016
9,10,1,33,28,79,AK,2016
10,11,1,29,22,79,AK,2016
11,12,1,38,27,93,AK,2016
12,13,1,27,26,82,AK,2016
13,14,1,27,29,79,AK,2016
14,15,1,50,36,89,AK,2016
15,16,1,42,31,82,AK,2016
16,17,1,36,33,79,AK,2016
17,18,1,32,22,82,AK,2016
18,19,1,32,27,80,AK,2016
19,20,1,19,22,69,AK,2016
20,21,1,15,20,57,AK,2016
21,22,1,24,22,64,AK,2016
22,23,1,32,28,66,AK,2016
23,24,1,37,25,75,AK,2016
24,25,1,14,22,52,AK,2016
25,26,1,24,18,56,AK,2016
26,27,1,23,24,67,AK,2016
27,28,1,12,13,48,AK,2016
28,29,1,32,26,80,AK,2016
29,30,1,40,30,64,AK,2016
30,31,1,39,30,78,AK,2016
31,1,2,20,19,63,AK,2016
32,2,2,20,19,46,AK,2016
33,3,2,13,14,51,AK,2016
34,4,2,6,6,23,AK,2016
35,5,2,23,22,73,AK,2016
36,6,2,35,30,73,AK,2016
37,7,2,17,21,51,AK,2016
38,8,2,15,17,52,AK,2016
39,9,2,20,20,41,AK,2016
40,10,2,19,18,61,AK,2016
41,11,2,12,10,39,AK,2016
42,12,2,91,68,73,AK,2016
43,13,2,108,81,93,AK,2016
44,14,2,91,78,89,AK,2016
45,15,2,87,69,79,AK,2016
46,16,2,20,17,58,AK,2016
47,17,2,24,22,68,AK,2016
48,18,2,21,26,67,AK,2016
49,19,2,23,12,65,AK,2016
50,20,2,13,17,59,AK,2016
51,21,2,29,31,87,AK,2016
52,22,2,27,22,69,AK,2016
53,23,2,15,12,54,AK,2016
54,24,2,17,21,77,AK,2016
55,25,2,19,18,60,AK,2016
56,26,2,24,22,75,AK,2016
57,27,2,28,26,74,AK,2016
58,28,2,24,22,61,AK,2016
59,29,2,14,13,49,AK,2016
60,1,3,15,17,58,AK,2016
61,2,3,24,26,80,AK,2016
62,3,3,21,22,88,AK,2016
63,4,3,26,18,71,AK,2016
64,5,3,21,28,63,AK,2016
65,6,3,32,28,69,AK,2016
66,7,3,21,23,63,AK,2016
67,8,3,43,31,80,AK,2016
68,9,3,32,24,63,AK,2016
69,10,3,19,20,62,AK,2016
70,11,3,28,28,58,AK,2016
71,12,3,28,32,71,AK,2016
72,13,3,46,40,79,AK,2016
73,14,3,40,26,74,AK,2016
74,15,3,23,20,73,AK,2016
75,16,3,26,25,74,AK,2016
76,17,3,22,24,58,AK,2016
77,18,3,29,24,81,AK,2016
78,19,3,37,26,79,AK,2016
79,20,3,39,33,84,AK,2016
80,21,3,27,29,79,AK,2016
81,22,3,33,36,78,AK,2016
82,23,3,13,19,38,AK,2016
83,24,3,40,32,73,AK,2016
84,25,3,34,30,88,AK,2016
85,26,3,54,33,80,AK,2016
86,27,3,26,29,80,AK,2016
87,28,3,24,23,78,AK,2016
88,29,3,30,25,75,AK,2016
89,30,3,30,24,73,AK,2016
90,31,3,38,31,74,AK,2016
91,1,4,36,35,71,AK,2016
92,2,4,37,36,76,AK,2016
93,3,4,44,49,90,AK,2016
94,4,4,23,36,73,AK,2016
95,5,4,35,28,72,AK,2016
96,6,4,25,29,80,AK,2016
97,7,4,29,32,90,AK,2016
98,8,4,31,33,78,AK,2016
99,9,4,56,42,92,AK,2016
100,10,4,43,36,93,AK,2016
101,11,4,41,35,95,AK,2016
102,12,4,48,45,92,AK,2016
103,13,4,67,51,113,AK,2016
104,14,4,48,51,111,AK,2016
105,15,4,58,52,104,AK,2016
106,16,4,89,62,113,AK,2016
107,17,4,86,54,114,AK,2016
108,18,4,67,53,108,AK,2016
109,19,4,112,61,120,AK,2016
110,20,4,96,66,123,AK,2016
111,21,4,112,67,127,AK,2016
112,22,4,94,70,127,AK,2016
113,23,4,110,81,138,AK,2016
114,24,4,111,78,128,AK,2016
115,25,4,71,57,108,AK,2016
116,26,4,78,61,123,AK,2016
117,27,4,64,52,123,AK,2016
118,28,4,68,52,126,AK,2016
119,29,4,73,59,135,AK,2016
120,30,4,103,66,145,AK,2016
121,1,5,119,80,145,AK,2016
122,2,5,81,67,135,AK,2016
123,3,5,94,70,146,AK,2016
124,4,5,99,69,138,AK,2016
125,5,5,115,65,151,AK,2016
126,6,5,83,68,142,AK,2016
127,7,5,143,87,158,AK,2016
128,8,5,117,83,151,AK,2016
129,9,5,103,64,149,AK,2016
130,10,5,100,77,149,AK,2016
131,11,5,128,88,165,AK,2016
132,12,5,181,89,166,AK,2016
133,13,5,124,90,175,AK,2016
134,14,5,338,134,190,AK,2016
135,15,5,162,108,180,AK,2016
136,16,5,117,106,182,AK,2016
137,17,5,136,98,176,AK,2016
138,18,5,116,98,200,AK,2016
139,19,5,130,111,186,AK,2016
140,20,5,137,107,207,AK,2016
141,21,5,163,99,197,AK,2016
142,22,5,167,122,189,AK,2016
143,23,5,113,102,195,AK,2016
144,24,5,140,119,186,AK,2016
145,25,5,105,101,195,AK,2016
146,26,5,135,105,206,AK,2016
147,27,5,162,106,202,AK,2016
148,28,5,143,121,204,AK,2016
149,29,5,168,112,205,AK,2016
150,30,5,173,103,208,AK,2016
151,31,5,176,102,205,AK,2016
152,1,6,167,117,202,AK,2016
153,2,6,178,110,198,AK,2016
154,3,6,144,99,201,AK,2016
155,4,6,197,136,210,AK,2016
156,5,6,153,114,210,AK,2016
157,6,6,149,89,205,AK,2016
158,7,6,186,128,221,AK,2016
159,8,6,196,137,218,AK,2016
160,9,6,244,125,214,AK,2016
161,10,6,275,113,215,AK,2016
162,11,6,283,123,221,AK,2016
163,12,6,199,124,223,AK,2016
164,13,6,200,111,212,AK,2016
165,14,6,157,118,206,AK,2016
166,15,6,154,118,195,AK,2016
167,16,6,154,111,206,AK,2016
168,17,6,159,105,202,AK,2016
169,18,6,210,111,198,AK,2016
170,19,6,163,98,203,AK,2016
171,20,6,187,101,208,AK,2016
172,21,6,170,103,206,AK,2016
173,22,6,141,108,196,AK,2016
174,23,6,178,112,202,AK,2016
175,24,6,154,80,192,AK,2016
176,25,6,153,95,186,AK,2016
177,26,6,109,81,183,AK,2016
178,27,6,85,79,185,AK,2016
179,28,6,100,89,174,AK,2016
180,29,6,129,91,194,AK,2016
181,30,6,94,71,188,AK,2016
182,1,7,95,82,199,AK,2016
183,2,7,94,78,194,AK,2016
184,3,7,62,69,175,AK,2016
185,4,7,77,71,178,AK,2016
186,5,7,81,68,168,AK,2016
187,6,7,67,70,166,AK,2016
188,7,7,74,58,172,AK,2016
189,8,7,92,67,177,AK,2016
190,9,7,111,73,179,AK,2016
191,10,7,87,73,175,AK,2016
192,11,7,83,64,168,AK,2016
193,12,7,70,74,171,AK,2016
194,13,7,71,65,164,AK,2016
195,14,7,54,53,153,AK,2016
196,15,7,75,61,160,AK,2016
197,16,7,73,62,165,AK,2016
198,17,7,116,70,171,AK,2016
199,18,7,112,71,167,AK,2016
200,19,7,75,62,163,AK,2016
201,20,7,98,71,175,AK,2016
202,21,7,82,55,162,AK,2016
203,22,7,55,48,139,AK,2016
204,23,7,70,68,168,AK,2016
205,24,7,66,63,167,AK,2016
206,25,7,79,64,166,AK,2016
207,26,7,84,55,158,AK,2016
208,27,7,51,58,155,AK,2016
209,28,7,52,51,166,AK,2016
210,29,7,46,50,150,AK,2016
211,30,7,62,61,174,AK,2016
212,31,7,53,60,155,AK,2016
213,1,8,84,63,171,AK,2016
214,2,8,67,72,155,AK,2016
215,3,8,70,74,154,AK,2016
216,4,8,49,62,149,AK,2016
217,5,8,44,43,139,AK,2016
218,6,8,48,49,137,AK,2016
219,7,8,63,68,149,AK,2016
220,8,8,51,46,135,AK,2016
221,9,8,91,64,169,AK,2016
222,10,8,59,57,149,AK,2016
223,11,8,60,57,153,AK,2016
