day,month,Year,us contributors,us species reported
1,1,2016,8556,7184
2,1,2016,8377,7173
3,1,2016,7418,6833
4,1,2016,5079,6084
5,1,2016,4717,5853
6,1,2016,4678,5928
7,1,2016,4984,5851
8,1,2016,4886,5887
9,1,2016,6735,6530
10,1,2016,5741,6104
11,1,2016,4298,5647
12,1,2016,4289,5528
13,1,2016,4388,5673
14,1,2016,4642,5844
15,1,2016,4848,5847
16,1,2016,6561,6589
17,1,2016,5992,6341
18,1,2016,5253,6013
19,1,2016,3836,5413
20,1,2016,4364,5506
21,1,2016,4336,5470
22,1,2016,4510,5621
23,1,2016,6138,6046
24,1,2016,5888,6107
25,1,2016,4345,5647
26,1,2016,4039,5450
27,1,2016,4111,5489
28,1,2016,4141,5537
29,1,2016,4410,5754
30,1,2016,6722,6603
31,1,2016,6125,6326
1,2,2016,4146,5555
2,2,2016,4218,5363
3,2,2016,3733,5060
4,2,2016,4103,5420
5,2,2016,4469,5608
6,2,2016,6658,6583
7,2,2016,6206,6146
8,2,2016,3856,5157
9,2,2016,3920,5187
10,2,2016,4057,5391
11,2,2016,4266,5367
12,2,2016,19470,6494
13,2,2016,25497,6849
14,2,2016,24858,6685
15,2,2016,18776,6410
16,2,2016,4158,5357
17,2,2016,4355,5716
18,2,2016,4354,5573
19,2,2016,4665,5794
20,2,2016,7512,6624
21,2,2016,6780,6469
22,2,2016,4383,5682
23,2,2016,4106,5407
24,2,2016,3608,5237
25,2,2016,4211,5412
26,2,2016,4718,5875
27,2,2016,6878,6724
28,2,2016,6628,6477
29,2,2016,4531,5902
1,3,2016,4615,5729
2,3,2016,4317,5560
3,3,2016,4594,5806
4,3,2016,4658,5844
5,3,2016,6605,6681
6,3,2016,6496,6541
7,3,2016,4775,5865
8,3,2016,5331,6065
9,3,2016,5113,5865
10,3,2016,4841,6015
11,3,2016,5295,6309
12,3,2016,7230,6925
13,3,2016,5896,6571
14,3,2016,4465,5965
15,3,2016,4854,6150
16,3,2016,5055,6301
17,3,2016,5254,6384
18,3,2016,5404,6502
19,3,2016,6784,6998
20,3,2016,6486,6940
21,3,2016,4478,6034
22,3,2016,4976,6293
23,3,2016,5029,6349
24,3,2016,5087,6385
25,3,2016,5690,6867
26,3,2016,7619,7405
27,3,2016,6444,7001
28,3,2016,4718,6529
29,3,2016,5173,6681
30,3,2016,5463,6840
31,3,2016,5226,6776
1,4,2016,5770,7120
2,4,2016,7220,7698
3,4,2016,6905,7478
4,4,2016,5270,6975
5,4,2016,5364,6989
6,4,2016,5486,7100
7,4,2016,5455,7101
8,4,2016,5868,7401
9,4,2016,7536,7977
10,4,2016,7524,8035
11,4,2016,5494,7475
12,4,2016,5955,7544
13,4,2016,6611,7850
14,4,2016,6577,7808
15,4,2016,7020,8098
16,4,2016,8896,8707
17,4,2016,8642,8690
18,4,2016,6498,8104
19,4,2016,6447,8242
20,4,2016,6650,8327
21,4,2016,6733,8546
22,4,2016,7050,8755
23,4,2016,9104,9403
24,4,2016,8888,9264
25,4,2016,6814,8774
26,4,2016,6727,8780
27,4,2016,6933,8867
28,4,2016,6511,8938
29,4,2016,7201,9296
30,4,2016,9268,10029
1,5,2016,8645,9788
2,5,2016,7045,9224
3,5,2016,7239,9438
4,5,2016,7121,9579
5,5,2016,7265,9333
6,5,2016,7465,9686
7,5,2016,10133,10453
8,5,2016,9455,9950
9,5,2016,7392,9544
10,5,2016,7377,9550
11,5,2016,7877,9644
12,5,2016,7684,9769
13,5,2016,7421,9704
14,5,2016,12327,11160
15,5,2016,8420,10099
16,5,2016,6434,9293
17,5,2016,6549,9302
18,5,2016,6774,9562
19,5,2016,6488,9331
20,5,2016,6883,9452
21,5,2016,7764,9840
22,5,2016,7418,9540
23,5,2016,5371,8958
24,5,2016,5321,8854
25,5,2016,5595,8770
26,5,2016,5162,8644
27,5,2016,5418,8734
28,5,2016,6807,9428
29,5,2016,6375,9172
30,5,2016,5919,8776
31,5,2016,4420,8002
1,6,2016,4667,8095
2,6,2016,4518,8036
3,6,2016,4496,7963
4,6,2016,6181,8568
5,6,2016,5161,8170
6,6,2016,4223,7743
7,6,2016,4118,7832
8,6,2016,4219,7540
9,6,2016,4036,7595
10,6,2016,4509,7871
11,6,2016,5499,8304
12,6,2016,5284,8021
13,6,2016,3906,7466
14,6,2016,3953,7433
15,6,2016,4055,7422
16,6,2016,3879,7420
17,6,2016,4153,7524
18,6,2016,5403,8217
19,6,2016,4805,7712
20,6,2016,3773,7272
21,6,2016,3713,7169
22,6,2016,3745,7152
23,6,2016,3607,7092
24,6,2016,4058,7452
25,6,2016,4977,7899
26,6,2016,4581,7865
27,6,2016,3452,7064
28,6,2016,3533,7158
29,6,2016,3699,7285
30,6,2016,3697,7251
1,7,2016,4049,7401
2,7,2016,4930,8032
3,7,2016,4854,7851
4,7,2016,4553,7587
5,7,2016,3564,7115
6,7,2016,3656,7068
7,7,2016,3582,7201
8,7,2016,3720,7377
9,7,2016,4672,7778
10,7,2016,4593,7687
11,7,2016,3483,7081
12,7,2016,3476,6948
13,7,2016,3563,7168
14,7,2016,3580,7115
15,7,2016,3915,7459
16,7,2016,4865,7972
17,7,2016,4437,7687
18,7,2016,3340,7080
19,7,2016,3482,7046
20,7,2016,3574,6994
21,7,2016,3312,7014
22,7,2016,3421,7225
23,7,2016,4240,7758
24,7,2016,4211,7804
25,7,2016,3183,6993
26,7,2016,3297,7033
27,7,2016,3362,7111
28,7,2016,3284,7114
29,7,2016,3520,7161
30,7,2016,4545,7900
31,7,2016,4257,7635
1,8,2016,3449,7158
2,8,2016,3507,6969
3,8,2016,3614,7058
4,8,2016,3496,6838
