day,month,numChecklists,numContributors,numSpecies,state
1,1,1345,612,317,TX
2,1,940,535,321,TX
3,1,643,421,308,TX
4,1,611,401,312,TX
5,1,623,393,312,TX
6,1,464,314,277,TX
7,1,975,468,312,TX
8,1,884,474,311,TX
9,1,493,363,296,TX
10,1,612,411,304,TX
11,1,589,377,307,TX
12,1,751,414,310,TX
13,1,878,414,306,TX
14,1,1126,518,314,TX
15,1,966,438,311,TX
16,1,747,403,300,TX
17,1,512,316,305,TX
18,1,467,304,293,TX
19,1,496,366,304,TX
20,1,588,394,307,TX
21,1,927,514,318,TX
22,1,619,375,298,TX
23,1,532,346,297,TX
24,1,564,369,294,TX
25,1,619,377,298,TX
26,1,506,351,312,TX
27,1,607,389,301,TX
28,1,907,509,316,TX
29,1,939,464,320,TX
30,1,477,333,305,TX
31,1,512,368,297,TX
1,2,513,362,298,TX
2,2,423,338,292,TX
3,2,511,355,298,TX
4,2,967,506,316,TX
5,2,691,419,311,TX
6,2,412,306,285,TX
7,2,488,359,298,TX
8,2,508,366,293,TX
9,2,593,348,291,TX
10,2,610,406,303,TX
11,2,1091,572,304,TX
12,2,915,527,314,TX
13,2,481,328,281,TX
14,2,357,271,288,TX
15,2,524,358,302,TX
16,2,566,380,319,TX
17,2,1490,1006,317,TX
18,2,1847,1210,332,TX
19,2,1627,1041,329,TX
20,2,935,673,298,TX
21,2,481,363,300,TX
22,2,522,388,300,TX
23,2,501,371,301,TX
24,2,589,388,311,TX
25,2,905,506,328,TX
26,2,711,447,313,TX
27,2,397,307,274,TX
28,2,399,315,286,TX
1,3,425,342,289,TX
2,3,425,328,290,TX
3,3,542,362,304,TX
4,3,664,414,310,TX
5,3,578,357,311,TX
6,3,410,297,299,TX
7,3,413,338,303,TX
8,3,546,380,304,TX
9,3,427,331,302,TX
10,3,460,343,287,TX
11,3,726,443,327,TX
12,3,848,424,309,TX
13,3,649,394,320,TX
14,3,636,423,313,TX
15,3,605,411,329,TX
16,3,591,398,329,TX
