birds,state,category_name,spCode,imgLink
Abert's Towhee,AZ,sparrows,abetow,https://s3.amazonaws.com/com-aab-media/photo/75223601-1280px.jpg
Abert's Towhee,CA,sparrows,abetow,https://s3.amazonaws.com/com-aab-media/photo/75223601-1280px.jpg
Abert's Towhee,NM,sparrows,abetow,https://s3.amazonaws.com/com-aab-media/photo/75223601-1280px.jpg
Abert's Towhee,NV,sparrows,abetow,https://s3.amazonaws.com/com-aab-media/photo/75223601-1280px.jpg
Abert's Towhee,UT,sparrows,abetow,https://s3.amazonaws.com/com-aab-media/photo/75223601-1280px.jpg
Acadian Flycatcher,AL,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,AR,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,CO,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,CT,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,DC,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,DE,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,FL,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,GA,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,IA,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,IL,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,IN,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,KS,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,KY,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,LA,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,MA,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,MD,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,ME,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,MI,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,MN,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,MO,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,MS,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,NC,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,ND,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,NE,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,NH,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,NJ,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,NM,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,NY,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,OH,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,OK,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,PA,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,RI,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,SC,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,TN,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,TX,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,VA,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,VT,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,WI,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acadian Flycatcher,WV,flycatchers,acafly,https://s3.amazonaws.com/com-aab-media/photo/75236671-1280px.jpg
Acorn Woodpecker,AZ,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,CA,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,CO,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,ID,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,ND,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,NE,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,NM,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,NV,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,OK,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,OR,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,TX,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,UT,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
Acorn Woodpecker,WA,woodpeckers,acowoo,https://s3.amazonaws.com/com-aab-media/photo/75241361-1280px.jpg
African Silverbill,HI,0,afrsil1,https://www.hbw.com/sites/default/files/styles/h_340/public/ibc/p/b21a6645c.jpg?itok=nfYOiOIo
Maui Akepa,HI,finches,akepa3,no image
Alder Flycatcher,AK,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,AL,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,AR,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
Alder Flycatcher,CA,flycatchers,aldfly,https://s3.amazonaws.com/com-aab-media/photo/75222691-1280px.jpg
