Common Name,Species Code
Common Ostrich,ostric2
Somali Ostrich,ostric3
Common/Somali Ostrich,y00934
Greater Rhea,grerhe1
Lesser Rhea,lesrhe2
Lesser Rhea (Puna),lesrhe4
Lesser Rhea (Darwin's),lesrhe3
Tawny-breasted Tinamou,tabtin1
Highland Tinamou,higtin1
Highland Tinamou (South American),higtin2
Highland Tinamou (Costa Rican),higtin3
Hooded Tinamou,hootin1
Gray Tinamou,grytin1
Solitary Tinamou,soltin1
Black Tinamou,blatin1
Great Tinamou,gretin1
White-throated Tinamou,whttin1
Tinamus sp.,tinamu1
Cinereous Tinamou,cintin1
Berlepsch's Tinamou,bertin1
Little Tinamou,littin1
Tepui Tinamou,teptin1
Brown Tinamou,brotin1
Brown Tinamou (castaneus),brntin1
Brown Tinamou (Brown),brntin2
Undulated Tinamou,undtin1
Pale-browed Tinamou,pabtin1
Brazilian Tinamou,bratin1
Gray-legged Tinamou,gyltin1
Red-legged Tinamou,reltin1
Yellow-legged Tinamou,yeltin1
Yellow-legged Tinamou (zabele),yeltin2
Yellow-legged Tinamou (noctivagus),yeltin3
Black-capped Tinamou,blctin1
Slaty-breasted Tinamou,slbtin1
Choco Tinamou,chotin1
Variegated Tinamou,vartin1
Thicket Tinamou,thitin1
Thicket Tinamou (occidentalis),thitin2
Thicket Tinamou (cinnamomeus Group),thitin3
Rusty Tinamou,rustin1
Bartlett's Tinamou,bartin2
Small-billed Tinamou,smbtin1
Barred Tinamou,bartin1
Tataupa Tinamou,tattin1
Crypturellus sp.,cryptu1
Red-winged Tinamou,rewtin1
Huayco Tinamou,huatin1
Taczanowski's Tinamou,tactin1
Ornate Tinamou,orntin1
Chilean Tinamou,chitin1
Brushland Tinamou,brutin1
Andean Tinamou,andtin1
Curve-billed Tinamou,cubtin1
Nothoprocta sp.,nothop1
White-bellied Nothura,whbnot1
Lesser Nothura,lesnot1
Darwin's Nothura,darnot1
Spotted Nothura,sponot1
Chaco Nothura,chanot1
Dwarf Tinamou,dwatin1
Elegant Crested-Tinamou,elctin1
Quebracho Crested-Tinamou,quctin1
Puna Tinamou,puntin1
Patagonian Tinamou,pattin1
tinamou sp.,tinamo1
Southern Cassowary,soucas1
Dwarf Cassowary,dwacas1
Northern Cassowary,norcas1
Emu,emu1
Southern Brown Kiwi,sobkiw1
Southern Brown Kiwi (South I.),sobkiw2
Southern Brown Kiwi (Stewart I.),sobkiw3
Okarito Brown Kiwi,okbkiw1
North Island Brown Kiwi,nibkiw1
Little Spotted Kiwi,liskiw1
Great Spotted Kiwi,grskiw1
Horned Screamer,horscr1
Southern Screamer,souscr1
Northern Screamer,norscr1
Magpie Goose,maggoo1
Spotted Whistling-Duck,spwduc1
Plumed Whistling-Duck,plwduc1
White-faced Whistling-Duck,wfwduc1
Spotted x White-faced Whistling-Duck (hybrid),x00721
Black-bellied Whistling-Duck,bbwduc
Black-bellied Whistling-Duck (fulgens),bkbwhd1
Black-bellied Whistling-Duck (autumnalis),bkbwhd2
West Indian Whistling-Duck,wiwduc1
Black-bellied x West Indian Whistling-Duck (hybrid),x00775
Fulvous Whistling-Duck,fuwduc
Black-bellied x Fulvous Whistling-Duck (hybrid),x00875
Wandering Whistling-Duck,wawduc1
Lesser Whistling-Duck,lewduc1
whistling-duck sp.,whistl1
White-backed Duck,whbduc1
Bar-headed Goose,bahgoo
Emperor Goose,empgoo
